rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Happy Belly Protein Chewy Bars, Peanut Butter & Dark Chocolate, 5 Count",B0886X32TM,True,False,4.4,2290
1,"365 by Whole Foods Market, Mini Dark Chocolate Peanut Butter Cups, 4.7 Ounce",B07NR8RP9V,True,False,4.5,1888
2,"Amazon Brand - Happy Belly Protein Chewy Bars, Peanut, Almond and Dark Chocolate, 5 Count (Pack of 6)",B0886XKJ4R,True,False,4.3,1000
3,"Amazon Brand - Happy Belly Protein Chewy Bars, Peanut Butter & Dark Chocolate, 30 Count (6 Packs of 5)",B0886W7ZTB,True,False,4.4,1299
4,Amazon Essentials Men's Lightweight French Terry Quarter-Zip Mock Neck Sweatshirt,B08J923NFP,True,False,4.1,1194
5,"Adesso 3780-01 Quest 16""-26"" Led Desk Lamp, Black",B01J8RUBUY,False,False,3.2,9
6,"Amazon Brand - Happy Belly Sliced Carrots, 15 Ounce",B07VHCSCFZ,True,False,4.6,2787
7,Amazon Basics Game Storage Case for 24 Nintendo Switch Games,B0714MH9TR,True,False,4.8,16989
8,"Amazon Basics 3 Hole Punch, 10 Sheet Capacity, Black",B0879YNTTP,True,False,4.7,5243
9,"Amazon Basics 3 Ring Binder with 2 Inch D-Ring and Clear Overlay, White, 4-Pack",B077XCJ6S1,True,False,4.7,8896
