rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Mezcla Vegan Plant Protein Bars - Variety Pack: Gluten-Free, Non-GMO, Soy Free, 10G of Protein [8-Pack]",B09Z2FKPST,False,True,4.4,637.0
1,"Quest Nutrition Chocolate Chip Cookie Dough Protein Bars, High Protein, Low Carb, Gluten Free, Keto Friendly, 12 Count",B00DLDH1N2,False,False,4.4,17755.0
2,"Quest Nutrition Pumpkin Pie Protein Bar, 20g Protein, 4g Net Carb, 1g Sugar, Gluten Free, 12 Count",B07CSGVMH6,False,False,4.3,2001.0
3,"Quest Nutrition Favorites Bundle, Chocolate Chip Cookie Dough & Cookies and Cream Protein Bars",B0BQ3BBTW6,False,False,4.9,82.0
4,"Quest Nutrition Chocolate Peanut Butter, 12 Count",B0719163RQ,False,False,4.7,1059.0
5,"Quest Nutrition Mini Chocolate Chip Cookie Dough Protein Bars, High Protein, Low Carb, Keto Friendly, 14 Count",B09QH9D38D,False,False,4.4,3733.0
6,"Quest Nutrition Protein Bars, Assorted 10 Flavor Variety Pack - High Protein, Low Carb, Gluten Free, Keto Friendly - 2.12 Oz Bars - 10 Count",B0C4RLNP3C,False,False,3.9,68.0
7,"Quest Nutrition Protein Bars, Assorted 10 Flavor Variety Pack - High Protein, Low Carb, Gluten Free, Keto Friendly - 2.12 Oz Bars - (10 Count)",B0CDK1X7YZ,False,False,3.4,20.0
8,Quest Nutrition Hero Bar Variety Pack (10 Pack),B0CCQHDH25,False,False,1.0,1.0
9,"Quest Nutrition Mini Protein Bars Bundle, Chocolate Chip Cookie Dough and Cookies & Cream, High Protein, Low Carb, Keto Friendly, 14 Count Each",B0B8B2ZBSX,False,False,4.6,111.0
10,"Quest Nutrition Protein Bars, Chocolate Chip Cookie Dough, Cookies & Cream, High Protein Low Carb, Gluten Free, Keto Friendly, 14 Count",B0BYFHCVTK,False,False,4.3,22.0
11,"Quest Nutrition Protein Bars, Assorted Flavor Variety Pack - High Protein, Low Carb, Gluten Free, Keto Friendly (In NEYUM Packaging)(10 count)",B0CCPRD9J1,False,False,3.1,4.0
12,"Quest Protein Bar, Crispy Chocolate Caramel Pecan & Crispy Chocolate Peanut Butter. (2pack)",B0CF8QJDHW,False,False,,
13,GoMacro MacroBar Organic Vegan Snack Bars Cherries + Berries 2 Ounce Bars (Pack of 12),B0017U9VKM,False,True,4.6,483.0
14,"QUEST NUTRITION SPO DOUBLE CHOCOLATE CHUNK, 2.12 OZ",B00N55A0KW,False,False,4.5,170.0
15,"QUEST NUTRITION Birthday Cake Protein Bar 12 Count, 2.12 OZ",B07QF1PM2L,False,False,4.2,146.0
16,"Pure Protein Bars, High Protein, Nutritious Snacks to Support Energy, Low Sugar, Gluten Free, Birthday Cake, 1.76 oz, Pack of 12 (Packaging May Vary)",B07RW28RPF,False,False,4.4,11621.0
17,"Quest Nutrition Double Chocolate Chip Protein Cookie, High Protein, Low Carb, 12 Count",B077QB6SRB,False,False,4.2,45668.0
18,"GoMacro MacroBar Mini Organic Vegan Snack Bars - Oatmeal Chocolate Chip (0.90 Ounce Bars, 24 Count)",B07VB5QLGV,False,True,4.6,1222.0
19,"KIND Bars, Dark Chocolate Cherry Cashew, Healthy Snacks, Gluten Free, 12 Count",B003TMZQC8,False,True,4.7,47746.0
20,IQBAR Brain and Body Keto Protein Bars - Chocolate Lovers Variety Keto Bars - 12-Count Energy Bars - Low Carb Protein Bars - High Fiber Vegan Bars and Low Sugar Meal Replacement Bars - Vegan Snacks,B07Y7H3FHB,False,True,4.1,14915.0
21,"Atlas Protein Bar, 20g Protein, 1g Sugar, Clean Ingredients, Gluten Free, Mint Chocolate Chip (12 Count, Pack of 1)",B07Z8BFGBQ,False,True,3.8,3332.0
22,"Pure Protein Bars, High Protein, Nutritious Snacks to Support Energy, Low Sugar, Lemon Cake, 1.76 oz, 12 Count (Pack of 1)(Packaging May Vary)",B08K11C2BB,False,False,4.4,60032.0
23,"Quest Nutrition Cheese Crackers, Spicy Cheddar Blast, 10g of Protein, Low Carb, Made with Real Cheese, 12 Count (1.06 oz bags)",B0C66L19JQ,False,False,4.5,2478.0
24,"Pure Protein Bars, High Protein, Nutritious Snacks to Support Energy, Low Sugar, Gluten free, Chocolate Mint Cookie,1.76oz, 12 Count (Packaging May Vary)",B0BFRTK3C6,False,False,4.5,1525.0
25,"Pure Protein Nut Bars, Caramel Almond Sea Salt, 10g Protein, Gluten Free, Low Sugar, 1.65 oz, 10 Pack (Packaging may vary)",B0BJ12SFMV,False,False,4.5,326.0
26,"Orgain Organic Vegan Protein Bars, Smores - 10g Plant Based Protein, Gluten Free Snack Bar, Low Sugar, Dairy Free, Soy Free, Lactose Free, Non GMO, 1.41 Oz (12 Count)",B01HNTBGWQ,False,True,4.1,10784.0
27,"KIND Bars, Almond & Coconut, Healthy Snacks, Gluten Free, 12 Count",B0034EDMCW,False,True,4.7,28735.0
28,"Tosi Plant Based Protein Bars, 20G Protein (Pack of 12, 2.4oz Bars), Vegan Bars, Crunchy Snacks, Dark Chocolate Peanut Bars with Flax & Chia Seeds, Gluten Free, Omega 3s",B07VZWLRDR,False,True,4.5,354.0
29,"ONE Protein Bars, Peanut Butter & Jelly, Gluten Free Protein Bars with 20g Protein and only 1g Sugar, Guilt-Free Snacking for High Protein Diets, 2.12 oz (12 Count)",B0CDNZQF9G,False,True,4.5,20688.0
30,"Quest Nutrition Tortilla Style Protein Chips Variety Pack, Chili Lime, Nacho Cheese, Loaded Taco, 1.1 Ounce (Pack of 12)",B09GLBLPYG,False,False,4.5,66138.0
31,"PowerBar Protein Plus Bar, Cookies & Cream, 2.15 Ounce (Pack of 15)",B009VV7GKG,False,False,4.2,1391.0
32,"Quest Coated Candies, Chocolatey Peanut, 1g Sugar, 10g Protein, 4g Net Carbs, Gluten Free, 12 Count",B0BXTKWLNJ,False,False,4.2,15.0
33,"Power Crunch Protein Wafer Bars, High Protein Snacks with Delicious Taste, Triple Chocolate, 1.4 Ounce (12 Count)",B000FRUMBK,False,False,4.6,9524.0
34,"ZonePerfect Protein Bars, 15g Protein, 18 Vitamins & Minerals, Nutritious Snack Bar, Cinnamon Roll, 20 Bars",B085LTHMHN,False,True,4.6,9013.0
35,CLIF BAR - Blueberry Almond Crisp - Made with Organic Oats - Non-GMO - Plant Based - Energy Bars - 2.4 oz. (12 Pack),B00NSFBXXW,False,True,4.7,6466.0
36,"FITCRUNCH Snack Size Protein Bars, Designed by Robert Irvine, 6-Layer Baked Bar, 3g of Sugar, Gluten Free & Soft Cake Core (9 Bars, Strawberry Strudel)",B09GHG59N1,False,False,4.4,7266.0
37,"Quest Nutrition Vanilla Protein Shake, High Protein, Low Carb, Gluten Free, Keto Friendly, 11 Fl.Oz 4 Count (Pack of 3)",B07WRQ2K9B,False,False,4.6,11147.0
38,"Lenny & Larry's The Complete Cookie-fied Bar, Cookies & Creme, 45g - Plant-Based Protein Bar, Vegan and Non-GMO (Pack of 9)",B094XB1G8J,False,False,4.5,3225.0
39,Quest Nutrition Chocolate Milkshake Protein Powder; 22g Protein; 1g Sugar; Low Carb; Gluten Free; 1.6 Pound; 24 Servings,B07L91HBFG,False,False,4.4,33225.0
40,"Perfect Bar Snack Size Dark Chocolate Chip Peanut Butter Protein Bar, Protein Snack, Snack Bar, Kids Bar, Organic, Gluten Free, Soy Free, Non GMO, No Sugar Alcohols, 88 Ounce Bars, 8 Count",B096H8LPP2,False,False,4.4,3190.0
41,"Power Crunch Protein Wafer Bars, High Protein Snacks with Delicious Taste, Strawberry Crème, 1.4 Ounce (12 Count)",B08STVX584,False,False,4.5,14418.0
42,"Atkins Peanut Caramel Cluster Bar, Dessert Favorite, High in Fiber, 3g Net Carb, 1g Sugar",B0012J75RY,False,False,4.5,5219.0
43,"KIND Breakfast, Healthy Snack Bar, Almond Butter, Gluten Free Breakfast Bars, 8g Protein, 1.76 OZ Packs (6 Count)",B0BCH4QXYW,False,False,4.6,5919.0
44,"ONE Protein Bars, Peanut Butter & Jelly, Gluten Free Protein Bars with 20g Protein and only 1g Sugar, Guilt-Free Snacking for High Protein Diets, 2.12 oz (12 Count)",B0CDNZQF9G,False,False,4.5,20688.0
45,"Atlas Protein Bar, 20g Protein, 1g Sugar, Clean Ingredients, Gluten Free, Mint Chocolate Chip (12 Count, Pack of 1)",B07Z8BFGBQ,False,False,3.8,3332.0
46,Quest Nutrition Frosted Cookies - Birthday Cake Chocolate Cake Flavors Frosted Cookies. (2pack) 16unit,B0CD33QCC8,False,False,5.0,1.0
47,"SkinnyPop Popcorn, Gluten Free, Dairy Free, Non-GMO, Healthy Snacks, Halloween Snacks for Kids, Skinny Pop Original Popcorn Snack Packs, 0.65oz Individual Size Snack Bags (6 Count)",B00CTJ2710,False,False,4.7,9187.0
48,"thinkThin Protein Bar, Brownie Crunch, 2.1 oz",B000VHF5J8,False,False,4.3,1018.0
49,"Quest Nutrition Protein Bar Delectable Dessert Variety Pack 1. Low Carb Meal Replacement Bar with Over 20 Gram of Protein. High Fiber, Gluten-Free (12 Count)",B07KRMWJ9F,False,False,4.4,839.0
50,CLIF Builders - Chocolate Peanut Butter Flavor - Protein Bars - Gluten-Free - Non-GMO - Low Glycemic - 20g Protein - 2.4 oz. (12 Pack),B09QHBBGJT,False,False,4.6,1487.0
51,"Gatorade Whey Protein Bars, Chocolate Pretzel, 2.8 oz bars (Pack of 12, 20g of protein per bar)",B01B046VS4,False,False,4.6,20042.0
52,"No Cow High Protein Bar, Chocolate Fudge Brownie, 21g Plant Based Protein, Keto Friendly, Low Sugar, Dairy Free, Gluten Free, Vegan, High Fiber, Non-GMO, 12 Count",B01K5SBEJM,False,False,4.3,9046.0
53,"Quest Nutrition Fudgey Brownie Candy Bites, 8 Count (Pack of 3)",B01LVTNGQ3,False,False,4.3,1262.0
54,"ZonePerfect Protein Bars, 10-14g Protein, 17-18 Vitamins & Minerals, Nutritious Snack Bar, Variety Pack, Chocolate Chip Cookie Dough, Fudge Graham, 20 Bars",B093TLD6PD,False,False,4.6,9013.0
55,"Quest Nutrition Protein Bars, Assorted 6 Flavor Variety Pack - High Protein, Low Carb, Gluten Free, Keto Friendly (In NEYUM Packaging) (6 count)",B0CCGLT8T7,False,False,1.0,1.0
56,"Quest Nutrition Protein Bars, Assorted 10 Flavor Variety Pack - High Protein, Low Carb, Gluten Free, Keto Friendly (In NEYUM Packaging) (10 count)",B0CC8DWKJ6,False,False,1.0,1.0
57,"Quest Protein Bar Value Pack 14 Bars, Chocolate Peanut Butter & Double Chocolate Chunk. 1g Sugar 20g Protein",B0CGT9QWQY,False,False,,
58,"Pure Protein Bars, High Protein, Nutritious Snacks to Support Energy, Low Sugar, Gluten Free, Chocolate Deluxe, 1.76 oz., 12 Count(Pack of 1) (Packaging may vary)",B00MNXGSAI,False,False,4.5,13301.0
59,"Built Puffs Bars, 12 Count Protein Bar - High Protein Energy Bars, Collagen, Gluten Free, Chocolate Covered, Low Carb, Low Calorie, Low Sugar, Delicious Protein, Healthy Snack (Maple Donut)",B0CH1GD1KK,False,False,4.5,8.0
