rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Simply Asia Japanese Style Ramen Noodles, 8 oz",B074JGNTTG,False,True,4.5,44
1,"Maruchan Ramen Shrimp, 3 Ounce (Pack of 24)",B003OB6BWI,False,False,4.7,76754
2,"Nongshim Gourmet Spicy Shin Instant Ramen Noodle, 20 Pack, Chunky Vegetables, Premium Microwaveable Ramen Soup Mix, Savory & Rich",B00778B90S,False,False,4.7,18002
3,"Nongshim Premium Shin Black Instant Ramen Noodle Cup, 6 Pack, Chunky Vegetables & Real Beef, Microwaveable Ramen Soup Mix",B00BEIKRBY,False,False,4.6,8387
4,"Maruchan Ramen Less Sodium Chicken, 3.0 Oz, Pack of 24",B004XUGOWQ,False,False,4.5,2408
5,Samyang Buldak Carbo Korean Spicy Hot Chicken Stir-Fried Noodles 4.58oz (Pack of 5),B07CF49TMD,False,False,4.5,5539
6,"Maruchan Ramen Beef, 3 Ounce, Pack of 24",B006MBTC7I,False,False,4.7,13497
7,"LIMITED EDITION - Japanese populer Ramen ""ICHIRAN"" instant noodles tonkotsu 5 meals(Japan Import)",B07Z79J8DD,False,False,4.6,394
8,"Samyang Ramen/ Spicy Chicken Roasted Noodles, 4.93 Ounce (Pack of 5)",B00ICT6ARS,False,False,4.4,98195
9,New Samyang Buldak Quattro Cheese Ramen Hot Chicken Flavor Ramen Pack of 5 (145g x5),B09N2KTF9P,False,False,4.5,16747
10,"Jack Link's Beef Sticks, Wild Heat, 0.92 Ounce, 1 Count - Protein Snack, Meat Stick with 6g of Protein, Made with Premium Beef, No Added MSG",B08WRR2BKJ,False,True,4.2,888
11,"Jack Link's Beef Jerky, Original - Flavorful Meat Snack for Lunches, Ready to Eat Snacks - 7g of Protein, Made with Premium Beef - 0.625 Oz Bags (Pack of 5)",B015SQAWLW,False,True,4.6,150018
12,"Samyang Buldak Spicy Ramen, Hot Chicken Ramen, Korean Stir-Fried Instant Noodle, Original, 1 Bag with 5 Pack",B0C9D5576K,False,False,4.7,15
13,"Samyang Buldak Chicken Stir Fried Ramen Korean Ramen (5 Flavor Combo, 5 Pack)",B07KSJ5YYY,False,False,4.4,3708
14,"Maruchan Ramen Noodle Soup Variety, 7 Flavors, 3 Ounce Single Servings (Pack of 24) with By The Cup Chopsticks",B08GNK1B3Q,False,False,4.7,2404
15,"Nissin Top Ramen Bowl Ramen Noodle Soup, Chicken, 3.42 Ounce (Pack of 6)",B07VTK9WNT,False,False,4.6,2635
16,"Nissin RAOH Ramen Noodle Soup, Soy Sauce, 3.77 Ounce (Pack of 6)",B079T76TQN,False,True,4.6,5780
