rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Untitled Red Tower 2023 Release,1649376162,False,False,,
1,Sanctuary of the Shadow,1649374119,False,False,,
2,The Red Tower (2) (Five Towers),1949785025,False,False,4.6,251.0
3,Bloodguard,1649374054,False,False,,
4,The Wren in the Holly Library,1649374070,False,False,,
5,"Iron Flame (The Empyrean, 2)",1649374178,False,False,,
6,The Last One,1649374402,False,False,,
7,The Half King,1649374100,False,False,,
8,Assistant to the Villain,1649375808,False,False,4.6,1985.0
9,The Games Gods Play,1649376561,False,False,,
10,"Fourth Wing: Empyrean, Book 1",B0BVDJ293G,False,False,4.8,86007.0
11,My Dark Romeo: An Enemies-to-Lovers Romance (Dark Prince Road),1950209075,False,False,4.4,23027.0
12,Star Bringer,B0B8653BN1,False,False,4.2,428.0
13,Heavenbreaker,1649375700,False,False,,
14,"The Cruel Prince (The Folk of the Air, 1)",031631031X,False,False,4.4,38715.0
15,"House of Flame and Shadow (Crescent City, 3)",1635574102,False,False,,
16,A Discovery of Witches: A Novel,B004MTWWD8,False,False,4.5,47715.0
17,The Familiar,125088425X,False,False,,
18,This Dark Descent,1250812364,False,False,4.1,9.0
19,Invisible Life of Addie Larue - Illustrated Edition,1803364181,False,False,4.8,776.0
20,Fire and Fate (Villains),1368076572,False,False,4.5,364.0
21,Emily Wilde's Map of the Otherlands,B0C2PB1Z4J,False,False,,
22,"A Touch of Darkness (Hades x Persephone Saga, 1)",1728258456,False,False,4.4,26992.0
23,"Dark Beauty Mystic and Fantasy: Horror Coloring Book for Adults Features Haunting Illustrations of Creepy, Mysterious, Enchanting, Gorgeous Women for Stress Relief and Relaxation",B0C9KFXNVX,False,False,4.7,413.0
24,"Small Town, Big Magic: A Witchy Rom-Com (Witchlore, 1)",1525804715,False,False,4.0,643.0
25,Saved by the Boats: The Heroic Sea Evacuation of September 11 (Encounter: Narrative Nonfiction Picture Books),1515702707,False,False,4.8,207.0
26,"A Touch of Ruin: Hades & Persephone, Book 2",B08LDZRF5M,False,False,4.5,18773.0
27,The Modern Girl's Guide to Magic: A magical romantic comedy (Charming Cove Book 1),B0C511BLPN,False,False,4.2,4716.0
28,What Is the Statue of Liberty? (What Was?),0448479176,False,False,4.8,730.0
29,"Dark Fantasy Horror Coloring Book For Adults: 60 Unique Creepy, Dark, Mythological, Haunting Nightmares in Black and White For Stress Relief & Relaxation",1922364991,False,False,4.8,34.0
30,Daughter of No Worlds (The War of Lost Hearts Book 1),B082FRD429,False,False,4.4,14628.0
31,The Green Tower (3) (Five Towers),1949785068,False,False,4.7,200.0
32,Look Out For The Little Guy!,1368090133,False,False,4.6,119.0
33,A Throne of Shadows (Prophecy of the Forgotten Fae),1955960062,False,False,4.4,310.0
34,National Geographic Readers: September 11 (Level 3),1426372183,False,False,4.7,130.0
35,"Love, Death, And Dragons: A Humorous Twisted Alice in Wonderland Fairytale Romance with Teeth (Dragonlord of Death Book 1) (Wicked Witches, Curses and Kisses 9)",B0CJJTC9QC,False,False,4.7,5.0
36,The Ever King: A Dark Fantasy Romance (The Ever Seas Book 1),B0BP8DW2VN,False,False,4.6,580.0
37,The Fair Isle Trilogy: Complete Series Collection,1955960011,False,False,4.4,1177.0
38,"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",125019623X,False,False,4.7,20011.0
39,Seraphim Academy: The Complete Series,B0BG39TLGL,False,False,4.6,679.0
40,Symbol of Hope,B0C2L946B6,False,False,4.2,158.0
41,"Ocean Adventure Coloring Book: Discover Sea Life in Color | Sea Creature Enthusiast Gift Idea for Adults, Teens, And Kids (Coloring Books With Fun Facts!)",B0CH25MFGY,False,False,5.0,2.0
42,Tower of Pain and Sorrow: A Fractured Fairy Tale Age Gap Romance (Shattered Ever After Book 2),B0C91R7Q68,False,False,,
43,A Blossom at Midnight: A YA Epic Fae Fantasy (The Scented Court Book 1),B09NSWGP81,False,False,4.6,470.0
44,City of Ruin (Witch Walker Book 2),B0B46FSW37,False,False,4.5,2004.0
45,Sherlock Holmes - The Red Tower,1783298685,False,False,4.3,193.0
46,The Midnight Bargain,B08519H2FJ,False,False,4.2,1260.0
47,The Witch Collector (Witch Walker Book 1),B09H6894GR,False,False,4.3,5589.0
