rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Happy Belly Jasmine Rice, 2 lb",B08B217JP5,True,False,4.7,3807
1,"365 by Whole Foods Market, Enriched Long Grain White Rice, 80 Ounce",B084N8LZS3,True,False,4.6,650
2,"Amazon Brand - Happy Belly Brown Rice, 5 lb",B08C92WFWG,True,False,4.5,871
3,"365 by Whole Foods Market, Rice Short Grain White Sushi, 16 Ounce",B084NJ1JXN,False,False,4.7,804
4,"365 by Whole Foods Market, Organic White Basmati Indian Rice, 32 Ounce",B084NJH5FD,True,False,4.7,1610
5,"AmazonCommercial Stainless Steel 3 x 2.5 Quarts Triple Slow Cooker, Brushed Stainless Steel",B089MDNKKT,True,False,4.5,504
6,"365 by Whole Foods Market, Organic Tikka Masala Sauce, 12 Ounce",B07NRJ7LK7,True,False,4.3,2760
7,"Amazon Basics Enameled Cast Iron Covered Round Dutch Oven, 4.3-Quart, White",B07B4ZFC8S,True,False,4.7,43374
8,"365 by Whole Foods Market, Rice Medium Grain Calrose Enriched, 32 Ounce",B084NHQTTG,False,False,4.6,266
9,"365 by Whole Foods Market, Spelt Green Lentils & Brown Rice, 8.8 Ounce",B074H681DQ,True,False,4.6,1772
10,"365 by Whole Foods Market, Long Grain Brown and Wild Rice, 8.8 Ounce",B074H5J9MD,True,False,4.5,1731
