rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"All-new Ring Indoor Cam (2nd Gen) | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover (2023 release) | White",B0B6GLQJMV,False,False,4.6,3100.0
1,"Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White",B0C5QRZ47P,False,False,4.7,60254.0
2,"Certified Refurbished Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Satin Nickel",B0876GVJ3D,False,False,4.6,5103.0
3,"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, Black (2021 release)",B08F6DWKQP,False,False,4.7,30733.0
4,"Ring Spotlight Cam Plus, Battery | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - White",B09JZ5BG26,False,False,4.6,5733.0
5,"Ring Floodlight Cam Wired Pro with Bird’s Eye View and 3D Motion Detection, White",B08FCWRXQR,False,False,4.7,7569.0
6,"Introducing Ring Stick Up Cam Pro, Battery | Two-Way Talk with Audio+, 3D Motion Detection with Bird’s Eye Zones, and 1080p HDR Video & Color Night Vision (2023 release), White",B09CKN55DW,True,False,,
7,"Ring Peephole Cam - Smart video doorbell, HD video, 2-way talk, easy installation",B07WHMQNPC,False,False,4.6,17277.0
8,"Wireless Video Doorbell Camera, Indoor/Outdoor Surveillance Cam Included Ring Chime, AI Human Detection, Live View, 2-Way Audio, 2.4G Wi-Fi, Night Vision, Instant Alerts, Cloud Storage",B0CG1WMT36,False,False,4.3,11.0
9,"Ring Spotlight Cam Plus, Plug-in | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - Black",B09J6BCPHG,False,False,4.5,1292.0
10,"Certified Refurbished Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - White",B082YTBWTS,False,False,4.6,6843.0
11,"Ring Floodlight Cam Wired Pro with Bird’s Eye View and 3D Motion Detection, White",B08FCWRXQR,True,False,4.7,7569.0
12,"Ring Stick Up Cam Plug-In HD security camera with two-way talk, Works with Alexa - White",B0C5QRYBJB,False,False,4.7,10327.0
13,"Ring Spotlight Cam Plus, Solar | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - Black",B0B83BYJW2,False,False,4.8,1754.0
14,"Certified Refurbished Ring Indoor Cam, Compact Plug-In HD security camera with two-way talk, Works with Alexa - White",B082YTNFWG,False,False,4.6,8339.0
15,"Certified Refurbished Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White (2021 release)",B08FF4RVNM,False,False,4.5,975.0
16,"Ring Camera Solar Panel Charger,5W Solar Panels for Ring Stick Up Cam/Ring Spotlight Cam Battery/Spotlight Cam Plus/Spotlight Cam Pro/Outdoor Wireless Security Camera (2, Black)",B0CBYMY6BQ,False,True,4.3,21.0
17,"Ring Video Doorbell - 1080p HD video, live notifications when away from home, simple setup, privacy controls | Venetian Bronze",B08N5NQ69J,False,False,4.6,173796.0
18,"Blink Video Doorbell | simple setup, two-year battery life, HD video, motion alerts, Works with Alexa — battery or wired (Black)",B08SG2MS3V,False,False,4.3,113365.0
19,"Ring Video Doorbell Wired – Convenient features in a compact design, pair with Ring Chime to hear audio alerts in your home (existing doorbell wiring required)",B08CKHPP52,True,False,4.5,71819.0
20,"Ring Spotlight Cam Pro, Battery | 3D Motion Detection, Two-Way Talk with Audio+, and Dual-Band Wifi (2022 release) - White",B09DRX62ZV,True,False,4.4,1887.0
21,"Video Doorbell Camera, WiFi Wireless Doorbell Camera with 2 Way Audio, Night, APP Control, Variety of Ringings, Smart Video Doorbell for Home Office",B0BQWW8PFD,False,True,1.8,6.0
