rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Ring Video Doorbell - 1080p HD video, improved motion detection, easy installation – Venetian Bronze",B08N5NQ69J,False,False,4.6,173796.0
1,"All-new Ring Indoor Cam (2nd Gen) | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover (2023 release) | White",B0B6GLQJMV,False,False,4.6,3100.0
2,"Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White",B0C5QRZ47P,False,False,4.7,60254.0
3,"Ring Video Doorbell Wired – Convenient features in a compact design, pair with Ring Chime to hear audio alerts in your home (existing doorbell wiring required)",B08CKHPP52,False,False,4.5,71819.0
4,"Ring Spotlight Cam Plus, Battery | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - White",B09JZ5BG26,False,False,4.6,5733.0
5,"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, Black (2021 release)",B08F6DWKQP,False,False,4.7,30733.0
6,"Introducing Ring Stick Up Cam Pro, Battery | Two-Way Talk with Audio+, 3D Motion Detection with Bird’s Eye Zones, and 1080p HDR Video & Color Night Vision (2023 release), White",B09CKN55DW,True,False,,
7,"Ring Floodlight Cam Wired Pro with Bird’s Eye View and 3D Motion Detection, White",B08FCWRXQR,False,False,4.7,7569.0
8,"Ring Video Doorbell Pro – Upgraded, with added security features and a sleek design (existing doorbell wiring required)",B08M125RNW,False,False,4.6,46230.0
9,Ring Alarm Contact Sensor 6-pack (2nd Gen),B07ZPLN8R3,False,False,4.7,25248.0
10,"Ring Battery Doorbell Plus | Head-to-Toe HD+ Video, motion detection & alerts, and Two-Way Talk (2023 release)",B09WZBPX7K,False,False,4.5,1880.0
11,"Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White",B0C5QRZ47P,True,False,4.7,60254.0
12,The Ring,B00DQJPJXK,False,False,4.5,5002.0
13,"Ring Solar Charger for Battery Doorbells - Video Doorbell 3, Video Doorbell 3 Plus, Video Doorbell 4, Battery Doorbell Plus",B0B3FCLY26,False,False,4.1,3743.0
14,Ring Wall Mount for Solar Panels and Cams - White,B09CBZSVL6,False,False,4.5,2331.0
15,"Certified Refurbished Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Satin Nickel",B0876GVJ3D,False,False,4.6,5103.0
16,THELANDA Sterling Silver 4-Prong Petite Twisted Vine Simulated 1.0 CT Diamond Or Moissanite Engagement Ring Promise Bridal Ring,B09TFVJRQQ,False,True,4.5,454.0
17,Ring Chime Pro,B07WML2XTD,False,False,4.6,46383.0
18,"Certified Refurbished Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White (2021 release)",B08FF4RVNM,False,False,4.5,975.0
19,"Ring Video Doorbell, Satin Nickel bundle with Ring Stick Up Cam Battery, White",B0CCZDS5T2,True,False,4.6,173796.0
20,Ring Alarm Panic Button (2nd gen) 2-pack,B09SKHWNG7,True,False,4.7,241.0
21,"Stunning Flame 0.75ct-3.00ct Solitaire Engagement Ring White Gold Plated Sterling Silver Cubic Zirconia Wedding for Women | Excellent Cut, D Color, FL Clarity & Exquisite Polish",B073PWY2S7,False,True,4.5,2444.0
