rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Roblox Physical Gift Card [Includes Free Virtual Item],B0BCFJF51G,False,True,4.6,940
1,"Roblox Digital Gift Code for 1,700 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCCYLB13,False,True,4.6,147339
2,"Roblox Digital Gift Code for 2,200 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B07RX6FBFR,False,False,4.6,147339
3,"Roblox Digital Gift Code for 1,700 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCCYLB13,False,False,4.6,147339
4,"Roblox Digital Gift Code for 4,500 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B07RZ75JW3,False,False,4.6,147339
5,"Roblox Digital Gift Code for 10,000 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B08R5N6W6B,False,False,4.6,147339
6,Roblox Digital Gift Code for 800 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code],B07RZ74VLR,False,False,4.6,147339
7,"Roblox Digital Gift Code for 2,700 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCDJGJ9N,False,False,4.6,147339
8,"Roblox Digital Gift Code for 22,500 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCD3886F,False,False,4.6,147339
9,"Roblox Digital Gift Code for 1,200 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCCXZDT5,False,False,4.6,147339
10,Roblox Physical Gift Card [Includes Free Virtual Item],B0BCF9T8QJ,False,False,4.6,940
11,"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more",B08B3NYGBF,False,True,4.8,8318
12,"Roblox Digital Gift Code for 3,600 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCD38868,False,False,4.6,147339
13,"Roblox Digital Gift Code for 7,000 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCDDPBCK,False,False,4.6,147339
14,"Roblox Digital Gift Code for 16,000 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCDJ9Q4W,False,False,4.6,147339
15,"Roblox Digital Gift Code for 13,000 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCDSPNQ1,False,False,4.6,147339
16,"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (eGift)",B08F7GTP2R,False,True,4.7,59188
17,Amazon.com eGift Card,B07PCMWTSG,False,False,4.8,870841
18,Discord Nitro 1-Month Subscription Gift Card [Digital Code],B0CF4J58QK,False,False,4.0,15
19,$20 Xbox Gift Card [Digital Code],B00F4CEWOY,False,False,4.6,176097
20,Roblox Action Collection - Citizens of Roblox Six Figure Pack [Includes Exclusive Virtual Item],B01D1FHEAO,False,True,4.8,2275
