rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Replacement Remote Control for Roku Box,Compatible with Roku 1/2/3/4 (HD,LT,XS,XD),Express,Premiere and Ultra with IR Learning Function to Control Soundbar or TVs (NOT for Roku Stick and Roku TV)",B0CFQF6NZM,False,True,,
1,"(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku Smart TVs (Not for Roku Stick and Box)",B09Z6Q2MLC,False,True,4.5,20877.0
2,"Roku Voice Remote (Official) for Roku Players, Roku Audio, and Roku TV",B0BQS9Y69G,False,False,4.6,4100.0
3,"(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku Smart TVs (Not for Roku Stick and Box)",B09Z6Q2MLC,False,False,4.5,20877.0
4,"Roku Voice Remote Pro with TV controls | Rechargeable , lost remote finder, private listening , and shortcut buttons for Roku Players, TV, & Streambars",B0916RDGMD,False,False,4.6,11818.0
5,RC280 Replacement Remote Applicable for TCL Roku TV 55UP120 32S4610R 50FS3750 32FS3700 32FS4610R 32S800 32S850 32S3850 48FS3700 55FS3700 65S405 43S405 49S405 40S3800 50S431 55S431 43S435 50S435 43S525,B078T633Q9,False,False,4.5,78296.0
6,"(Pack of 2) Replacement Remote Control for Roku TV, Roku Streaming Players, Roku Express, for Roku Premiere, for Roku Box, for Roku 1 2 3 4 (Not for Roku Stick and Box)",B0C5QQZ5G6,False,True,3.6,10.0
7,"【Pack of 2】 Replacement for Roku-TV-Remote, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku Series Smart TVs (Not for Roku Stick and Box)",B0CBQ2SH97,False,False,4.3,126.0
8,"LOUTOC Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku Series Smart TVs (Not for Roku Stick and Box)",B09GY8YCS2,False,False,4.4,23455.0
9,"【Pack of 2】 RC280 Replacement Remote Control for Roku TV,Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku/Insignia Roku/Jvc Roku/RCA Smart TVs",B0BGPPX7DC,False,False,4.5,2138.0
10,"(2 Pack) Replacement Remote Control for Roku Express, for Roku Premiere, for Roku Box, for Roku Player, for Roku 1 2 3 4 -【NOT for Any Stick or TV】",B0C6K956T6,False,False,4.6,143.0
11,"(Pack of 2) Replaced Remote Control Only for Roku Box, Compatible for Roku 1/2/3/4 (HD,LT,XS,XD),for Roku Express,for Roku Premiere(NOT for Roku Stick and Roku TV)",B0BQM9696D,False,True,4.4,940.0
12,"【Pack of 2】 Replacement Remote Control Compatible for Roku TV,for TCL Roku/for Hisense Roku/for Onn Roku(Not for Roku Stick,Box and Players)",B0BNYZCC66,False,False,4.4,2146.0
13,"【Pack of 2】New Universal TV Remote for All Roku TV，Replacement Remote Compatible Only for Roku TV Remote, Replacement for TCL Roku/for Hisense Roku/for Onn Roku TV(Not for Roku Stick and Box)",B0BV5VRKJ5,False,False,4.5,1332.0
14,"(Set of 2) Replacement Remote Controls Exclusively for RKU- TV: Compatible with TCL, Hisense, Onn, Sharp, Element, Westinghouse, and Philips RKU- Series Smart TVs (Not for RKU- Stick or Box)",B0CB911HC5,False,False,4.5,63.0
15,Replacement Remote Compatible for TCL Roku/Hisense Roku/Onn Roku/Insignia Roku/Element Roku/Westinghouse Roku/Hitachi Roku TVs【Only Applicable to Roku TV】,B09L43KYCV,False,False,4.5,4599.0
16,"Universal TV Remote for Roku TV with Blue Glow Case, for TCL Hisense Onn Sanyo Philips Sharp JVC Hitachi Element Roku TV Remote, Remote with Netflix Sling Hulu Vudu Starz Amazon HBONOW YouTube Buttons",B09ZP6N63C,False,True,4.3,253.0
17,"Universal TV Remote for Roku Players and Roku TV Remote, for Roku 1 2 3 4, Roku Express/+, Roku Premiere/+, Roku Ultra and TCL Hisense Onn Element Sharp Philips Roku TV (Not for Roku Stick)",B0BDFDS7BF,False,False,4.1,763.0
18,"Pack of 2 Replacement for All Roku TV Remote, Universal for Hisense Roku/TCL Roku/Onn Roku/Element Roku/Sharp Roku/Haier/Hitachi/LG/Sanyo/JVC/Magnavox/RCA/Philips/Westinghouse Roku Series Smart TV",B087QBB7GJ,False,False,4.4,9924.0
19,"LOUTOC Universal Replacement Remote Control Compatible with Roku Express, for Roku Premiere, for Roku Box/ Player, for Roku 1 2 3 4 -【NOT for Stick or TV】",B092VWJR99,False,False,4.4,3601.0
20,"(Pack of 2) Replaced Remote Control Only for Roku Box, Compatible for Roku 1/2/3/4 (HD,LT,XS,XD),for Roku Express,for Roku Premiere(NOT for Roku Stick and Roku TV)",B0BQM9696D,False,False,4.4,940.0
21,"LOUTOC Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku Series Smart TVs (Not for Roku Stick and Box)",B09GY8YCS2,False,True,4.4,23455.0
