rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Roku Express 4K+ | Roku Streaming Device 4K/HDR, Roku Voice Remote, Free & Live TV",B0916TKFF2,False,False,4.7,62689
1,"Roku Streaming Stick 4K | Portable Roku Streaming Device 4K/HDR/Dolby Vision, Roku Voice Remote, Free & Live TV",B09BKCDXZC,False,False,4.7,64340
2,"Roku Express (New) | HD Roku Streaming Device with Simple Remote (no TV controls), Free & Live TV",B0BCH5H2R3,False,False,4.7,21939
3,"Roku Ultra | The Ultimate Roku Streaming Device 4K/HDR/Dolby Vision/Atmos, Rechargeable Roku Voice Remote Pro, Ethernet Port, Hands-Free Controls, Lost Remote Finder, Free & Live TV",B09T4VZDYV,False,False,4.6,7148
4,"Roku Express HD Streaming Device with High-Speed HDMI Cable and Simple Remote, Guided Setup, and Fast Wi-Fi (2022) (Renewed)",B0BV5PPRFM,False,False,4.6,3
5,"Roku Express 4K+ 2021 | Streaming Media Player HD/4K/HDR with Smooth Wireless Streaming and Roku Voice Remote with TV Controls, Includes Premium HDMI Cable (Renewed), Black",B09HR7SWTR,False,False,4.6,3619
6,Roku Streaming Stick 4K 2021 Device HDR/D. Vision with Roku Voice Remote and TV Controls (Renewed),B09X5DL9S5,False,False,4.5,3501
7,"Roku Premiere | HD/4K/HDR Streaming Media Player, Simple Remote and Premium HDMI Cable, Black",B07HDBZN7Q,False,False,4.7,93555
8,"Roku Streambar | 4K HDR Streaming Device & Premium Roku Soundbar All In One, Roku Voice Remote, Free & Live TV",B08G8JH836,False,False,4.5,10741
9,"Roku Voice Remote Pro with TV controls | Rechargeable , lost remote finder, private listening , and shortcut buttons for Roku Players, TV, & Streambars",B0916RDGMD,False,False,4.6,11818
10,Roku Streaming Stick 4K+ Streaming Device 4K/HDR/Dolby Vision with Voice Remote Pro,B09BKCQYRN,False,False,4.6,4297
11,"LOUTOC Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku Series Smart TVs (Not for Roku Stick and Box)",B09GY8YCS2,False,True,4.4,23455
12,Roku Streaming Stick 4K+ Streaming Device 4K/HDR/D. Vision with Roku Voice Remote Pro (Renewed),B0C9W67YP3,False,False,3.8,16
13,"Roku Premiere | HD/4K/HDR Streaming Media Player with Simple Remote and Premium HDMI Cable, Black (Renewed)",B07NWB8H5S,False,False,4.6,8614
14,Roku Ultra LT Streaming Media Player 4K/HD/HDR w/ 4K HDMI Cable,B09GVS3WBW,False,False,4.7,868
15,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls,B075XLWML4,False,False,4.7,125443
16,"(Pack of 2) Roku Remote Replacement Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku, (Infrared)",B0C8N5S3QM,False,True,5.0,1
17,"Roku Premiere Streaming Media Player HD/4K/HDR Simple Remote and Premium HDMI Cable, Black & Bundle Swanky Cables HDMI Cable, 3920R",B09RGT465X,False,False,4.7,112
18,Silicone Cover for Roku Voice TV Remote RCAL7R/Roku Express/Roku Streaming Stick TV Remote Protective Case Silicone Sleeve for Roku TV Remote Cover with Lanyard(Blue),B0C8T9BFXG,False,True,4.1,16
19,2Pack Remote Control Cover fits for Roku Express 2021 | TCL Roku Silicone Protective Controller Sleeve Universal for Onn Roku TV | Hisense Roku Streaming Stick Remote Case with Lanyard Glow Blue&Green,B0BY8QZW5M,False,True,4.4,579
20,"Master Cables Roku HDMI Cable Compatible with: - Roku LT. - Roku 1. - Roku 2. - Roku 2 HD, XD, XS. - Roku 3. - Roku 4. - Roku Express. Roku Steambar",B079Y4HVTP,False,True,4.6,427
