rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Maui Moisture Heal & Hydrate + Shea Butter Shampoo + Conditioner to Repair & Deeply Moisturize Tight Curly Hair with Coconut & Macademia Oils, Vegan, Silicone, Paraben & Sulfate-Free, 13 Fl Oz",B09PJ4TC8Y,False,True,4.5,1054
1,"Pantene Shampoo, Conditioner and Hair Treatment Set, Daily Moisture Renewal for Dry Hair, Safe for Color-Treated Hair",B09GV3RGW2,False,True,4.7,3069
2,"Argan Oil Shampoo and Conditioner Set - Sulfate-Free Formula with Nourishing Moroccan Oil and Keratin -for All Hair, Curly or Straight - Hydrate Repair and Defy Frizz for Salon-like Results! (16 Fl Oz (Pack of 2))",B01BFKIJ06,False,True,4.3,12141
3,"Maui Moisture Lightweight Hydration + Hibiscus Shampoo + Conditioner for Daily Moisture, No Sulfates, 13 Fl Oz",B09PJ5YH75,False,True,4.5,5903
4,"L’Oréal Paris Elvive Total Repair 5 Repairing Shampoo and Conditioner for Damaged Hair, 28 Ounce (Set of 2)",B0842YG95G,False,False,4.6,31332
5,"MONDAY HAIRCARE Gentle Shampoo + Conditioner Set (2 Pack) 12oz Each for Normal to Delicate Hair Types, Made from Coconut Oil, Rice Protein, & Vitamin E, 100% Recyclable Bottles",B0B9422HBP,False,False,4.3,1515
6,"Aussie Total Miracle Shampoo, Conditioner and 3 Minute Miracle Deep Conditioner Hair Treatment Bundle, Infused with Apricot and Australian Macadamia Oil, Paraben Free",B0857LKWKY,False,False,4.7,5556
7,"OGX Nourishing + Coconut Milk Shampoo & Conditioner Set, 13 Fl Oz (Pack of 2) (packaging may vary), White",B078K4SVCH,False,False,4.5,4115
8,"MONDAY HAIRCARE Moisture Shampoo + Conditioner Set for Dry, Coarse, Stressed, Coily & Curly Hair, Made from Coconut Oil, Rice Protein, Shea Butter, & Vitamin E, All-Natural, 12 Fl Oz (Pack of 2)",B0B941XTDZ,False,False,4.2,1496
9,BIOSILK Silk Therapy Duo Set Shampoo and Conditioner - 12 Fl Oz (Pack of 2),B004J0RHTO,False,False,4.5,9465
10,Biolage Ultra Hydra Source Shampoo & Conditioner Set | Anti-Frizz Deep Conditioner Renews Hair's Moisture | For Very Dry Hair | Silicone-Free | Vegan,B091V8JN2Q,False,True,4.7,3015
11,"Pantene Sulfate Free Shampoo and Conditioner Set, Rose Water, Soothing and Moisturizing, Nutrient Infused with Vitamin B5, for all Hair Types, Safe for Color Treated Hair,Pro-V Blends, 17.9 oz,2-Count",B07N3BN1KS,False,True,4.5,9152
12,"Herbal Essences Shampoo and Conditioner Set Repairing Argan Oil of Morocco with Natural Source Ingredients, Color Safe, BioRenew, 20.2 Fl Oz, 2 Count",B07NQ69L7P,False,True,4.6,19589
13,"OUAI Medium Shampoo + Conditioner Set - Nourishes with Babassu and Coconut Oils, Strengthens with Keratin & Adds Shine with Kumquat Extract - Free of Parabens, Sulfates & Phthalates - 10 fl oz Each",B08SYKL11M,False,True,4.4,2353
14,"L'Oreal Paris Elvive Dream Lengths Shampoo and Conditioner Kit, Paraben Free, 1 kit",B08D7J83PZ,False,False,4.6,16291
15,"Argan Oil Shampoo and Conditioner Set - Sulfate-Free Formula with Nourishing Moroccan Oil and Keratin -for All Hair, Curly or Straight - Hydrate Repair and Defy Frizz for Salon-like Results! (16 Fl Oz (Pack of 2))",B01BFKIJ06,False,False,4.3,12141
16,"Aussie Miracle Moist Shampoo, and 3 Minute Miracle Deep Conditioner Hair Treatment Bundle, Infused with Avocado & Australian Jojoba Oil, Paraben Free, White, Citrus, 3 Piece Set",B0857LTYZ2,False,False,4.7,8819
