rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Pantene Shampoo Twin Pack with Hair Treament, Daily Moisture Renewal for Dry Hair, Safe for Color-Treated Hair",B09GV8S8TS,False,True,4.6,904
1,"Pantene Sulfate Free Shampoo, with Rice Water, Protects Natural Hair Growth, Volumizing, for Women, Nutrient Infused with Vitamin B5, Safe for Color Treated Hair, Pro-V Blends, 30.0 oz",B0BS56VQGF,False,True,4.5,244
2,"Pantene Sulfate Free Rose Water Shampoo, Soothes, Replenishes Hydration, Safe for Color Treated Hair, Nutrient Infused with Vitamin B5 and Antioxidants, Pro-V Blends, 30.0 oz",B0BS4JM1KH,False,True,4.5,486
3,"Nutrafol Shampoo, Cleanse and Hydrate Hair and Scalp, Improves Hair Volume, Strength and Texture, Physician-formulated for Thinning Hair, Color Safe, Sulfate free - 8.1 Fl Oz Bottle",B09XS8F3P2,False,True,4.3,868
4,Dove Nutritive Solutions Shampoo Daily Moisture 20.4 oz,B000RYYI7K,False,False,4.7,1771
5,L’Oréal Paris Elvive Total Repair 5 Repairing Shampoo for Damaged Hair Shampoo with Protein and Ceramide for Strong Silky Shiny Healthy Renewed Hair 28 Fl Oz,B07525QJC8,False,False,4.6,31332
6,"Garnier Fructis Pure Clean Purifying Shampoo, Silicone-Free, 12.5 Fl Oz, 3 Count (Packaging May Vary)",B07BVKK11Q,False,False,4.5,19234
7,"OGX Extra Strength Refreshing Scalp + Teatree Mint , Invigorating Scalp Shampoo with Tea Tree & Peppermint Oil & Witch Hazel, Paraben/ Sulfate-Free Surfactants, 13 fl oz",B076S6KMY9,False,False,4.5,12926
8,Dove Nutritive Solutions Moisturizing Shampoo Daily Moisture for Dry Hair with Pro-Moisture Complex for Manageable and Silky Hair 12 oz (Pack of 4),B01INE0KAY,False,False,4.7,4025
9,Olaplex No. 4 Bond Maintenance Shampoo,B07D37PQGL,False,False,4.7,67568
10,"365 by Whole Foods Market, Volume & Thick Shampoo Rosemary Mint, 32 Fl Oz",B08RG15SLJ,True,False,4.3,137
11,"Dr. Squatch Citrus & Cypress Men's Shampoo + Conditioner Hair Bundle - Keeps Hair Looking Full, Healthy, Hydrated",B06XTG99F9,False,True,4.6,8114
12,DAE Hair Signature Shampoo - Cleanses & Hydrates Dry Hair & Scalp (10 oz.),B09J1KZMK7,False,True,4.5,235
13,"OGX Ever Straightening + Brazilian Keratin Therapy Shampoo, for Lustrous, Shiny Hair, Paraben-Free, Sulfate-Free Surfactants, Coconut Oil, Keratin powder,Avocado oil and cocoa butter, 13 Fl Oz",B004ISW5YY,False,True,4.5,8221
14,"PURA D'OR Original Gold Label Anti-Thinning Biotin Shampoo Natural Earthy Scent,Clinically Tested Proven Results,Herbal DHT Blocker Hair Thickening Products For Women & Men,Color Treated Hair,16oz",B00FH692PQ,False,False,4.3,26745
15,"OGX Nourishing + Coconut Milk Moisturizing Shampoo for Strong & Healthy Hair, with Coconut Milk, Coconut Oil & Egg White Protein, Paraben-Free, Sulfate-Free Surfactants, 25.4 fl oz",B002KG28PW,False,False,4.6,6358
16,"OGX Thick & Full + Biotin and Collagen Shampoo, 25.4 Fl Oz",B071NVVNK3,False,False,4.5,3458
17,"Aveeno, Fresh Greens Blend Sulfate-Free Shampoo with Rosemary, Peppermint & Cucumber to Thicken & Nourish, Clarifying & Volumizing Shampoo for Thin or Fine Hair, Paraben-Free, 12oz",B07HMK15G9,False,False,4.5,7861
18,"Nexxus Clean and Pure Clarifying Shampoo, With ProteinFusion, Nourished Hair Care Silicone, Dye And Paraben Free 33.8 oz",B088SKYMF2,False,True,4.5,1991
19,"Purezero Biotin Shampoo & Conditioner set - Anti Thinning Formula - Volumizing, Thicker, Fuller Hair - Zero Sulfates, Parabens, Dyes, Gluten - 100% Vegan & Cruelty Free - Great For Color Treated Hair",B07VQNXFL4,False,True,4.3,1187
20,"Pacifica Beauty, Pineapple Curls Curl Enhancing Natural Shampoo, For Curly, Coily, & Textured Hair Types, Fresh Pineapple Scent, Hyaluronic Acid + Argan Oil, Silicone Free, Vegan + Cruelty Free",B082G1H1BN,False,True,4.3,4479
21,"MONDAY HAIRCARE Moisture Shampoo + Conditioner Set for Dry, Coarse, Stressed, Coily & Curly Hair, Made from Coconut Oil, Rice Protein, Shea Butter, & Vitamin E, All-Natural, 12 Fl Oz (Pack of 2)",B0B941XTDZ,False,True,4.2,1496
22,"365 by Whole Foods Market, Strength & Vitality Shampoo Coconut & Honey, 32 Fl Oz",B08RG6WLK3,False,False,4.5,66
23,Biolage Color Last Shampoo | Helps Protect Hair & Maintain Vibrant Color | For Color-Treated Hair | Paraben & Silicone-Free | Vegan | Cruelty Free | Color Protecting Salon Shampoo,B00ILBUEVK,False,False,4.7,34555
24,Olaplex No. 5 Bond Maintenance Conditioner,B08T47QVNR,False,False,4.6,65499
25,"Mielle Organics Rosemary Mint Strengthening Shampoo Infused with Biotin, Cleanses and Helps Strengthen Weak and Brittle Hair, 12 Ounces",B07N7MWX72,False,False,4.5,11607
26,"Tea Tree Special Shampoo, Deep Cleans, Refreshes Scalp, For All Hair Types, Especially Oily Hair",B003E1CYHO,False,False,4.7,53138
27,Herbal Essences Hello hydration shampoo shampooing for hair 29.2 FL OZ (Packaging may vary),B084LHV2M1,False,False,4.6,2073
28,"Neutrogena Exfoliating Healthy Scalp Clarify & Shine Shampoo for Oily Hair and Scalp, Anti-Residue Shampoo with Pink Grapefruit, pH-Balanced, Paraben & Phthalate-Free, Color-Safe, 12oz",B08KSLGXFH,False,False,4.4,5649
29,"OGX Renewing + Argan Oil of Morocco Hydrating Hair Shampoo, Cold-Pressed Argan Oil to Help Moisturize, Soften & Strengthen Hair, Paraben-Free with Sulfate-Free Surfactants, 25.4 fl oz",B008J2GP9G,False,False,4.6,7767
30,TRESemmé Shampoo Moisture Rich 3 Count for Dry Hair Professional Quality Salon-Healthy Look and Shine Moisture Rich Formulated with Vitamin E and Biotin 28 oz,B08BTMXSG6,False,False,4.7,3980
31,Dove DermaCare Scalp Anti Dandruff Shampoo for Dry and Itchy Scalp Dryness and Itch Relief Dry Scalp Treatment with Pyrithione Zinc 12 oz,B01N49E07T,False,False,4.5,1892
32,"Garnier Fructis Pure Moisture Hydrating Shampoo for Dry Hair and Scalp, 33.8 Fl Oz, 1 Count (Packaging May Vary)",B0BHX5Q76Q,False,False,4.6,261
