rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 by Whole Foods Market, Strength & Vitality Shampoo Coconut & Honey, 32 Fl Oz",B08RG6WLK3,False,False,4.5,66
1,"365 by Whole Foods Market, 3N1 Shampoo Conditioner Body Wash Orange, 16 Fl Oz",B08RG125FH,False,False,5.0,1
2,"Amazon Basics Dandruff Shampoo, Everyday Use, Normal to Oily Hair, 33.8 Fluid Ounces, 4-Pack (Previously Solimo)",B09HHBZXCH,True,False,4.5,5857
3,"Amazon Basics 2-in-1 Dandruff Shampoo & Conditioner, Gentle and pH Balanced, 14.2 Fluid Ounces, 6-Pack (Previously Solimo)",B09HHHDWN2,True,False,4.5,5442
4,"Amazon Basics 2-in-1 Dandruff Shampoo and Conditioner for Men, Smooth Spice Scent, 14.2 Fluid Ounces, 1-Pack (Previously Solimo)",B09HHC156B,True,False,4.5,2022
5,"365 by Whole Foods Market, Rosemary Mint Volume And Thick Shampoo, 16 Fl Oz",B08RG6PY1L,False,False,4.4,39
6,"365 by Whole Foods Market, Volume & Thick Shampoo Rosemary Mint, 32 Fl Oz",B08RG15SLJ,True,False,4.3,137
7,"365 by Whole Foods Market, 3N1 Shampoo Conditioner/Body Wash Watermelon, 16 Fl Oz",B08RG17DPY,False,False,4.5,2
8,"Amazon Brand - Solimo 2-in-1 Dandruff Shampoo & Conditioner, Gentle and pH Balanced, 14.2 fl oz",B07NJPMVGK,True,False,4.5,5442
9,"365 by Whole Foods Market, Shampoo Fragrance Free, 32 Fl Oz",B01MRID4L8,False,False,4.4,610
10,"Amazon Basics Moisture Rich Conditioner, 28 Fluid Ounce",B09HHHH8B3,True,False,4.3,1766
11,"Amazon Basics 2-in-1 Dandruff Shampoo and Conditioner, Clean Apple Scent, 14.2 Fluid Ounces, 6-Pack (Previously Solimo)",B09HHBW24H,True,False,4.4,1138
12,"Amazon Basics Soft & Sleek Conditioner for Dry or Damaged Hair, 28 Fluid Ounce",B09HHGVGQB,True,False,4.3,999
13,"365 by Whole Foods Market, Rosemary Mint Volume And Thick Conditioner, 32 Fl Oz",B08RG11XNN,False,False,4.3,39
14,"365 by Whole Foods Market, Moisture & Shine Conditioner Lavender, 32 Fl Oz",B08RG15JJ4,True,False,4.2,51
15,"365 by Whole Foods Market, Rosemary Mint Volume And Thick Conditioner, 16 Fl Oz",B08RG22WGN,False,False,4.5,29
16,"365 by Whole Foods Market, Coconut & Honey Strength And Vitality Conditioner, 32 Fl Oz",B08RFZX7X9,False,False,4.6,45
17,"Amazon Basics 2-in-1 Dandruff Shampoo and Conditioner for Men, Smooth Spice Scent, 14.2 Oz & Men's Body Wash, Sport Scent, 18 Fl Oz (Shipped Separately)",B0BCF87D57,True,False,4.4,6
18,"365 by Whole Foods Market, Conditioner Leave In Coconut, 8 Fl Oz",B08ZQ5HCQK,False,False,4.1,17
19,"365 by Whole Foods Market, Conditioner Fragrance Free, 32 Fl Oz",B01HE2IM8I,False,False,4.4,934
20,"365 by Whole Foods Market, Conditioner Grapefruit, 16 Fl Oz",B01FEG59YG,True,False,3.8,138
21,"365 by Whole Foods Market, Conditioner Herbal Mint, 32 Fl Oz",B01N8Q3YJ7,False,False,4.4,186
