rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Mulberry Silk Pillowcase for Hair and Skin Standard Size 20""X 26"" with Hidden Zipper Soft Breathable Smooth Cooling Pillow Covers for Sleeping(Haze Blue,1Pcs)",B09BFQG17F,False,True,4.5,17929
1,"Bedsure Satin Pillowcase for Hair and Skin Queen - Silver Grey Silky Pillowcase 20x30 Inches - Satin Pillow Cases Set of 2 with Envelope Closure, Similar to Silk Pillow Cases, Gifts for Women Men",B0725WFLMB,False,True,4.5,291488
2,"Silk Pillowcase for Hair and Skin,Mulberry Silk Pillow Cases Standard Size,Anti Acne,Cooling,Beauty Sleep,Both Sides Natural Silk Satin Pillow Covers with Hidden Zipper,Gifts for Women Men,White",B0B5X7931D,False,True,4.6,3385
3,"Blissy Silk Pillowcase - 100% Pure Mulberry Silk - 22 Momme 6A High-Grade Fibers - Satin Pillow Cover for Hair & Skin - Regular, Queen & King with Hidden Zipper",B0BBSSRNHM,False,True,4.5,1160
4,"Bedsure Satin Pillowcase Standard Set of 2 - Silver Grey Silky Pillow Cases for Hair and Skin 20x26 Inches, Pillow Covers with Envelope Closure, Similar to Silk Pillow Cases, Gifts for Women Men",B07PP933QX,False,False,4.5,291488
5,"BEDELITE Satin Silk Pillowcase for Hair and Skin, Coral Pillow Cases Standard Size Set of 2 Pack, Super Soft Pillow Case with Envelope Closure (20x26 Inches)",B08R9NGTJJ,False,False,4.5,22930
6,"Natural Mulberry Silk Pillowcase for Hair and Skin Standard Size 20""X 26"" Silk Pillow Case with Hidden Zipper Soft Breathable Smooth Cooling Silk Pillow Covers for Sleeping(Champagne,Standard,1Pcs)",B0B6FZYYYL,False,False,4.5,17929
7,"100% Mulberry Silk Pillowcase for Hair and Skin, 22 Momme Natural Silk Pillow Case with Zipper, Soft Cooling Washable Both Sided Pure Silk Pillow Cover (Silver Grey, Standard 20''×26'')",B07RGFS927,False,False,4.5,28556
8,"INSSL Silk Pillowcase for Women, Mulberry Silk Pillowcase for Hair and Skin and Stay Comfortable and Breathable During Sleep (Standard, Ivory)",B07VRBTKYN,False,False,4.5,7671
9,"Kitsch Satin Pillowcase for Hair & Skin - Softer Than Silk Pillowcase | Cooling Pillowcases with Zipper | Satin Cover | Standard Queen (Charcoal, 1 Pack)",B09GYQSGSW,False,False,4.7,17557
10,"TAFTS 22mm 100% Pure Mulberry 6A Silk Pillowcase for Hair & Skin with Zipper Closure, Cooling, Natural, Organic, Double Sided Silk Pillow Case (Slate Blue, King 20""x36"", 22 Momme 1pc)",B08WH438XJ,False,True,4.6,6829
11,"THXSILK Set of 2 Mulberry Silk Zipper Pillow Cases - Highest Grade 6A+ 100% Pure Mulberry Real Silk Pillowcases, 22 Momme Both Sides for Hair and Skin - 2pcs (Light Pink, Queen Size 20""x30"")",B0BXNK4HWV,False,True,4.4,63
12,"ZIMASILK 100% Mulberry Silk Pillowcase for Hair and Skin Health,Soft and Smooth,Both Sides Premium Grade 6A Silk,600 Thread Count,with Hidden Zipper,1pc (Queen 20''x30'',Taupe)",B01LVU7THF,False,True,4.6,44606
13,"100% Pure Mulberry Silk Pillowcase for Hair and Skin - Allergen Resistant Dual Sides,600 Thread Count Silk Pillow Cases with Hidden Zipper,1pc,Standard Size,Taupe",B0B3JSTFHF,False,True,4.7,2720
14,"ZIMASILK 100% Mulberry Silk Pillowcase for Hair and Skin Health,Soft and Smooth,Both Sides Premium Grade 6A Silk,600 Thread Count,with Hidden Zipper,1pc (Queen 20''x30'',Taupe)",B01LVU7THF,False,False,4.6,44606
15,"MR&HM Satin Pillowcase for Hair and Skin, Silk Satin Pillowcase 2 Pack, Queen Size Pillow Cases Set of 2, Silky Pillow Cover with Envelope Closure (20x30, Black)",B07RHFZYJ3,False,False,4.6,23995
