rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Essentials Women's Cozy Slipper,B09RXHKRN4,True,False,4.3,101.0
1,Litfun Women's Fuzzy Memory Foam Slippers Fluffy Winter House Shoes Indoor and Outdoor,B09JVQQ99K,False,True,4.6,3997.0
2,RockDove Men's Original Two-Tone Memory Foam Slipper,B08RNBNHXD,False,True,4.5,129746.0
3,Evshine Women's Fuzzy Slippers Cross Band Memory Foam House Slippers Open Toe,B08KXKFSJF,False,True,4.5,4911.0
4,Slippers for women indoor and outdoor men open toe fluffy cute smile face slippers,B09C3LVRL5,False,False,4.7,2304.0
5,Women's Fuzzy Curly Fur Memory Foam Loafer Slippers with Polar Fleece Lining,B083G9X22P,False,False,4.4,35057.0
6,Litfun Women's Fuzzy Memory Foam Slippers Fluffy Winter House Shoes Indoor and Outdoor,B09JVQQ99K,False,False,4.6,3997.0
7,Womens Fuzzy Memory Foam Slippers Cross Band Cozy Plush Home Slippers Fluffy Furry Open Toe House Shoes Indoor Outdoor Slide Slipper,B099WM4149,False,False,4.3,5367.0
8,RockDove Men's Original Two-Tone Memory Foam Slipper,B01MU7N91J,False,False,4.5,129746.0
9,RockDove Women's Original Two-Tone Memory Foam Slipper,B08RMXM2PR,False,False,4.5,27588.0
10,Men's Moccasin Slipper,B09RXHMWPM,True,False,4.3,4981.0
11,"Men's Memory Foam Moccasin Slippers, Indoor and Outdoor Warm Fuzzy Fleece House Shoes",B0C4D63S6V,False,True,4.7,24.0
12,RockDove Men's Waffle Knit Memory Foam Moc Slipper with Removable Insole,B08BY8SF8Y,False,True,4.4,2136.0
13,"House Slippers for Women,Fuzzy Mens Slippers,Casual House Shoes Memory Foam Womens Slippers Outdoor Indoor Warm Plush Bedroom Shoes with Faux Fur Lining",B0BD1L2CKZ,False,True,4.4,235.0
14,"Smile Face Slippers for Women, Soft Plush Smile Slippers Retro Preppy Slippers with Smile Face Happy Face Slippers Slip-on Cozy Indoor Outdoor Slippers",B0BL7YTR82,False,False,4.6,635.0
15,"Women's Fuzzy House Memory Foam Slippers, Furry Faux Fur Lined Bedroom Shoes, Cozy Indoor Slide",B08DXJBL8Q,False,False,4.5,7591.0
16,Jessica Simpson Women's Comfy Faux Fur House Slipper Scuff Memory Foam Slip on Anti-Skid Sole,B079P6J7TH,False,False,4.6,41142.0
17,"Womens Slipper Memory Foam Fluffy Soft Warm Slip On House Slippers,Anti-Skid Cozy Plush for Indoor Outdoor",B07H87HJG8,False,False,4.6,22968.0
18,Litfun Fuzzy House Slippers For Women Fluffy Memory Foam Suede Slippers With Faux Fur Collar Indoor Outdoor,B0CCCV8XZJ,False,True,4.9,20.0
19,shevalues Summer Arch Support Sippers for Women Adjustable Terry Cloth Fuzzy Indoor Slippers Open Toe House Shoes,B088LHW4SC,False,True,4.2,4283.0
20,shevalues Terry Cloth Open Toe Slippers for Women Memory Foam Slip On House Slippers,B08P7LDH93,False,True,4.4,2990.0
21,Unisex Cute Soft Sole Indoor Bedroom Slippers Beautiful Comfort Four Season Slipper,B078PXJ3TL,False,True,3.9,630.0
22,Comwarm Women's Cross Band Fuzzy Slippers Fluffy Open Toe House Slippers Cozy Plush Bedroom Shoes Indoor Outdoor,B07WS6921D,False,False,4.3,19999.0
23,"Cartoon Cow Cotton Slippers, Winter Indoor Outdoor Slippers for Women",B09JC2GXZ4,False,False,4.7,3136.0
24,Dearfoams Womens Leslie Quilted Terry Casual Slippers Casual - Blue,B01MS7ZKPH,False,False,4.5,15813.0
25,Ballet Slippers,1534422161,False,False,4.5,40.0
26,"Crochet Animal Slippers: 60 fun and easy patterns for all the family (Crochet Animal, 2)",1446308359,False,False,4.7,997.0
27,Women's Fuzzy Slippers Men Indoor And Outdoor Anti-Skid Rubber Sole Memory Foam Fluffy Cute House Bedroom Pillow Slides,B0B3JKHM5G,False,False,4.5,158.0
28,Evshine Women's Fuzzy Slippers Cross Band Memory Foam House Slippers Open Toe,B08KXKFSJF,False,False,4.5,4911.0
29,"Slippers For Womens Men, House Slippers Indoor Memory Foam Autumn Winter Anti-Slip Soft Slippers Comfy Home Slipper",B0995YZGT8,False,False,4.6,3.0
30,Wizard of Oz Silver Slippers - Slot Machine FREE,B00KBAANBU,False,False,3.5,156.0
31,Knitted Seed Stitch Slippers,B01KIYX6BM,False,False,,
32,Girls Boys Home Slippers Warm House Slippers Cute Animal Plush Indoor Outdoor House Shoes Christmas Gifts,B0CGGXZF2B,False,False,,
