rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Classic Snack Care Package,B08826B2XL,False,False,4.6,97660
1,"Welch's Fruit Snacks, Mixed Fruit, Gluten Free, Bulk Pack, Individual Single Serve Bags, 0.8 oz (Pack of 40)",B0BWSKYV63,False,False,4.8,30180
2,"Goldfish Crackers Big Smiles Variety Pack with Cheddar, Colors, and Pretzels, Snack Packs, 30 Ct",B01GQ5GQEG,False,False,4.8,110011
3,"Pillsbury Mini Soft Baked Cookies, Chocolate Chip, Snack Bags, 12 ct",B09ZQ1RQ92,False,False,4.4,1236
4,"Pop Secret Microwave Popcorn, Movie Theater Butter Flavor, 1.75 Oz Snack Bags, (Pack of 12)",B07BMGW2WX,False,False,4.5,990
5,"Nabisco Team Favorites Variety Pack, OREO Mini, CHIPS AHOY! Mini, Teddy Grahams Honey & Barnum's Animal Crackers, 30 Snack Packs",B06XKHNCZW,False,False,4.8,59058
6,"Nabisco Classic Mix Variety Pack, OREO Mini, CHIPS AHOY! Mini, Nutter Butter Bites, RITZ Bits Cheese, 20 Snack Packs",B01BXU1RV6,False,False,4.7,16143
7,"Slim Jim Snack-Sized Smoked Meat Stick, Original Flavor, .28 Ounce, 14 Count (Pack of 1)",B009M8VWT4,False,False,4.7,15876
8,"Keebler On-The-Go Fudge Stripes Cookies, 12 Count (Pack of 1)",B09H3GLDR7,False,False,4.7,1837
9,"Nature's Bakery Oatmeal Crumble Strawberry Bars, 1.41 Oz, 6 Ct",B07WVZ1NLB,False,False,4.6,4842
10,"Mother's Circus Animals Halloween Cookies, 30 Count",B088NXBWT8,False,False,4.5,2049
11,"Wonderful Pistachios No Shells, Roasted & Salted Nuts, 0.75 Ounce Bags (Pack of 9), Protein Snack, Carb-Friendly, Gluten Free, On-the-go, Individually Wrapped Snack",B07XSKK6Z4,False,False,4.7,54936
12,"Annie's Organic Variety Pack, Cheddar Bunnies, Bunny Grahams & Cheddar Squares, 12 Pouches",B008RLUXI8,False,False,4.6,8389
13,"Keebler, Cookies and Crackers, Variety Pack, 12 oz (12 Count)",B0986W7V92,False,False,4.5,3159
14,"Sensible Portions Garden Veggie Straws, Sea Salt & Ranch Multipack, 75 oz Bag, 10 Count",B0BL5694M5,False,False,4.6,834
15,"Pringles Potato Crisps Chips, Lunch Snacks, On-the-Go Snacks, Snack Stacks, Variety Pack, 19.3oz Box (27 Cups)",B078D7MGY5,False,False,4.6,9960
16,"Snack Pack Chocolate and Vanilla Pudding Cups Family Pack, 12 Count (Pack of 1)",B013OY25GA,False,False,4.7,28248
17,"Gardetto's Snack Mix, Original Recipe, Multipack Snack Bags, 1.75 oz, 10 ct",B071R4MQ7G,False,False,4.7,4058
18,"Bauducco Hazelnut Wafers - Crispy Wafer Cookies With 3 Delicious, Indulgent Decadent Layers of Hazelnut Flavored Cream - Delicious Sweet Snack or Desert - 5.0 oz (Pack of 1)",B0C6RKNV49,False,False,4.3,7597
19,"Jack Link's Beef Jerky Variety - Includes Original and Teriyaki Flavors, On the Go Snacks, 13g of Protein Per Serving, 9 Count of 1.25 Oz Bags",B014ABUQVC,False,False,4.7,32745
20,"Jack Link's Beef Jerky, Original - Flavorful Meat Snack for Lunches, Ready to Eat Snacks - 7g of Protein, Made with Premium Beef - 0.625 Oz Bags (Pack of 5)",B015SQAWLW,False,False,4.6,150018
21,"Quaker Chewy Dipps Granola Bars, Peanut Butter, 1.05 Oz Bars, 14 Ct",B01HB17YAY,False,False,4.7,16576
22,"PopCorners Popped Corn Snacks, 6 Flavor Variety Pack, 1oz Bags (20 Pack)",B08D7JM1X2,False,False,4.5,30627
23,"Gushers Fruit Flavored Snacks, Variety Pack, Strawberry and Tropical, 20 ct",B07L4QGYLV,False,False,4.7,3931
24,Grandma's Cookies Variety Pack of 30,B076BYR9JP,False,False,4.5,62814
25,"Nabisco Sweet Treats Cookie Variety Pack OREO, OREO Golden & CHIPS AHOY!, 30 Snack Packs (2 Cookies Per Pack)",B071XHP12B,False,False,4.7,45773
26,"GoGo squeeZ Fruit on the Go Variety Pack, Apple, Banana & Strawberry, 3.2 oz (Pack of 20), Unsweetened Snacks for Kids, Gluten Free, Nut and Dairy Free, Recloseable Cap, BPA Free Pouches",B07C2SY9G9,False,False,4.8,44629
27,"Pop-Tarts Toaster Pastries, Breakfast Foods, Kids Snacks, Variety Pack (5 Boxes, 60 Pop-Tarts)",B07YP58GX8,False,False,4.7,26970
28,"Utz Party Mix - 26 Ounce Barrel - Tasty Snack Mix Includes Corn/Nacho Tortillas, Pretzels, BBQ Corn Chips and Cheese Curls, Easy and Quick Party Snacks, Cholesterol Free and Trans-Fat Free",B0727NFNYG,False,False,4.3,8546
29,"PLANTERS Variety Packs (Salted Cashews, Salted Peanuts & Honey Roasted Peanuts), 36 Packs - Individual Bags of On-the-Go Nut Snacks",B07ZLCBDGY,False,False,4.6,11532
30,"Rice Krispies Treats Mini Squares, Kids Snacks, Lunch Snacks, Variety Pack, 20.1oz Box (52 Bars)",B0BV7BT26B,False,False,4.7,258
31,"Little Debbie Oatmeal Creme Pies, 12 Individually Wrapped creme pies, 16.2 Ounces, Pack of One (1)",B07K6C6278,False,False,4.6,8488
32,"Welch's Fruit Snacks, Berries 'N Cherries, Gluten Free, Bulk Pack,Individual Single Serve Bags, 0.8 oz (Pack of 40)",B0BWSLR5HB,False,False,4.8,98056
33,"Maruchan Instant Lunch Chicken Flavor, 2.25 Ounce (Pack of 12)",B00MIK4GCS,False,False,4.7,59988
34,Snack Box Variety Pack Care Package (100 Count) Gift Basket for holloween Kids Adults Teens Family College Student - Crave Food Birthday Arrangement Candy Chips Cookies,B09NB3ZZPG,False,False,4.5,164
35,"Quaker Chewy Granola Bars, Chewy & Dipps Variety Pack, 58 Count",B01LNKHDAK,False,False,4.7,84228
36,"Lay's Potato Chip Variety Pack, 1 Ounce (Pack of 40)",B07179XBP9,False,False,4.6,35616
37,"Reese's Puffs Cinnamon Toast Crunch Cereal Treat Bars Variety Pack, 28 ct",B08NGF1TGG,False,False,4.5,3212
38,"Betty Crocker Fruit by the Foot Fruit Flavored Snacks, Starburst, Variety Pack, 12 ct",B086GNDPVV,False,False,4.5,837
39,"The Snack Bar - Snack Care Package (40 count) - Variety Assortment with American Candy, Fruit Snacks, Gift Snack Box for Lunches, Office, College Students, Road Trips, Holiday Gifts",B07V2BMSRF,False,False,4.1,5993
40,"RITZ Peanut Butter Sandwich Cracker Snacks and Cheese Sandwich Crackers, Snack Crackers Variety Pack, 32 Snack Packs",B083K1CTYK,False,False,4.7,52053
41,"Funyuns Onion Flavored Rings, .75 Ounce (Pack of 40)",B072C8HBGV,False,False,4.6,10635
42,"SkinnyPop Popcorn, Gluten Free, Dairy Free, Non-GMO, Healthy Snacks, Halloween Snacks for Kids, Skinny Pop Original Popcorn Snack Packs, 0.65oz Individual Size Snack Bags (6 Count)",B00CTJ2710,False,False,4.7,9187
43,"Welch's Fruit Snacks, Mixed Fruit & Superfruit Bulk Variety Pack, Gluten Free, 0.8 oz Individual Single Serve Bags (Pack of 60)",B08FNPP213,False,False,4.7,6482
44,"Frito-Lay Variety Pack, Party Mix, 40 Count (Pack of 1)",B076H2J9TZ,False,False,4.6,161657
45,"Dole Fruit Bowls No Sugar Added Variety Pack, Peaches, Mandarin Oranges & Cherry Mixed Fruit, Back To School, Gluten Free Snack, 4oz, 12 Cups",B072151Q32,False,False,4.5,11125
46,"SkinnyPop Original Popcorn, Individual Snack Size Bags, Skinny Pop, Healthy Popcorn Snacks, Halloween Snacks for Kids, Gluten Free, 0.65 Ounce (Pack of 30)",B00KE1E7YA,False,False,4.7,34106
47,"Cheez-It Cheese Crackers, Baked Snack Crackers, Office and Kids Snacks, Variety Pack, 38oz Case (42 Pouches)",B07TQ99WFC,False,False,4.7,13704
