rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Happy Belly Nuts, Chocolate & Dried Fruit, Trail Mix, 3 Pound (Pack of 1)",B071GB5H9C,True,False,4.5,27912
1,"365 by Whole Foods Market Cape Cod Multipack, Trail Mix , 15 Oz",B074H6VQYG,True,False,4.7,711
2,"Amazon Brand - Happy Belly Fruit & Grain Cereal Bars Strawberry, 1.03 Oz, 8 Count",B0886WSM8H,True,False,4.3,8863
3,"Amazon Brand - Happy Belly Chunky Chocolate Chip Cookies, 11.75 Ounce",B07WRN5QXS,True,False,4.3,11600
4,"365 by Whole Foods Market, Cookie Animal Whole Grain Honey Cinnamon Organic, 11 Ounce",B083B2RL3C,False,False,4.7,1214
5,"Amazon Brand - Happy Belly Fruit & Nut Chewy Trail Mix Granola Bars, 6 Count",B0886X7JV3,True,False,4.4,1523
6,"Amazon Brand - Happy Belly Protein Chewy Bars, Peanut Butter & Dark Chocolate, 5 Count",B0886X32TM,True,False,4.4,2290
7,"365 by Whole Foods Market, Cheese Puffs, 5.5 Ounce",B089LCLWS4,True,False,3.9,1897
8,"365 by Whole Foods Market, Organic Blueberry Cereal Bar 6 Count, 7.8 Ounce",B07V5DR9K3,True,False,4.6,3582
9,"Amazon Brand - Wickedly Prime Roasted Cashews, Coconut Toffee, Snack Pack, 1.5 Ounce (Pack of 15)",B071K17BVF,True,False,4.7,13218
10,"Amazon Fresh Sweet & Spicy, Trail Mix, 40 Oz",B01FRJ1AU2,True,False,4.5,11578
11,"Amazon Brand - Happy Belly Sweet & Salty Almond Granola Bars, 1.2 Oz, 6 Count",B0886WWGCB,True,False,4.4,1549
12,"365 by Whole Foods Market, Original Veggie Chips, 6 Ounce",B074H54QQX,True,False,4.6,5511
13,"Amazon Brand - Happy Belly Protein Chewy Bars, Peanut Butter & Dark Chocolate, 30 Count (6 Packs of 5)",B0886W7ZTB,True,False,4.4,1299
14,Amazon Brand - Happy Belly Chicken Noodle Soup 10.5 Oz,B07TCMT7FZ,True,False,4.3,2189
15,"Amazon Brand - Happy Belly Old Fashioned Oatmeal Cookies, 12 Ounce",B07WTRW9SQ,True,False,4.1,2351
16,"365 by Whole Foods Market, Organic Vanilla Animal Cookie, 11 Ounce",B083B39CF8,True,False,4.7,1589
17,Amazon Fresh - Peanut Butter Filled Pretzels 44 oz,B076HVVQ9T,True,False,4.5,16250
18,"Amazon Fresh - Toaster Pastries Variety Pack (Strawberry, Blueberry, Cherry), 12ct",B096XWHJ2H,True,False,4.4,1273
19,"365 by Whole Foods Market, Organic Variety Fruit Strips, 0.63 Ounce",B08222Q4FP,True,False,4.5,598
20,"Amazon Brand - Happy Belly Vanilla Wafers, 12 Ounce",B07WXWK8S6,True,False,4.2,12000
21,"Amazon Brand - Happy Belly Original Cheese Crackers, 12.4 Ounce",B07WRPR4NS,True,False,4.4,42260
22,"Amazon Brand - Happy Belly Instant Oatmeal, Maple & Brown Sugar, 1.51 Ounce (Pack of 10)",B08FNQNJKB,True,False,4.5,5195
23,"Amazon Fresh - Wavy Potato Chips, 11 oz (Previously Happy Belly, Packaging May Vary)",B07X1KPLNQ,True,False,4.3,5626
