rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Bswalf Spider Webs Halloween Decorations Outdoor, 16.4 x 15.7 ft Triangular Spider Web + 50‘’ Scary Giant Spider, 20 g Stretch Cobwebs Outdoor Halloween Decorations for Outside Yard Garden Lawn Party",B09YHK3VPN,False,False,4.4,51.0
1,"1000 sqft Spider Webs Halloween Decorations with 77 Fake Spiders, Super Stretch Cobwebs for Halloween Indoor and Outdoor Decor",B08FCS53KC,False,False,4.5,604.0
2,"Spider Webs Halloween Decorations,300Sqft Spider Webs with30 Fake Spiders,Stretchable DIY Cobwebs for Indoor/Outdoor Scary Atmosphere,Outside Garden Window Yard Tree home office Parties,Haunted Houses",B0C2YXX687,False,False,4.0,32.0
3,"Spider Web, 200 Square Ft, Halloween Decorations, Spider Webs (200 Square Feet) (Packaging Artwork May Vary)…",B0B5M28NT5,False,False,4.4,572.0
4,"Halloween Spider Web Lights Decoration 455LED Spider Webs Halloween Decorations Outdoor with 59"" Large Spider & 3.53oz Stretch Cobweb 16.4Ft Light Up Giant Spider Web with 8 Modes & Timer (Orange)",B0CCW4C7XR,False,False,4.4,15.0
5,"3pcs 212'' Halloween Spider Web 49"" Halloween Spider Decorations Stretch Cobweb Fake Spider Giant Spider Web for Indoor Outdoor Halloween Decorations Yard Lawn Home Costumes Party Haunted House Décor",B07G3R3KD1,False,False,4.3,774.0
6,"Halloween Decorations Outdoor, 200 LED Halloween Giant Spider Web Lights, 16.4Ft Lighted Spider Web Light up for Yard Haunted House Decor",B0CHJPVC9J,False,False,5.0,2.0
7,"Spider Web 300 Sqft Halloween Spider Web Decoration,Super Stretchy Cobwebs Spider Webs with 20 Fake Spiders,Halloween Decorations Indoor,Outdoor, Courtyard, Lawn,Porch, Haunted House",B0CJ4NVVK8,False,False,4.4,51.0
8,"DAZONGE 450 sqft Spider Webs Halloween Decorations, Stretchy Beef Netting Halloween Spider Web, Spooky Spider Web Decorations for Halloween Party, Haunted House",B0B49HKGQB,False,False,4.4,247.0
9,"Joyseller 1200sqft Spider Web Halloween Decorations Outdoor, Stretchy Spider Webbing with 50pcs Spiders, Giant Halloween Spider Web Decor",B0C4F7JSBX,False,False,4.6,1571.0
