rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Swiffer PowerMop Multi-Surface Mop Kit for Floor Cleaning, Fresh Scent, Mopping Kit Includes PowerMop, 2 Mopping Pad Refills, 1 Floor Cleaning Solution with Fresh Scent and 2 Batteries",B0C1DWC251,False,True,4.5,3503.0
1,"Swiffer WetJet Hardwood and Floor Spray Mop Cleaner Starter Kit, Includes: 1 Power Mop, 10 Pads, Cleaning Solution, Batteries",B07YQDD94M,False,True,4.6,48801.0
2,"Mops for Floor Cleaning, Mops for Floor Cleaning with 3 Washable Reusable Mop Pads Head and 14oz Refillable Spray Bottle Microfiber Wet Dry Dust Mop for Home Hardwood Laminate Floor",B09YCWKMQ4,False,True,4.3,16906.0
3,"Swiffer WetJet Hardwood and Floor Spray Mop Cleaner Starter Kit, Includes: 1 Power Mop, 10 Pads, Cleaning Solution, Batteries",B07YQDD94M,False,False,4.6,48801.0
4,"Swiffer WetJet Multi-Purpose Floor Cleaner Solution with Febreze Refill, Lavender Scent, 1.25 Liter -42.2 Fl Oz (Pack of 2)",B0035G078Q,False,False,4.8,74965.0
5,"Swiffer WetJet Hardwood Floor Cleaner Spray Mop Pad Refill, Multi Surface, 24 Count",B001F0RBT2,False,False,4.8,58593.0
6,"Swiffer WetJet Multi-Purpose and Hardwood Liquid Floor Cleaner Solution Refill, with Gain Scent 42.26 Fl Oz (Pack of 2) (Package May Vary)",B00BFC5HE6,False,False,4.8,43319.0
7,"Swiffer WetJet Wood Floor Mopping and Cleaning Starter Kit, All Purpose Floor Cleaning Products, 1 Mop, 10 Pads, Cleaning Solution, Batteries",B07YQD44YX,False,False,4.6,16552.0
8,"Swiffer WetJet Multi-Purpose Floor Cleaner Solution Refill, Vinyl, Tile & Laminate Floor Mopping and Cleaning, 42.2 Fl oz (Pack of 2)",B096YBN8N8,False,False,4.7,4535.0
9,"Swiffer WetJet Mops for Floor Cleaning, Hardwood Floor Cleaner Spray Mop Pad Refill, 20 Count",B07GG37NDK,False,False,4.7,2623.0
10,"Swiffer Wetjet, All Purpose Multi Surface Floor Cleaner, 24 Count",B00HZ6WH76,False,False,4.8,58593.0
