rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Tide Hygienic Clean Heavy Duty 10x Free Power PODS Laundry Detergent 45 count Unscented For Visible and Invisible Dirt,B0BSJS7RZW,False,True,4.8,213.0
1,Tide Hygienic Clean Heavy 10x Duty Power PODS Laundry Detergent Pacs Original 63 count For Visible and Invisible Dirt,B09W69G979,False,True,4.8,862.0
2,Tide PODS Free and Gentle Laundry Detergent Soap Pacs 112 ct HE Compatible and Coldwater Clean,B0BTKKJLLS,False,True,4.8,176593.0
3,"Tide PODS Laundry Detergent Soap Pods, Spring Meadow, 81 count",B01BUNHFQM,False,False,4.8,94952.0
4,Tide PODS Liquid Laundry Detergent pacs Spring Meadow Scent 112 count,B0BJMV9BXJ,False,False,4.8,176593.0
5,"Tide PODS Laundry Detergent Original Scent, 112 count",B0B9YVG4LR,False,False,4.8,4589.0
6,"Tide PODS Laundry Detergent Soap Pods, Original, 35 count",B00R3IP1NS,False,False,4.8,8424.0
7,Tide Ultra OXI Power PODS with Odor Eliminators Laundry Detergent Pacs 45 Count For Visible and Invisible Dirt,B0BSK1B5G3,False,False,4.8,351.0
8,Tide PODS with Downy Liquid Laundry Detergent Pacs April Fresh 57 count,B0BSJQY3KL,False,False,4.8,787.0
9,"Tide PODS Liquid Laundry Detergent Soap Pacs, HE Compatible, 42 Count, Powerful 3-in-1 Clean in one Step, Original Scent",B0747ZC625,False,False,4.8,40687.0
10,"Tide PODS Laundry Detergent Soap PODS, High Efficiency (HE), Original Scent, 81 Count",B00VRAFLII,False,False,4.8,21267.0
11,"Tide Simply Pods + Oxi Laundry Detergent Soap Pods, Refreshing Breeze, 55 Count, 30 ounces",B087ZFLK17,False,False,4.8,14988.0
12,"Tide Power Pods Laundry Detergent Pacs with Febreze Sport, 45 Count, Febreze Freshness with Sport Odor Defense",B0BSJRYLQV,False,False,4.8,539.0
13,"Tide PODS Liquid Laundry Detergent Soap Pacs, 4-n-1 Ultra Oxi, HE Compatible 85 Count, Built in Pre-Treater for Stains",B0B1PGR1LZ,False,False,4.8,43.0
14,"Tide PODS Laundry Detergent Soap Pacs, HE Compatible, 112 ct, Powerful 3-in-1 Clean, Clean Breeze",B0B9ZBTZ1M,False,False,4.8,524.0
15,"Tide Power Pods Laundry Detergent with Febreze, 45 Ct, Spring & Renewal",B0BSKB75BT,False,False,4.8,91.0
16,"Dropps Stain & Odor Laundry Detergent | Lavender Eucalyptus, 140 Pods | Low-Waste Packaging | Works In All Machines - High Efficiency (HE) Compatible | Powered by Natural Plant-Based Ingredients",B07DKSY24V,False,True,4.4,7073.0
17,Tide Hygienic Clean Heavy Duty 10x Free Power PODS Laundry Detergent 45 count Unscented For Visible and Invisible Dirt,B0BSJS7RZW,False,False,4.8,213.0
