rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 2 Slice, Extra-Wide Slot Toaster with 6 Shade Settings, Black & Silver",B072P11H8L,True,False,4.4,31269
1,"BUYDEEM DT730 Motorized Toaster, 2-Slice Smart Digital Leverless Toaster with LCD Countdown Timer, 9-Shade Settings for Toast, Bagels, Waffles, Muffins",B0BVB97FVY,False,True,4.7,40
2,"Mueller UltraToast Full Stainless Steel Toaster 4 Slice, Long Extra-Wide Slots with Removable Tray, Cancel/Defrost/Reheat Functions, 6 Browning Levels with LED Display",B091SQRKVG,False,False,4.5,8447
3,"Cuisinart CPT-122BK 2-Slice Compact Plastic Toaster, Black",B00K0ZT1BO,False,False,4.2,31007
4,"BELLA 2 Slice Toaster with Auto Shut Off - Extra Wide Slots & Removable Crumb Tray and Cancel, Defrost & Reheat Function - Toast Bread, Bagel & Waffle, Aqua",B0B137XXXC,False,False,4.5,1808
5,"BELLA Stainless Steel 2 Slice Toaster with Extra Wide Slots & Removable Crumb Tray - 6 Browning Options, Auto Shut Off & Reheat Function - Toast Bread, Bagel & Waffle",B08NHTDSKJ,False,False,4.1,9348
6,"Emeril Lagasse 26 QT Extra Large Air Fryer, Convection Toaster Oven with French Doors, Stainless Steel",B09B7SB46R,False,True,4.6,3184
7,"Amazon Basics 2 Slice, Extra-Wide Slot Toaster with 6 Shade Settings, Black & Silver",B072P11H8L,True,False,4.4,31269
8,"Elite Gourmet ECT-1027 Cool Touch Toaster, 7 Toast Settings Cancel Functions, Slide Out Crumb Tray, Extra Wide 1.5"" Slots for Bagels Waffles Specialty Breads, Puff Pastry, Snacks, White",B07D7R61JH,False,False,4.1,6113
9,"Mueller Retro Toaster 2 Slice with 7 Browning Levels and 3 Functions: Reheat, Defrost & Cancel, Stainless Steel Features, Removable Crumb Tray, Under Base Cord Storage, Black",B0BFG5HBHR,False,False,4.2,4565
10,Toaster 2 Slice Wide Slot Toaster Best Rated Prime Displav Smart Toasters with LCD Digital Countdown Timer and Bagel/Defrost/Cancel/Reheat Function,B0B71HVGLF,False,False,4.4,4134
11,"Krups Breakfast Set Stainless Steel Toaster 4 Slice 1500 Watts 6 Brown Settings, Defrost, Reheat, High Lift Lever Silver, Matte and Chrome",B0083VCY16,False,True,4.3,4858
12,"Elite Gourmet ECT-3100 Long Slot 4 Slice Toaster, Reheat, 6 Toast Settings, Defrost, Cancel Functions, Built-in Warming Rack, Extra Wide Slots for Bagels & Waffles, Stainless Steel & Black",B07HYW76FK,False,False,4.4,33505
13,"OVENTE Electric 2 Slice Toaster Machine with 6-Shade Toast Settings, 700W Power, Removable Crumb Tray and Compact Design Perfect for Toasting Bread, Bagels, Waffles and Puff Pastry, Black TP2210B",B0B4Y2H138,False,False,4.1,651
14,"Betty Crocker 2-Slice Cool Wall Toaster, Black, BC-2605CB",B00K05AZA0,False,False,4.1,3211
15,"Proctor Silex 4 Slice Toaster with Extra Wide Slots for Bagels, Cool-Touch Walls, Shade Selector, Toast Boost, Auto Shut-off and Cancel Button, Black (24215PS)",B07B4Z7N9H,False,False,4.5,9706
16,"Touch screen Toaster 2 slice, Stainless Steel Digital Timer Toaster with Sound Function, Smart Extra Wide Slots Toaster with Bagel, Cancel, Defrost, 6 Bread Types & 6 Shade Settings",B0CC5SMLNT,False,True,4.4,3
17,"Cuisinart 4 Slice Toaster Oven, Brushed Stainless, CPT-180P1",B0000A1ZN1,False,False,4.3,32029
18,"Mueller UltraToast Full Stainless Steel Toaster 2 Slice, Long Extra-Wide Slots with Removable Tray, Cancel/Defrost/Reheat Functions, 6 Browning Levels with LED Display",B0BF7RF9YJ,False,False,4.5,2029
19,"Compact 2 Slice Toaster with 1.5"" Extra Wide Slots, Built-in Warming Rack & Removable Crumb Tray - 6 Browning Options, with Defrost, Bagel, and Cancel Function",B0CFL9XYT3,False,False,4.7,10
20,"Toaster 2 Slice Best Rated Prime Stainless Steel 2 Slice Toasters Extra Wide Slot Toasters 7 Shade Settings Defrost/Bagel/Cancel with Removable Crumb Tray for Bread, Waffles, Small Retro Evenly Quickly Toaster",B0C9CTG96L,False,False,4.3,1183
21,"GE Stainless Steel Toaster | 2 Slice | Extra Wide Slots for Toasting Bagels, Breads, Waffles & More | 7 Shade Options for the Entire Household to Enjoy | Countertop Kitchen Essentials | 850 Watts",B08NWGNQPS,False,True,4.5,5314
