rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 2 Slice, Extra-Wide Slot Toaster with 6 Shade Settings, Black & Silver",B072P11H8L,True,False,4.4,31269
1,Amazon Basics 4 Slot Toaster - Black,B07SW6SLKB,True,False,4.5,6384
2,Amazon Fresh - Frosted Brown Sugar Cinnamon Toaster Pastries (8 ct),B096XTDT4C,True,False,4.2,483
3,"Amazon Fresh - Toaster Pastries Variety Pack (Strawberry, Blueberry, Cherry), 12ct",B096XWHJ2H,True,False,4.4,1273
4,Amazon Fresh Frosted Toaster Pastries Club Pack (24 ct Strawberry & 12 ct Brown Cinnamon Sugar),B096ZX4XT3,True,False,4.2,56
5,"Amazon Brand - Happy Belly Salt and Pepper (4 Ounces Salt and 1.25 Ounces Pepper), 2 Piece Set, Black",B07VYPC2ML,True,False,4.5,7015
6,"365 by Whole Foods Market, Hot Dog Bites, Mini, Everything Pastry, 8.7 Ounce",B07HRJ42GQ,True,False,4.2,1722
7,"Amazon Brand - Happy Belly Premium Chocolate Chip Cookies, 13 Ounce",B07WNSKSQF,True,False,4.3,11600
8,"365 by Whole Foods Market, Birthday Cake Sandwich Creme, 20 Ounce",B08PHS2ZNR,True,False,4.4,13272
9,"Amazon Basics Waffle Maker 3-in-1 Black: Waffle Iron, Sandwich Maker and Grill, 700W",B0BCPT6JLY,True,False,4.2,42
10,"365 by Whole Foods Market, Organic Hazelnut Cocoa Pillows, 10.6 Ounce",B08222RCGH,True,False,4.3,1820
11,"Amazon Brand - Happy Belly Peanut Butter Sandwich Cremes, 1 Pound (Pack of 1) (Reformulation)",B094QP93GM,True,False,4.5,420
12,"Amazon Brand - Happy Belly 100% Apple Juice, 64 Fl Oz Bottle",B07WKLC8CV,True,False,4.7,24085
13,"365 by Whole Foods Market, Waffles Multigrain Organic, 7.4 Ounce",B074H6F7CS,True,False,4.5,2274
14,"365 by Whole Foods Market, Waffles Homestyle Mini Organic 8 Count, 9 Ounce",B074H7H8GT,True,False,4.4,1826
15,"365 by Whole Foods Market, Waffles Homestyle Organic, 7.4 Ounce, 6 count (Pack of 1)",B074H5LSZ3,True,False,4.4,3664
