rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Vacplus Toilet Bowl Cleaners - 30 Pack, Ultra-Clean Toilet Cleaners for Deodorizing & Descaling, Long-Lasting Blue Toilet Bowl Cleaner Tablets with Sustained-Release Technology Against Tough Stains",B09S3FFBM1,False,True,4.2,17981
1,"Hibbent 2 Pack Toilet Brush with Ventilated Drying Holder, Silicone Toilet Bowl Brush Bathroom Cleaning Bowl Brush Kit Sturdy Cleaning Toilet Brush, Floor Standing & Wall Mounted Without Drilling",B08YK6RFSX,False,True,4.3,2309
2,"Vacplus Toilet Bowl Cleaners - 3 Pack, Long-Lasting & Recyclable Toilet Cleaner Bottle, Easy-to-Use Toilet Bowl Cleaner Tablets in Bottles, Automatic Toilet Bowl Cleaner with Powerful Cleaning",B0CFV5K429,False,True,5.0,8
3,"BLUELAND Toilet Bowl Cleaner Starter Set - Eco Friendly Products & Cleaning Supplies - No Harsh Chemicals, Plant-Based - Lemon Cedar - 14 tablets",B0B33Q7PXS,False,True,4.2,960
4,"Lysol Toilet Bowl Cleaner Gel, For Cleaning and Disinfecting, Stain Removal, Forest Rain Scent, 24oz",B009RWV3LW,False,False,4.7,24745
5,"Lysol Power Toilet Bowl Cleaner Gel, For Cleaning and Disinfecting, Stain Removal, 24 Fl oz (2-pack),Packaging may vary",B00371VM0Q,False,False,4.8,63222
6,"Scrubbing Bubbles Toilet Continuous Clean Drop-Ins, Toilet Bowl Tablets Help Prevent Limescale Buildup and Stains, 5 Count, 7.05 Oz",B015VBOE1S,False,False,4.4,9394
7,"Clorox ToiletWand Disposable Toilet Cleaning Kit, Toilet Brush, Toilet and Bathroom Cleaning System with Storage Caddy and 16 Disinfecting ToiletWand Refill Heads (Package May Vary)",B07ZGHZVRY,False,False,4.7,112762
8,"Lysol Power Toilet Bowl Cleaner Gel, For Cleaning and Disinfecting, Stain Removal, 24oz ,9 Ct , (Packaging May Vary)",B071Y5B63V,False,False,4.8,3751
9,"Scrubbing Bubbles Fresh Action Toilet Bowl Cleaner, Floral Fusion, 1 Squeeze Bottle, 24 oz",B07PJCR6L3,False,False,4.6,1415
10,"Simple Life Toilet Bowl Cleaner, Fresh Flower Gel Stamp, Stops Limescale and Stains with Air Freshening Scent, Deodorizing Clean (32 Stamps, Variety Pack)",B09HMDQZ4S,False,True,4.1,3945
11,"Vacplus Toilet Bowl Cleaners - 50 PACK, Long-Lasting Bleach Tablets for Toilet Tank Against Tough Stains, Automatic Toilet Bowl Cleaner Tablets for Deodorizing & Descaling",B0CH8C8K2Q,False,True,5.0,1
12,"Toilet Brush and Holder, Compact Size Toilet Bowl Brush with Stainless Steel Handle, Small Size Plastic Holder Easy to Hide, Space Saving for Storage, Drip-Proof, Easy to Assemble, Deep Cleaning",B0B12B63CM,False,True,4.3,4153
13,DOWRY Stainless Steel Toilet Bowl Brush and Holder for Bathroom Storage Organization Deep Cleaning Covered Brush Cleaner,B0756D5ZSJ,False,True,4.2,499
14,"Lysol Toilet Bowl Cleaner W. Bleach, 48oz (2x24oz), 10X Cleaning Power",B004S6BYAW,False,False,4.7,883
