rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Clean Plus Toothbrushes, Soft, Full, 10 Count, Assorted Colors (Previously Solimo)",B08QWYMMYL,True,False,4.5,10414
1,"Bitvae Ultrasonic Electric Toothbrushes - Electric Toothbrush for Adults and Kids, American Dental Association Accepted, Rechargeable Travel Sonic Toothbrush with 8 Heads, Black D2",B09T9F8PYG,False,True,4.4,7965
2,"Aquasonic Black Series Ultra Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40,000 VPM Electric Motor & Wireless Charging - 4 Modes w Smart Timer",B072YVWBXH,False,True,4.6,101558
3,"Bitvae R2 Rotating Electric Toothbrush for Adults with 8 Brush Heads, Travel Case, 5 Modes Rechargeable Power Toothbrush with Pressure Sensor, 3 Hours Fast Charge for 30 Days, Black",B0BMGD4Y1N,False,True,4.4,2031
4,"Colgate Extra Clean Toothbrush, Soft Toothbrush for Adults, 6 Count (Pack of 1)",B00CC6XSSQ,False,False,4.6,101135
5,"Oral-B Charcoal Toothbrushes, Medium 2ct",B07MH9CH76,False,False,4.6,22925
6,"Colgate 360 Optic White Advanced Toothbrush, Medium Toothbrush for Adults,2 Count (Pack of 1)",B07S9GV83R,False,False,4.7,15914
7,"Colgate 360 Whole Mouth Clean , Medium Toothbrush for Adults, 4 Pack, Packaging May Vary",B00H88K9EE,False,False,4.6,18085
8,"Oral-B CrossAction All In One Soft Toothbrushes, Deep Plaque Removal, 6 Count",B01KZ6V00W,False,False,4.7,15958
9,Colgate Toothbrushes Premier Extra Clean ( 12 Toothbrushes),B00I7HPNHS,False,False,4.6,16569
10,"Amazon Brand - Solimo Multi Pro Toothbrushes, 4 Count, Assorted Color",B07MX5M6K5,True,False,4.5,638
11,"Aquasonic Vibe Series Ultra-Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40,000 VPM Motor & Wireless Charging - 4 Modes w Smart Timer – Satin Rose Gold",B07R8WGDKF,False,True,4.6,25485
12,"Ultrasonic Electric Toothbrushfor Adults, 6 Brush Heads, 5 Modes Electric Toothbrush, Travel Rechargeable Power Toothbrush with Smart Timer & Soft Picks, IPX7 Waterproof, Black",B0BCFCLHPZ,False,True,4.3,1435
13,"Oral-B Genius X Limited, Electric Toothbrush with Artificial Intelligence, 1 Replacement Brush Head, 1 Travel Case, Midnight Black",B084PPRXB5,False,True,4.5,7522
14,"Oral-B Vivid Dual Action Whitening Toothbrushes, Soft, 4 Count (Packaging and Product Color May Vary)",B06XK2M3H3,False,False,4.6,3642
15,"Oral-B Pro 1000 Rechargeable Electric Toothbrush, White",B003UKM9CO,False,False,4.6,129843
16,"Reach Essentials Toothbrush with Toothbrush Covers, Multi-Angled Medium Bristles, Contoured Handle, Tongue Scraper, 6 Count",B09HSS29YD,False,False,4.7,1280
17,"MOON Toothbrushes, Soft Bristle, White and Black Sleek Toothbrushes, 2 Pack",B0952CZ2D5,False,False,4.6,2570
18,"Quip Adult Electric Toothbrush - Sonic Toothbrush with Travel Cover & Mirror Mount, Soft Bristles, Timer, and Metal Handle - Pink",B084H3M4FL,False,True,4.3,1621
19,"MOON Toothbrushes, Soft Bristle, White and Black Sleek Toothbrushes, 2 Pack",B0952CZ2D5,False,True,4.6,2570
20,"Cocofloss Cocobrush, Ultra-Soft Manual Toothbrush, Dentist-Designed, Gentle on Gums, Made from Recycled Plastic, Rainbow Set, Multipack of 4",B09R84RLMX,False,True,4.6,149
21,mornwell Electric Toothbrush USB Fast Charging 3 Modes Rotary Toothbrushes Rechargeable Spin Toothbrushes with 4 Round Brush Heads for Adults & Kids (Over 8 Years Old),B07JVR9L48,False,True,4.2,2213
22,"Oral-B 3D White Battery Powered Electric Toothbrush, 1 Count (Colors and Packaging May Vary)",B008I2IKI6,False,False,4.5,29085
23,"Oral-B Pulsar 3D White Pulsar Battery Toothbrush, Soft, 2 Count (Colors May Vary)",B003E09CPM,False,False,4.6,18392
24,"Aquasonic Black Series Ultra Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40,000 VPM Electric Motor & Wireless Charging - 4 Modes w Smart Timer",B072YVWBXH,False,False,4.6,101558
25,"Colgate 360 Extra Soft Toothbrush for Sensitive Teeth and Gums with Tongue and Cheek Cleaner, 2 Pack",B00O33B29S,False,False,4.6,10578
26,Colgate Premier Classic Clean Medium Toothbrush (Card of 12),B00K7VZ138,False,False,4.6,11749
27,"Amazon Basics Clean Plus Toothbrushes, Soft, Full, 10 Count, Assorted Colors (Previously Solimo)",B08QWYMMYL,True,False,4.5,10414
28,"Colgate 360 Optic White Battery Powered Sonic Toothbrush, Soft, 1 Pack",B0746NTZRW,False,False,4.6,14021
29,"Colgate 360 Optic White Whitening Toothbrush, Adult Soft Toothbrush with Whitening Cups, Helps Whiten Teeth and Removes Odor Causing Bacteria, 4 Pack",B00HC75THI,False,False,4.6,6615
30,"Sonic Electric Toothbrush for Adults, USB Rechargeable Sonic Toothbrush with 8 Brush Heads, Smart Timer, 5 Modes, 2-Hour Fast Charge Last 30 Days, Pink",B0B9RQJFDV,False,False,4.4,694
31,"Colgate 360 Floss Tip Battery Powered Toothbrush, Sonic Toothbrush With Soft Bristles, Tongue Cleaner Helps Remove Bacteria, Great for Travel, Includes 1 AAA Battery Total, 2 Pack",B0787G4D3Q,False,False,4.6,15065
32,"Oral-B 3D White Pro-Flex Stain Eraser Toothbrushes, Medium, 2 Count",B00CJA35TC,False,False,4.7,4886
33,Oral B 3D White Luxe 4 Pack Pulsar Battery Powered Toothbrushes,B00OZ9NFC2,False,False,4.7,3537
34,"Sonic Electric Toothbrushes for Adults, 8 Brush Heads Electric Toothbrush with 40000 VPM Deep Clean 5 Modes, Rechargeable Toothbrushes Fast Charge 4 Hours Last 30 Days",B09PQJWK1Q,False,False,4.4,3571
35,"Biodegradable Bamboo Toothbrushes, 10 Piece BPA Free Soft Bristles Toothbrushes, Natural, Eco-Friendly, Green and Compostable",B07V4CW682,False,False,4.5,13329
36,"GREENZLA Bamboo Toothbrushes (12 Pack) | BPA Free Soft Bristles Eco-Friendly, Natural Toothbrush Set Biodegradable & Compostable Charcoal Wooden",B089B574B4,False,False,4.6,14956
37,DR PEFECT Extra Hard & Firm Toothbrush BPA Free Large Long Head Whitening Teeth Pack of 4,B08G4W2Y5R,False,False,4.5,3327
38,"PHILIPS One by Sonicare Rechargeable Toothbrush, Snow, HY1200/07",B09B19PRFB,False,False,4.5,25891
39,Biodegradable Eco-Friendly Natural Bamboo Charcoal Toothbrushes - 12 Count,B077Z2WWP8,False,False,4.6,15336
40,"10 Pcs Soft Bristles Bamboo Toothbrush, Biodegradable Natural Bamboo Charcoal Toothbrushes, Eco Friendly Color Bristle Wood Tooth Brushes",B083TZR58L,False,False,4.5,9000
41,"MOUTHWATCHERS Dr Plotkas Extra Soft Flossing Toothbrush Manual Soft Toothbrush for Adults, Ultra CleanToothbrush, Good for Sensitive Teeth and Gums, 2 Pack - Colors Vary",B00AFWPVUC,False,False,4.6,4472
42,"Sonic Electric Toothbrush for Adults - Rechargeable Electric Toothbrushes with 8 Brush Heads & Travel Case,Teeth Whitening , Power Electric Toothbrush with Holder, 3Hours Charge for 120 Days - Black",B0C9WKZMFQ,False,False,4.5,450
43,"PHILIPS Sonicare 4100 Power Toothbrush, Rechargeable Electric Toothbrush with Pressure Sensor, White HX3681/23",B09LD8T445,False,False,4.5,27663
44,12 Pack Colgate Toothbrush Firm Hard Full Head Extra Clean New,B0180TQHKO,False,False,4.5,1295
45,"Colgate 360° Toothbrush with Tongue and Cheek Cleaner, Medium",B00ELI7U3C,False,False,4.6,1373
46,"Curaprox 5460 Ultrasoft Toothbrush, 3 Pack",B004W6PAJE,False,False,4.8,17314
47,"Colgate 360 Advanced Floss Tip Toothbrush, Soft Toothbrush for Adults, 4 Pack",B01LTHYW92,False,False,4.6,4210
48,Oral-B Battery Toothbrush Gum Care,B07C3P8YVT,False,False,4.6,577
49,"Extra Soft Toothbrush for Sensitive Gums, Micro Fur Manual Toothbrush with 20000 Soft Floss Bristle for Pregnant Women, Elderly, Braces and Gum Recessions, Protect Fragile Gums (6 Pack)",B085CJHSHJ,False,False,4.3,8610
50,"Oral-B Pulsar Expert Clean Battery Toothbrush, Medium, 2 Count",B003CP12QG,False,False,4.6,1529
51,"Oral-B CrossAction All In One Toothbrush, Soft, Deep Plaque Removal, 4 count",B06WWQBWDV,False,False,4.7,7625
52,"Spinbrush Pro+ Deep Clean Value Pack, Battery Toothbrush for Adults, 2 Brushes & 4 Replacement Heads",B01K0X5ZY2,False,False,4.7,10498
53,"Oral-B Bacteria Blast Toothbrush, Medium, 6 Count",B07MRNJWDS,False,False,4.4,4739
54,"Biodegradable Bamboo Toothbrushes 10 Pack - BPA Free Soft Bristles Toothbrushes, Eco-Friendly, Compostable Natural Wooden Toothbrush",B08172V3Y5,False,False,4.5,3611
55,"Spinbrush Pro Clean, Battery Toothbrush for Adults, Soft Bristles, Batteries Included",B001J4ID5K,False,False,4.7,24757
56,"Oral-B Indicator Toothbrush Flat Trim, 35 Soft - Pack of 6",B07N1RXK2V,False,False,4.6,1902
57,"Oral-B Pro-Flex Stain Eraser Toothbrushes, Soft, 4 Count",B07B37WBB7,False,False,4.6,4409
