rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Veken 8 Set Packing Cubes for Suitcases, Travel Bag Organizers for Carry on, Luggage Organizer Bags Set for Travel Essentials Travel Accessories in 4 Sizes (Extra Large, Large, Medium, Small) Black",B0B7BFMHNF,False,True,4.7,10338
1,"OlarHike Travel Toiletry Hanging Bag Waterproof Leather Bags, Makeup, Toiletries, Jewelry, Travel Essentials 3 in 1 Packing Organizers, Cosmetic Travel-Sized Container, Large Capacity for Women (Pink)",B0BS3CZWR3,False,True,4.7,159
2,"NISHEL Travel Toiletry Bag for women, Portable Hanging Organizer for Full-Sized Shampoo, Conditioner, Brushes Set, Travel-Size Accessories, Pink",B08JPKFYPG,False,True,4.8,9844
3,"Travel Hanging Toiletry Bag for Women, Holds Full-Size Shampoo, with Jewelry Organizer Compartment, Extra Large Waterproof Cosmetic Makeup, Toiletries Kit Set with Trolley Belt, Blue",B0B4NX42VY,False,True,4.7,684
4,"Electronic Organizer Travel USB Cable Accessories Bag/Case,Waterproof for Power Bank,Charging Cords,Chargers,Mouse ,Earphones Flash Drive",B08YZ633BY,False,False,4.4,3793
5,"VGCUB Carry on Backpack,Large Travel Backpack for Women Men Airline Approved Gym Backpack Waterproof Business Laptop Daypack",B0B6F558KR,False,False,4.6,3097
6,"Travel Bottles for Toiletries, Tsa Approved 3oz Portable Travel Bottles, BPA Free Leak Proof Squeezable Silicone Travel Size Containers, Travel Accessories with Clear Toiletry Bag (4 Pack)",B0BYRHDPK9,False,False,4.6,686
7,"8 Pack Elastic Sleeves for Leak Proofing, Silicone Bottle Covers, Travel Accessories for Luggage for Women Men, Travel Size Toiletries, Travel Essentials, Travel Must Haves, Colorful",B0BQ7PD5YW,False,False,4.3,886
8,"1Pack Travel Pill Organizer, 8 Compartments Portable Pill Case, Small Pill Box for Pocket Purse Portable Medicine Vitamin Container Beige",B0BLZM9NCF,False,False,4.5,5089
9,"Mini Jewelry Travel Case,Small Jewelry Box,Traveling Jewelry Organizer,Portable Jewellery Storage Holder for Rings Earrings Necklace Bracelet Bangle Organizer,Boxes Gifts for Girls Women(PU-Pink)] 1 Pack",B09SDVDF8R,False,False,4.6,2058
10,"Large Crossbody Fanny Packs for Men Women Black Running Travel Belt Fashionable Waist Pack,Passport Bag for Yoga Gym Jogging Workout Fitness Exercise Dog Walking,Gift for Runner",B0C4DSHXSB,False,True,4.3,69
11,"Flat Extension Cord, 5 Ft Ultra Thin Flat Plug Power Strip Surge Protector, 8 Widely Outlet Extender 4 USB Ports(2USB C),1080J Multi Plug Outlet Wall Mount for Home Office Dorm Room Travel Essentials",B0BVZCLW3R,False,True,4.8,2909
12,"Lightweight Compression Packing Cubes for Suitcases, Compressible Expandable Travel Packing Organizer with Clear Toiletries and Backpack Bag, Travel Essentials for Carry on Luggage 7 Set",B0BRM4HLHV,False,True,4.5,415
