rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Low Profile TV Wall Mount with Horizontal Post Installation Leveling for 32-Inch to 86-Inch TVs, Black",B09JWQH8XG,True,False,4.8,278
1,"MOUNTUP UL Listed TV Wall Mount, Tilting TV Mount Bracket for Most 37-75 Inch Flat Screen/Curved TV Low Profile Wall Mount Saving Space Max VESA 600x400mm Hold up to 99 lbs Fit 16"" 18"" 24"" Stud MU0008",B07ZYR8F2W,False,True,4.6,9349
2,"Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivel Tilt Extension Rotation for Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs by Pipishell",B07SHFPD8S,False,False,4.6,110908
3,"Mounting Dream UL Listed TV Mount for Most 37-75 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket",B00NKYYMAW,False,False,4.7,102522
4,"Tilting TV Wall Mount for Most 26-60 Inch TVs, Tilt TV Mount with Quick Release Lock, Low Profile Wall Mount TV Bracket Max VESA 400x400mm, Holds up to 99 lbs, Fits 8''-16'' Studs by USX STAR",B0BQ3K65XL,False,False,4.6,296
5,"Tilting TV Wall Mount for Most 37-82 Inch TVs, Tilt TV Mount Up to 24 inch Studs, Low Profile Wall Mount TV Bracket with Quick Release Lock, Max VESA 600x400mm, Holds up to 132 lbs by USX STAR",B0BPSXTLTJ,False,False,4.7,385
6,Amazon Basics Full Motion TV Wall Mount with Horizontal Post Installation Leveling for 32-Inch to 86-Inch TVs,B09JWR8PG2,True,False,4.7,35760
7,"MOUNTUP Full Motion TV Wall Mount for Most 26-50 Inch TVs, Max VESA 300x300mm Wall Mount TV Bracket with Swivel Tilting Extension Level Adjustment for LED LCD Flat Curved TVs Up to 53 LBS MU0018",B08GRZC2FK,False,False,4.6,627
8,"PERLESMITH Tilting TV Wall Mount Bracket Low Profile for Most 23-60 inch LED LCD OLED, Plasma Flat Screen TVs with VESA 400x400mm Weight up to 115lbs, Fits 16"" Wood Stud",B01JRNIWJG,False,False,4.6,46628
9,"TV Wall Mount Full Motion Articulating Swivel Extension for Most 26-65 Inch Flat Curved TVs with Max VESA 400x400mm up to 88lbs, Wall Mount TV Bracket fits 12,16 inch Wood Stud by Pipishell",B07YRVY61P,False,False,4.7,3388
10,"USX MOUNT Full Motion TV Wall Mount for Most 47-84 inch Flat Screen/LED/4K TV, Mount Bracket Dual Swivel Articulating Tilt 6 Arms, Max VESA 600x400mm, Holds up to 132lbs, Fits 8” 12” 16"" Wood Studs",B07CXF452P,False,False,4.8,42698
11,"MOUNTUP UL Listed TV Wall Mount, Full Motion TV Wall Mount for Most 26-65 Inch Flat/Curved TV Fit 16"" Wood Stud, Wall Mount TV Bracket with Dual Swivel Articulating Arm Max VESA 400x400mm up to 88 LBS",B07ZSGYCJD,False,True,4.7,5596
12,"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",B01KBEOL5E,True,False,4.7,35760
13,"No Stud TV Wall Mount, Drywall Studless TV Hanger No Damage, No Drill, Non Screws, Flat Screen Easy Install Bar Bracket fits VESA 12-55 inch TVs up to 99 lbs, Include Hardware Levels",B08YDW8HKX,False,False,4.6,5939
14,"Mounting Dream TV Wall Mount for 32-65 Inch TV, TV Mount with Swivel and Tilt, Full Motion TV Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",B00SFSU53G,False,False,4.8,37630
15,"ELIVED UL Listed Full Motion TV Monitor Wall Mount for Most 14-42 Inch LED LCD Flat Screen TVs & Monitors, Swivels Tilts Extension Rotation, TV Bracket Max VESA 200x200mm, up to 33 lbs.",B0882WGSRR,False,False,4.6,5522
16,"ELIVED UL Listed TV Wall Mount for Most 26-65 Inch TVs, Full Motion TV Mount with Swivel and Tilt, Wall Mount TV Bracket with Dual Articulating Arms, Max VESA 400x400mm, Holds up to 99 lbs.",B08XYTJJ5R,False,True,4.6,929
17,"Perlegear UL Listed Full Motion TV Wall Mount for Most 37–82 inch Flat Curved TVs up to 110 lbs, 12″/16″ Wood Studs, TV Mount Bracket with Articulating Arms, Swivel, Tool-Free Tilt, Max VESA 600x400mm",B0B8YZ5TR4,False,False,4.8,1912
18,"Mounting Dream TV Wall Mount for Most 26-55 Inch TVs, Full Motion TV Mount with Perfect Center Design, Articulating Mount Max VESA 400x400mm up to 77 LBS, Wall Mount TV Bracket MD2413-MX",B00KXTZ3BE,False,False,4.7,61551
19,"Full Motion TV Mount with Height Adjustment, TV Wall Mount Most 26-65 Inch Flat and Curved TV, Wall Mount TV Bracket Swivel Tilt Extension Leveling Max VESA 400x400mm Holds up to 110lbs, 16"" Studs",B0C3CGDG4Z,False,False,4.6,57
20,"Mounting Dream UL Listed TV Wall Mount for Most 42-84 Inch TV, Full Motion TV Mount with Swivel and Tilt, TV Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 600X400 mm, 100 lbs,MD2617",B08JTW2ZCP,False,False,4.8,9088
21,"Amazon Basics Tilt TV Wall Mount with Horizontal Post Installation Leveling for 32-Inch to 86-Inch TVs, Black",B09JWSDQDK,True,False,4.6,164
