rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"TCL 40-Inch Class S3 1080p LED Smart TV with Fire TV (40S350F, 2023 Model), Alexa Built-in, Apple AirPlay Compatibility, Streaming FHD Television,Black",B0C1J2SVKD,True,False,4.6,11
1,"INSIGNIA 42-inch Class F20 Series Smart Full HD 1080p Fire TV with Alexa Voice Remote (NS-42F201NA23, 2022 Model)",B0BCMND272,True,False,4.5,3624
2,"VIZIO 40-inch D-Series Full HD 1080p Smart TV with AMD FreeSync, Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D40f-J09, 2022 Model",B092Q1TRJC,False,False,4.2,5993
3,"INSIGNIA 32-inch Class F20 Series Smart HD 720p Fire TV with Alexa Voice Remote (NS-32F201NA23, 2022 Model)",B09ZLTMWWH,False,False,4.6,10341
4,"Introducing Amazon Fire TV 40"" 2-Series 1080p HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",B09N719G17,False,False,4.5,2026
5,"INSIGNIA 42-inch Class F20 Series Smart Full HD 1080p Fire TV with Alexa Voice Remote (NS-42F201NA23, 2022 Model)",B0BCMND272,False,False,4.5,3624
6,"Amazon Alexa Voice Remote (3rd Gen) with TV controls, Requires compatible Fire TV device, 2021 release",B08D6WJYD9,True,False,4.5,16477
7,"Amazon Fire TV 55"" 4-Series 4K UHD smart TV, stream live TV without cable",B0B3H6JPYZ,False,False,4.5,34557
8,"INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24, 2023 Model)",B0BTTVRWPR,False,False,4.5,10926
9,"TCL 40-Inch Class S3 1080p LED Smart TV with Fire TV (40S350F, 2023 Model), Alexa Built-in, Apple AirPlay Compatibility, Streaming FHD Television,Black",B0C1J2SVKD,False,False,4.6,11
10,"Toshiba 55-inch Class C350 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (55C350LU, 2023 Model)",B0BTTV2P88,False,False,4.4,644
11,"INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24, 2023 Model)",B0BTTVRWPR,True,False,4.5,10926
12,"TCL 40-Inch Class S3 1080p LED Smart TV with Roku TV (40S350R, 2023 Model), Compatible with Alexa, Google Assistant, and Apple HomeKit Compatibility, Streaming FHD Television,Black",B0C1J1TWQM,False,False,4.3,126
13,"Amazon Fire TV 75"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, 1,700+ free artwork pieces, local dimming, hands-free with Alexa",B09N6Y5BTL,False,False,4.2,1591
14,"LG 75-Inch Class UQ7590 Series 4K Smart TV, AI-Powered 4K, Cloud Gaming (75UQ7590PUB, 2022),Grey",B09RRKSZ29,False,False,3.9,57
15,"LG 50-Inch Class UR9000 Series Alexa Built-in 4K Smart TV (3840 x 2160),Bluetooth, Wi-Fi, USB, Ethernet, HDMI 60Hz Refresh Rate, AI-Powered 4K,Black",B0BVXDQYQB,False,False,4.3,96
16,"POVISON Extendable TV Stand with Storage, Solid Wood Media Console for up to 100'' TV, Modern Black Entertainment Center, Reversible, Partial Assembled, Walnut & Oak Veneer",B0BG7M6JJK,False,True,5.0,3
17,"Hisense 50-Inch Class R6 Series 4K UHD Smart Roku TV with Alexa Compatibility, Dolby Vision HDR, DTS Studio Sound, Game Mode (50R6G),Black",B09JHSVTSD,False,False,4.5,3628
18,"Hisense 55-Inch Class A6 Series 4K UHD Smart Google TV with Alexa Compatibility, Dolby Vision HDR, DTS Virtual X, Sports & Game Modes, Voice Remote, Chromecast Built-in (55A6H) , Black",B09WQC4XJQ,False,False,4.4,2920
19,"SAMSUNG 40-inch Class LED Smart FHD TV 1080P (UN40N5200AFXZA, 2019 Model)",B07YXH57B8,False,False,4.5,11797
20,Sony 85 Inch 4K Ultra HD TV X77L Series: LED Smart Google TV KD85X77L- 2023 Model,B0BZDXK2J7,False,False,4.3,239
21,"Amazon Alexa Voice Remote Pro, includes remote finder, TV controls, backlit buttons, requires compatible Fire TV device",B09RX4HKTD,True,False,4.5,8059
