rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Litfun,B09JVQQ99K,False,True,4.6,3997.0
1,LANSGELING,B0CJ5D8HW7,False,True,4.7,7.0
2,UGG,B000J13YQM,False,False,4.7,24520.0
3,UGG,B0009F2HDE,False,False,4.7,13209.0
4,UGG,B08WPW1X6T,False,False,4.5,3238.0
5,UGG,B082HHWYWD,False,False,4.7,19126.0
6,UGG,B082HJ4R1G,False,False,4.6,22005.0
7,UGG,B08448GR8D,False,False,4.8,2201.0
8,UGG,B000J19AYC,False,False,4.7,14515.0
9,UGG,B09PXH1F9K,False,False,4.6,1284.0
10,Litfun,B0CCCV8XZJ,False,True,4.9,20.0
11,INPAKSA,B0CHMMCVCM,False,True,5.0,17.0
12,UGG,B01MZG2LXM,False,False,4.8,4493.0
13,UGG,B0BSB6RZ4G,False,False,4.6,3.0
14,Koolaburra by UGG,B0BRR2QCWS,False,False,4.0,11.0
15,Koolaburra by UGG,B0BRR3ZD31,False,False,5.0,1.0
16,metricfalcon,B0CJ5H7WMF,False,True,5.0,5.0
17,RockDove,B07WCXW1MK,False,True,4.6,15257.0
18,Litfun,B0C9W9BYHP,False,True,4.3,35.0
19,Besroad,B09BZ1VJ88,False,True,4.6,2679.0
20,UGG,B093CRBWFY,False,False,4.7,720.0
21,Koolaburra by UGG,B0BRR2PHBJ,False,False,4.6,372.0
22,UGG,B09JWWKP7X,False,False,4.6,127.0
23,UGG,B09P4DXT1Y,False,False,4.5,205.0
24,SUSHAN,B07V799G5D,False,True,4.4,1589.0
25,SOSUSHOE,B0C8SLGQW4,False,True,4.5,91.0
26,ATHMILE,B0CDGKT1W6,False,True,4.8,14.0
27,Jessica Simpson,B079P967CL,False,True,4.6,41142.0
28,UGG,B078VF2MSM,False,False,4.6,43363.0
29,UGG,B08LQWRV6H,False,False,4.4,433.0
30,UGG,B0BKPWG72K,False,False,4.7,53.0
31,Koolaburra by UGG,B08YN55RRG,False,False,4.5,860.0
32,UGG,B0BSB6H6WW,False,False,,
33,UGG,B0B5FJG434,False,False,4.7,125.0
34,UGG,B084ZS98DV,False,False,4.5,1221.0
35,UGG,B08WPPFGCB,False,False,4.5,1010.0
36,KOOLABURRA,B06XT4BDHN,False,False,4.3,7745.0
37,UGG,B00ADW21PC,False,False,4.6,4343.0
38,UGG,B0BSFX1GCP,False,False,5.0,3.0
39,UGG,B082HHK3S1,False,False,4.6,12890.0
40,UGG,B077M7RQNZ,False,False,4.7,12403.0
41,Koolaburra by UGG,B09RQ28XFH,False,False,4.3,202.0
42,UGG,B082HHRCBD,False,False,4.6,5751.0
43,BEARPAW,B0CB3WN2S8,False,False,4.2,16.0
44,UGG,B01N7YHFGU,False,False,4.7,874.0
45,UGG,B082HJ4FJS,False,False,4.7,1376.0
46,UGG,B077JGLLXB,False,False,4.7,23481.0
47,UGG,B0BGJ8D64D,False,False,4.6,119.0
48,UGG,B09PSN81GL,False,False,4.7,394.0
49,UGG,B083QDZZXS,False,False,4.7,1440.0
50,Koolaburra by UGG,B083NT4Z43,False,False,4.5,1876.0
51,BEARPAW,B0CB3T61RX,False,False,4.1,19.0
52,Koolaburra by UGG,B09RQ1ZGCR,False,False,4.2,124.0
53,Dearfoams,B07TY29FG4,False,False,4.6,14733.0
54,KOOLABURRA,B06XT5YV52,False,False,4.4,808.0
55,Koolaburra by UGG,B09B1X9L6T,False,False,4.3,2654.0
56,metricfalcon,B0CJ9C1X57,False,False,5.0,2.0
57,UGG,B00593T2T8,False,False,4.8,16602.0
58,Koolaburra by UGG,B088ZWM68M,False,False,4.6,2581.0
59,Litfun,B09JVQQ99K,False,False,4.6,3997.0
