rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Repel Umbrella,B0160HYB8S,False,True,4.5,69557
1,SIEPASA,B078PD34VG,False,True,4.4,3320
2,Repel Umbrella,B07KGJVHMM,False,True,4.5,17046
3,LANBRELLA,B073Q3FK8B,False,True,4.6,14729
4,SY COMPACT,B071SBKLF6,False,False,4.4,28739
5,STROMBERGBRAND UMBRELLAS,B016UZ75WY,False,False,4.3,9984
6,Repel Umbrella,B01L135UIG,False,False,4.5,69557
7,totes,B01L9DKZ1A,False,False,4.7,24665
8,Sharpty,B06XX4MHFS,False,False,4.6,16404
9,NPCQUN,B09SV6FZ47,False,False,4.5,816
10,SIEPASA,B071ZRMLWB,False,True,4.7,27414
11,BAODINI,B09B1PWD6R,False,True,4.2,748
12,BAODINI,B08TMFYPPV,False,True,4.2,2016
13,BAODINI,B08XXM5237,False,True,4.5,1111
14,G4Free,B01ESJ7YUW,False,False,4.7,26706
15,LLanxiry,B0BZRWZC2J,False,False,4.4,198
16,SIEPASA,B071ZRMLWB,False,False,4.7,27414
17,Gorilla Grip,B0B7C7S3DQ,False,False,4.5,444
18,BAODINI,B09Q2PQ7ZB,False,True,4.1,1091
19,G4Free,B01ESJ7YUW,False,True,4.7,26706
20,ZOMAKE,B07ZRF8DRG,False,True,4.7,16971
21,G4Free,B0BG869P2T,False,True,4.7,54
22,ZOMAKE,B071KFPM9S,False,False,4.7,16971
23,totes,B005FOJAR0,False,False,4.7,4188
24,MRTLLOA,B07WK1K6LX,False,False,4.6,4440
25,VOUUY,B0CBS1FBWK,False,False,4.9,353
26,SY COMPACT,B07RJGRRGL,False,False,4.5,4096
27,Bodyguard,B08HYMFV5X,False,False,4.6,3612
28,Trenovo,B0C4S3Y5YJ,False,False,4.2,304
29,TUMELLA,B0BLHC5RWG,False,False,4.5,698
30,Samsonite,B00BXLWD1E,False,False,4.5,439
31,SIEPASA,B078PD34VG,False,False,4.4,3320
32,Baraida,B08FX1Y9Z8,False,False,4.5,1664
33,LLanxiry,B07F8P2GQV,False,False,4.0,5984
34,Repel Umbrella,B07KGJVHMM,False,False,4.5,17046
35,TradMall,B07H9B2VLB,False,False,4.4,3151
36,YAMHOHO,B09WK245VS,False,False,4.1,286
37,GAOYAING,B0C6R1HS7X,False,False,4.6,226
38,Yoobure,B0C5J9G3NL,False,False,4.2,3282
39,Royal Walk,B06WGN5X92,False,False,4.7,9446
40,LEAGERA,B0C6SM3LV7,False,False,4.5,150
41,PFFY,B07TM9NGPD,False,False,4.5,6347
42,G4Free,B0B5WWWHC3,False,False,4.3,357
43,LANBRELLA,B073Q3FK8B,False,False,4.6,14729
44,EEZ-Y,B01403HDO8,False,False,4.5,21478
45,Pumi-geous,B0C7BX85QC,False,False,4.2,44
46,totes,B005FOJBO2,False,False,4.6,1977
47,TUMELLA,B0BMLFK3M9,False,False,4.6,947
48,ACEIken,B075MDJ87H,False,False,4.7,9031
49,TechRise,B0BCJWVXNY,False,False,4.4,1711
50,Amazon Basics,B00WTHJ7HO,True,False,4.3,6009
51,GAOYAING,B09V38XZQ6,False,False,4.1,1739
52,G4Free,B0BG869P2T,False,False,4.7,54
53,MRTLLOA,B0BX63XMLF,False,False,4.4,962
54,totes,B071CWYNNW,False,False,4.4,786
55,TECKNET,B0BQ5Z9SVZ,False,False,4.4,168
56,totes,B01I79BD2Y,False,False,4.6,744
57,Balios,B01GICE7T8,False,False,4.6,4465
58,Pumi-geous,B0C287TFK5,False,False,4.6,51
59,totes,B017Y0YKMC,False,False,4.7,12557
