rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Essentials,B07QJMC168,True,False,4.6,1985.0
1,Amazon Essentials,B07QFBNXHF,True,False,4.6,3129.0
2,Amazon Essentials,B07QFBLC3W,True,False,4.7,1029.0
3,Amazon Essentials,B093QSXF6T,True,False,4.6,200.0
4,Amazon Essentials,B07BMBKTX1,True,False,4.4,1575.0
5,Amazon Essentials,B07JVKMRY4,True,False,4.5,9881.0
6,Amazon Essentials,B08BCNSJPX,True,False,4.5,6179.0
7,Amazon Essentials,B08P6942BN,True,False,4.5,25856.0
8,Amazon Essentials,B0BG7GHNBT,True,False,4.4,86.0
9,Simple Joys by Carter's,B09M8Y4XBX,True,False,4.8,334.0
10,Amazon Essentials,B0BG7GM3YN,True,False,4.1,75.0
11,Simple Joys by Carter's,B07KD76MZX,True,False,4.8,6638.0
12,Amazon Essentials,B0BKLK6YGD,True,False,4.4,165.0
13,Amazon Essentials,B09GBP5933,True,False,3.9,161.0
14,Core 10,B08L872NCQ,True,False,4.0,483.0
15,Amazon Essentials,B0BG7H72RZ,True,False,4.1,80.0
16,Amazon Essentials,B07FFHMZR6,True,False,4.4,5242.0
17,The Drop,B0B73CBCSX,True,False,3.9,13.0
18,Amazon Essentials,B09GNGR5J5,True,False,4.3,17667.0
19,Amazon Essentials,B08JHPYZ7D,True,False,4.2,566.0
20,Amazon Essentials,B09SYVNS6N,True,False,3.6,44.0
21,Core 10,B09TT5F8FQ,True,False,4.3,10.0
22,Amazon Essentials,B09SYXS9XN,True,False,3.3,14.0
23,Amazon Essentials,B07T3HTVQL,True,False,4.4,499.0
24,Amazon Essentials,B08JLBKS4X,True,False,4.1,684.0
25,Amazon Essentials,B07RDK5HSR,True,False,4.7,3313.0
26,Amazon Essentials,B084HSK1BJ,True,False,4.5,1452.0
27,Amazon Essentials,B09HCVKQ7R,True,False,4.4,572.0
28,Simple Joys by Carter's,B09M8W6FT7,True,False,4.6,6752.0
29,Core 10,B09TT7B746,True,False,,
30,Core 10,B08ZDW4HPF,True,False,4.4,235.0
31,Amazon Essentials,B09R9KHW39,True,False,4.8,115.0
32,Amazon Essentials,B09FK4WG5X,True,False,4.3,195.0
33,Amazon Essentials,B07JKRFB35,True,False,4.7,575.0
34,Core 10,B09GPXH6BR,True,False,,
