rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Spontuneous The Worst-CASE Scenario Card Game - All New Family/Party Game | 0% Trivia, 100% Humorous Fun",B08P16S3ZM,False,True,4.6,280.0
1,"Mattel Games UNO Card Game for Family Night, Travel Game & Gift for Kids in a Collectible Storage Tin for 2-10 Players (Amazon Exclusive)",B07P6MZPK3,False,False,4.8,62799.0
2,"Mattel 4347154784 Uno Card Game 2 Pack, Red",B07DCXC193,False,False,4.8,565.0
3,"UNO - Classic Colour & Number Matching Card Game - 112 Cards - Customizable & Erasable Wild - Special Action Cards Included - Gift for Kids 7+, W2087",B005I5M2F8,False,False,4.7,67528.0
4,"Mattel Uno Original and Uno Flip Card Games, Combo Pack of 2",B07TJT135V,False,False,4.8,1816.0
5,UNO Card Game (2 Pack),B07N5LMSN8,False,False,4.7,2162.0
6,"Mattel Games UNO Super Mario Card Game Animated Character Themed Collector Deck 112 Cards with Character Images, Gift for Kids Ages 7 Years Old & Up",B01ARGC2VQ,False,False,4.8,32993.0
7,"Mattel Games UNO Nothin' But Paper Card Game, Family Game with 100 Percent Paper and Fully Recyclable for 2-10 Players",B087QSR5GP,False,False,4.8,57580.0
8,"UNO Extreme Card Game Featuring Random-Action Launcher with Lights & Sounds & 112 Cards, Kid, Teen & Adult Game Night Gift Ages 7 Years & Older, GXY75",B08LDT6818,False,False,4.5,10211.0
9,"Mattel Games UNO Premium 50th Anniversary Edition Matching Card Game Featuring Commemorative Coin & 112 Cards, Game Night, Kids & Collectors Gift Ages 7 Years & Older.",B08J4HQX1P,False,False,4.8,645.0
10,"Mattel Games Giant UNO Card Game for Kids, Adults & Family Night, Oversized Cards & Customizable Wild Cards for 2-10 Players",B07Y98CFPB,False,False,4.8,24150.0
11,"Mattel Games UNO Showdown Supercharged Card Game for Family Night with Electronic Card Launcher, Lights & Sounds (Amazon Exclusive)",B07Y94HY9K,False,False,4.6,2642.0
12,Mattel Games UNO Dare Card Game for Family Night Featuring Challenging and Silly Dares from 3 Different Categories,B00IVLIW5K,False,False,4.7,16865.0
13,"Mattel Games Set of 3 Games with UNO, Skip-Bo & Dos, Travel Games for Kids & Family Night with Storage Tin Box (Amazon Exclusive)",B0BBSSG3C4,False,False,4.8,195.0
14,"Mattel Games UNO Splash Card Game for Outdoor Camping, Travel and Family Night With Water-Resistent Plastic Cards",B00TXI1NEW,False,False,4.7,15012.0
15,Mattel Games UNO Triple Play,B09ZHHNRVK,False,False,4.6,41.0
16,WHAT DO YOU MEME? Bigger Better Edition - Adult Card Games for Game Night,B09R6FF1LY,False,True,4.7,42045.0
17,"Mattel Lightyear Toys Games UNO Disney and Pixar Lightyear Card Game, Travel Game with Movie-Themed Deck in Collectible Tin for 2-10 Players",B09C9279ZQ,False,False,4.8,170.0
18,Mattel Games UNO Minimalista Card Game for Adults & Teens Unique Collectible Gift Featuring Designer Graphics by Warleson Oliviera,B089DR3N7S,False,False,4.8,23499.0
19,"Mattel Games UNO StackoGame for Kids and Family with 45 Colored Stacking Blocks, Loading Tray and Instructions, Makes a Great Gift for 7 Year Olds and Up (43535)",B0000206FS,False,False,4.5,3567.0
20,"Mattel Games UNO The Mandalorian All Wild Grogu Card Game for Kids & Adults with Grogu Images & Special Rule, 2 to 10 Players",B0BBSW29TK,False,False,4.6,52.0
21,WHAT DO YOU MEME? Family Edition - The Best in Family Card Games for Kids and Adults,B0812BN1L1,False,True,4.6,17085.0
22,"Monopoly Deal Quick-Playing Card Game for Families, Kids Ages 8 and Up and 2-5 Players",B07H5HFTWC,False,True,4.8,15192.0
23,MegaChess Giant Oversized Premium Complete Set of Chess Pieces with 25 Inch Tall King - Black and White,B00IIXBFPU,False,True,4.4,179.0
24,"Hasbro Gaming Clue Card Game,3-4 Player Strategy Game,Travel Games,Christmas Stocking Stuffers for Kids Ages 8 and Up",B07MWQ63JL,False,True,4.5,3763.0
25,"Mattel Games UNO Quatro Game with Colored Tiles & Plastic Game Grid for Adult, Family & Game Night, 2 to 4 Players Ages 7 Years & Up",B0BBSTD699,False,False,4.3,64.0
26,Mattel Games UNO the Legend of Zelda Card Game for Family Night with Graphics From the Legend of Zelda & Special Rule,B07BMKV6MT,False,False,4.8,2080.0
27,Mattel Uno Flip,B002UAKLM0,False,False,4.8,3673.0
28,"Mattel Games Games UNO Attack Jurassic World Domination Card Game For Kids & Family Night with Dinosaur Card Launcher, Lights & Sounds",B08J5WNSFC,False,False,4.6,552.0
29,"Skillmatics Card Game - Who Knows You Best? Family Party Game for Kids and Adults, Fun for Game Night",B0BXXNL12H,False,True,4.5,155.0
30,"Watch Ya Mouth - Ultimate Edition | Speak 200 Funny Phrases - Elevate Your Game with Classic, Rhyme Time, Pop Culture, and Head to Head Categories",B07SNVNBQ4,False,True,4.6,16702.0
31,{THE AND} Friends Edition - Conversation Starters to Make Friends Your Best Friends - Fun Getting to Know You Card Game with Questions - Deep Talks at Game Night or Dinner Party by The Skin Deep,B07CT8L2HN,False,True,4.6,239.0
32,"Yuanhe Canasta Playing Card Holder - 6 Deck Revolving Card Tray for Kids & Adults,Rotating Cards Holder for Poker, Canasta, Hand & Foot, Rummy,Go Fish,UNO Games",B099DVH3TC,False,True,4.6,296.0
33,"Mattel Games UNO Flip! Splash Card Game for Kids, Adults & Game Night with Water-Resistant Double-Sided Cards",B08J4H68MR,False,False,4.7,3183.0
34,Mattel Games UNO Flip Transformers,B0CBNSX9J3,False,False,,
35,UNO Attack Card Game for Family Night with Card Launcher Featuring Lights & Sounds and MEGA Hit Rule (Amazon Exclusive),B08GLK316Z,False,False,4.7,1783.0
36,Mattel Games UNO Junior Paw Patrol: The Mighty Movie Kids Card Game for Family Night Featuring 3 Levels of Play,B0BBSXT4LW,False,False,4.8,9.0
37,"Yuanhe Set of 4 Playing Card Holder for Kids Seniors,Hands Free Cards Holders for Poker Parties, Family Card Game Nights",B0813CRCS5,False,True,4.6,1394.0
