rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 36W Two-Port USB-C Wall Charger With Power Delivery PD For Tablets & Phones (iPhone 14/13/12/11/X,iPad,Samsung), White (non-PPS), 2.34 in x 1.09 in x 2.21 in",B087MDRFWW,True,False,4.7,1311.0
1,"iPhone 15 14 13 12 11 USB C Wall Charger, 20W 2-Pack Charging Block USBC Power Adapter PD Plug Box Type C Brick Cube for iPhone 15 14 13 12 11 Pro Max XS X XR SE 8 Plus, iPad Pro, AirPods Pro",B08N9TPH3J,False,True,4.6,13037.0
2,"[2 Pack] USB C Wall Charger Block【Apple MFi Certified】 Dual Port PD Power Adapter Fast Charging Block for iPhone 15/15 Pro/15 Pro Max/15 Plus/14/13/12/11, XS/X, iPad, Google Pixel, Samsung Galaxy",B0BX456RHJ,False,False,4.6,847.0
3,"4Pack USB C Charger Block [Apple MFi Certified], iGENJUN 20W iPhone Fast Charger Wall Charger with PD 3.0, Compact Type C Power Adapter for iPhone 15/14/13, Galaxy, Pixel, AirPods Pro (Arctic White)",B0B5ZJBP5Q,False,False,4.6,2537.0
4,"3Pack USB C Charger Block 20W [Apple MFi Certified], iGENJUN PD 3.0 Type C Charger Wall Charger USBC Power Adapter Brick Cube Fast Charger for iPhone 15/15 Pro/14/13, Galaxy, Pixel, AirPods Pro-White",B0CGDR9BR2,False,False,4.9,227.0
5,"iPhone 15 14 13 12 Charger Fast Block [Apple MFi Certified] USB C Charger 2Pack Type C Adapter Plug Box Wall Charging Brick Cube for iPhone 15 14 13 12 11 Pro Max XS X XR SE 8 Plus, for iPad (White)",B0BZPCFNC4,False,False,3.9,356.0
6,"Amazon Basics 12W One-Port USB-A Wall Charger (2.4 Amp) for Phones (iPhone 13/12/11/X, Samsung, and more), Black",B0773J79KC,True,False,4.7,32361.0
7,"USB C Charger Block 20W, Anker 511 Charger (Nano Pro), PIQ 3.0 Compact Fast Charger for iPhone 15/15 Plus/15 Pro/15 Pro Max, 14/13/12 Series, Galaxy, Pixel 4/3, iPad (Cable Not Included)",B099F558S1,False,False,4.8,25025.0
8,"3Pack Dual Port USB-C Wall Plug-in USB Charger, AILKIN 20W Power Delivery + QC3.0 USB A Double Port Fast Charging Block for iPhone 15 14 13 12 Pro Max 14 Pro 12 Mini 11 Pro Max 14 Plus 11 SE X XS Cube",B09B6ZQZPR,False,False,4.5,11675.0
9,"[3 Pack] USB C Wall Charger【Apple MFi Certified】 Dual Port PD Power Adapter Fast Charging Block for iPhone 15/15 Pro/15 Pro Max/15 Plus/14/13/12/11, XS/X, iPad, Google Pixel, Samsung Galaxy and More",B0BDWYL28S,False,False,4.6,397.0
10,"Anker 47W USB C Charger (Nano 3), 2 Port Compact Foldable GaN Fast Charger for iPhone 15/15 Plus/15 Pro/15 Pro Max/14, Galaxy, Pixel 4/3, iPad/iPad Mini (Cable Not Included) - Black",B0BDKB4W7N,False,False,4.8,518.0
11,Galaxy S23 S22 USB C Charger Block 25W PD Super Fast Charger Type C Wall Plug Adapter Quick Charging for Samsung Galaxy S23/S22/S21/S20/Z Fold 3/4/5/Note20/iPhone 14/iPad/Tablet/Watch-1Pack,B08R72H6PP,False,True,4.7,6436.0
12,"Fast USB C Wall Charger,20W PD Power Adapter Charging Block Compatible with iPhone 14 13 12 11 Pro Max,SE/X/XS,iPad Pro,Samsung Galaxy S20 S10 S9 A01 A11 A21 A51 A71 A20 A50 Note 20,Pixel 5 4a 3a 2 XL",B08KSVT5MS,False,False,4.6,9118.0
13,"[2-Pack] USB C Wall Charger, Aiminu 40W 4-Port Fast USB C Charger Block Dual Port PD Power Adapter + QC Wall Plug Multiport Type C Charging Block for iPhone 15 Plus 14 Pro Max 14 Pro 13 12 11, Samsung",B0C1CB2JR6,False,False,4.7,1019.0
14,"[2 Pack] iPhone 15 14 13 12 11 Charger Block【Apple MFi Certified】 USB C Wall Charger 20W PD Power Adapter for iPhone 15/15Pro/15Pro Max/15Plus/14/13/12/11, iPad",B0912GK6LV,False,False,4.6,7330.0
15,"iPhone 15 14 13 Charger, [Apple Certified] 20W USB C Charger Type C Wall Charger Adapter, PD Fast Charger Block for iPhone 15 Pro/15 Pro Max/15 Plus/14/13/12/11/XS/XR/X",B08LGGGLQ5,False,False,4.6,9241.0
16,"USB C Charger Block, SELORE 67W Fast Charging Adapter PPS, 3-Port GaN Charger Foldable Compact Wall Charger with USB-C Cable for MacBook Pro/Air, iPad, Galaxy S23/S22, iPhone 14, Dell XPS, Laptop",B0C2T5T876,False,True,4.5,264.0
17,iPhone 15 Charger Block 2-Pack [Apple MFi Certified] USB C Wall Charger Type C Box Power Adapter Compatible with iPhone 15/iPhone 15 Pro/iPhone 15 Pro Max/iPhone14/13/12 Pro/11Pro/iPad Pro/Samsung,B09R1JC28R,False,False,4.7,2567.0
18,"Amazon Basics 36W Two-Port USB-C Wall Charger With Power Delivery PD For Tablets & Phones (iPhone 14/13/12/11/X,iPad,Samsung), White (non-PPS), 2.34 in x 1.09 in x 2.21 in",B087MDRFWW,True,False,4.7,1311.0
