rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 3 Foot, Black",B01GGKYKQM,True,False,4.6,86123
1,"Aluminum Alloy USB C Charger 220W 7 Port Fast Charging Station,65W USB C Laptop GaN Charger Compatible with MacBook Pro/Air (Black)",B0BFN6JKMV,False,True,4.6,557
2,"iPhone Charger [Apple MFi Certified] 2 Pack 20W PD USB C Wall Fast Charger Adapter with 2 Pack 6FT Type C to Lightning Cable Compatible for iPhone 14 13 12 11 Pro Max XR XS X,iPad",B0BW5X89MM,False,False,4.5,6924
3,"etguuds 2-Pack 3ft USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8",B089DM4KDW,False,False,4.6,45270
4,"3Pack USB C Charger Block 20W [Apple MFi Certified], iGENJUN PD 3.0 Type C Charger Wall Charger USBC Power Adapter Brick Cube Fast Charger for iPhone 15/15 Pro/14/13, Galaxy, Pixel, AirPods Pro-White",B0CGDR9BR2,False,False,4.9,227
5,"USB Type-C to A Cable 5pack 6ft Braided Fast Charging 3A Quick Charger Cord, 6 Foot Compatible Samsung Galaxy S10 S9 S8 Plus, Note 10 9 8, LG V50 V40 G8 G7(Grey)",B082Z1YYRK,False,False,4.6,49077
6,"Amazon Basics USB-C to USB-C 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, White",B01GGKZ2SC,True,False,4.6,38804
7,"20W USB C Fast Charger for iPhone 15/15 Pro/15 Pro Max, iPad Pro 12.9/11 inch, New iPad Air 5/4th, iPad 10th Generation, iPad Mini 6, PD Wall Charger Block with 6.6ft USB C to C Charging Cable",B08CV9V743,False,False,4.4,7902
8,"Anker USB C Charger Cable, New Nylon USB C to USB C Cable (6ft, 2Pack), 60W(3A) for iPhone 15/15 Pro/15 Plus/15 Pro Max, iPad Mini 6/ Pro 2021, iPad Air 4, MacBook Pro 2020, Samsung Galaxy S23,Switch",B088NRLMPV,False,False,4.7,34736
9,"USB C Charger Block 20W, Anker 511 Charger (Nano Pro), PIQ 3.0 Compact Fast Charger for iPhone 15/15 Plus/15 Pro/15 Pro Max, 14/13/12 Series, Galaxy, Pixel 4/3, iPad (Cable Not Included)",B099F558S1,False,False,4.8,25025
10,"[Apple Certified] 20W USB C Fast Charger for iPhone 15/15 Pro/15 Pro Max, iPad Pro 12.9/11 inch, iPad Air 5th/4th, iPad 10, PD Wall Charger with 6.6ft USB C to C Charging Cable",B092915VWD,False,False,4.4,9175
11,"Anker USB C Charger, 735 Charger (Nano II 65W), iPad Charger, PPS 3-Port Fast Compact Foldable for MacBook Pro/Air, iPad Pro, Galaxy S23, Dell XPS 13, Note 20/10+, iPhone 15/Pro, Steam Deck, and More",B09C5RG6KV,False,True,4.7,9665
12,"Deegotech Type C Charger 10 ft, USB C Charger Cable Fast Charging, Nylon Braided Long USB C Cable, Type C Charger Cord for Galaxy S10 S9 S8 Plus, Note9 8 A60 A50, Moto G and Other USB C Devices",B07C97XFRL,False,False,4.5,42438
13,"USB C Cable (3Pack 3+6+6ft), USB A to Type C Fast Charger Cord Braided Compatible with Galaxy S10 S9 S8, Power Bank, and Other Type c Devices-Black",B0B4JGLTZW,False,False,4.5,1568
14,"iPhone Charger, Anker USB C Charger, 2-Pack 20W Dual Port USB Fast Wall Charger, USB C Charger Block for iPhone 15/15 Pro/15 Pro Max/iPad Pro/AirPods and More (2-Pack 5 ft USB-C Cable Included)",B0C8HHV9DK,False,False,4.6,290
15,Samsung Fast Charger 25W Type C Charger Super Fast Wall Charger for Galaxy S23 S22 S21 S21+/S21 Ultra/S20/S20+/S20 Ultra/Note 20/Note 20 Ultra/Note 10/Note10+,B095BRCYSW,False,False,4.5,4064
16,"USB C Charger, 220W USB C Charging Station 6-Port Fast Charger, 100W USB C Laptop Charger USB C Charger Block for MacBook Pro/Air,iPad Series, iPhone 14/13Pro Max/12 Samsung Galaxy Note",B0BZ7KY1S9,False,True,4.5,140
17,"Anker 47W USB C Charger (Nano 3), 2 Port Compact Foldable GaN Fast Charger for iPhone 15/15 Plus/15 Pro/15 Pro Max/14, Galaxy, Pixel 4/3, iPad/iPad Mini (Cable Not Included) - White",B0BDKCBJ95,False,False,4.8,339
18,"USB C Charger, Anker 2-Pack Fast Charger with Foldable Plug, PowerPort III 20W Cube Charger for iPhone 15/15 Plus/15 Pro/15 Pro Max/14, Galaxy, Pixel 4/3, iPad/iPad Mini, and More(Cable not Included)",B09491FT41,False,False,4.8,10958
19,"<2Pack> USB C Charger, 25W Super Fast Charger with Type C Charger Cable 6ft Type C Charger Fast Charging for Galaxy S23 Ultra/S23/S23+/S22/S22 Ultra/S22+/S21 Ultra/S20 Ultra/Note 20",B097MVXSQ5,False,False,4.5,3849
20,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",B08L5M9BTJ,False,False,4.8,194511
21,"Amazon Basics 24W Two Port USB-A Wall Charger (2.4 Amp per port) for Phones (iPhone 14/13/12/11/X, Samsung, and more), White",B0773BHCVD,True,False,4.7,32361
