rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 3 Foot, Black",B01GGKYKQM,True,False,4.6,86123
1,"USB C Cable 3.2A,[4-Pack,10+6.6+3.3+1.6FT]MRGLAS Type C Charger Fast Charging Cable Right Angle [90°Gold-Plated] USBA to USBC Cord for Samsung S10 S9",B096RVBCGX,False,True,4.6,6492
2,"Anker USB C Charger Cable, New Nylon USB C to USB C Cable (6ft, 2Pack), 60W(3A) for iPhone 15/15 Pro/15 Plus/15 Pro Max, iPad Mini 6/ Pro 2021, iPad Air 4, MacBook Pro 2020, Samsung Galaxy S23,Switch",B088NRLMPV,False,False,4.7,34736
3,"USB Type-C to A Cable 5pack 6ft Braided Fast Charging 3A Quick Charger Cord, 6 Foot Compatible Samsung Galaxy S10 S9 S8 Plus, Note 10 9 8, LG V50 V40 G8 G7(Grey)",B082Z1YYRK,False,False,4.6,49076
4,"USB C Cable[2-Pack,6FT], 3A Type C Fast Charging Cord Durable Braided Compatible with Samsung Galaxy A20 A50 A51 A71, S20 S10 S9 S8 Plus Android Cell Phone Charger Cable Red",B096PLCJPZ,False,False,4.6,4650
5,"etguuds 2-Pack 3ft USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8",B089DM4KDW,False,False,4.6,45270
6,"Amazon Basics USB-C to USB-C 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, White",B01GGKZ2SC,True,False,4.6,38804
7,"Anker USB C Charger Cable (6ft 100W, 2Pack), USB 2.0 Type C Fast Charging Cable for iPhone 15 / 15Pro / 15Plus / 15ProMax MacBook Pro 2020, iPad Pro 2020, iPad Air 4, Samsung Galaxy S23+/S23 Ultra",B09LCJPZ1P,False,False,4.7,12267
8,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 3 Foot, Black",B01GGKYKQM,True,False,4.6,86123
9,"Anker USB C Cable, [2-Pack, 6ft] Premium Nylon USB A to USB C Charger Cable for Samsung Galaxy S10 S10+, LG V30, Beats Fit Pro and Charging Cord for USB C Port Camera (USB 2.0, Black)",B07DC5PPFV,False,False,4.7,83814
10,"Apple USB C to USB C Charging Cable 6ft 60W 3Pack [Apple MFi Certified], Type C to Type C Fast Charger Cord Compatible for iPhone 15/15 Pro/15 Pro Max/15 Plus,iPad Pro, Air5, MacBook Air (White)",B0BXKZ2JV6,False,False,4.4,771
11,"USB C Docking Station Dual Displayport Monitor, USB C Hub Displayport with 2 DP, HDMI, VGA, PD Charging, USB A&C 2.0 Ports Multi Monitors Adapter for Dell/HP/Lenovo, etc",B0C73MBPZN,False,True,4.5,1798
12,"Deegotech Type C Charger 10 ft, USB C Charger Cable Fast Charging, Nylon Braided Long USB C Cable, Type C Charger Cord for Galaxy S10 S9 S8 Plus, Note9 8 A60 A50, Moto G and Other USB C Devices",B07C97XFRL,False,False,4.5,42438
13,"3Pack Dual Port USB-C Wall Plug-in USB Charger, AILKIN 20W Power Delivery + QC3.0 USB A Double Port Fast Charging Block for iPhone 15 14 13 12 Pro Max 14 Pro 12 Mini 11 Pro Max 14 Plus 11 SE X XS Cube",B09B6ZQZPR,False,False,4.5,11675
14,"USB Type C Cable 5Pack (3/3/6/6/10FT) Nylon Braided USB C Cable Fast Charger Charging Cord Compatible Samsung Galaxy S9 S8 Note 9 Note 8 Plus,LG V30 G6 G5 V20,Google Pixel, Moto Z2 (Navy&Blue)",B09C8B6V94,False,False,4.5,4118
15,"AINOPE 100W USB C to USB C Cable 10FT, USB C Charger Cable, USBC to USBC Cable Fast Type C Charging Cable Fits for iPhone 15 Pro Max Plus, MacBook Air/Pro, iPad Pro, Samsung Galaxy S23",B094YDZQ1C,False,False,4.6,11004
16,"10Gbps USB C Hub Adapter,Aluminum USB C to USB Hub with 4 USB 3.1 Ports,USB C Splitter to USB Multiport Adapter for MacBook Pro/Air 2022 2021,iPad Pro,iMac,Dell,Surface Pro,Dell, and More",B0BQ75D5VP,False,True,4.5,356
17,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",B08L5M9BTJ,False,False,4.8,194511
18,Apple USB-C Charge Cable (2m),B01MQ5Z080,False,False,4.7,30502
19,"USB-C to USB A Cable 3.1A Fast Charging [2-Pack 6.6ft], JSAUX USB Type C Charger Cord Compatible with Samsung Galaxy S20 S10 S9 S8 A51 A13, Note 20 10, LG G8 G7, iPhone 15/15 Pro Max USB C Charger-Red",B076FPGWNZ,False,False,4.7,156735
20,"USB Type C Cable Fast Charging, Tpc001 5 Pack(6Ft 3A) Braided C Charger Cables Compatible with Samsung S10e/note 9/s10/s9/s8 Plus/A80/A50/A20",B08FYNN55Z,False,False,4.6,12387
21,"Amazon Basics USB-C to USB-C 2.0 Fast Charging Cable, 480Mbps Transfer Speed, USB-IF Certified, 10 Foot, White",B085SBT6D8,True,False,4.5,5291
