rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 3 Foot, Black",B01GGKYKQM,True,False,4.6,86123
1,"Amazon Basics USB-C to USB-C 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, White",B01GGKZ2SC,True,False,4.6,38804
2,"Amazon Basics USB-C to USB-C 3.1 Gen 2 Fast Charging Cable, 60W, 10Gbps High-Speed, 3 Foot, Black",B085SBNFQW,True,False,4.4,522
3,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, Black",B085SBKM7Y,True,False,4.6,10416
4,"Amazon Basics 36W Two-Port USB-C Wall Charger With Power Delivery PD For Tablets & Phones (iPhone 14/13/12/11/X,iPad,Samsung), White (non-PPS), 2.34 in x 1.09 in x 2.21 in",B087MDRFWW,True,False,4.7,1311
5,"Amazon Basics Aluminum Braided 100W USB-C to USB-C 2.0 Cable with Power Delivery - 3-Foot, Gray",B08L86MHKB,True,False,4.6,727
6,"Amazon Basics USB-C to USB-C 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 10 Foot, Black",B085SB6RSN,True,False,4.5,1081
7,"Amazon Basics 68W Two-Port GaN USB-C Wall Charger (50W + 18W) with Power Delivery PD for Laptops, Tablets and Phones (iPhone 14/13/12/11/X, iPad, MacPro, Samsung, and more)-Black (non-PPS)",B087MFDTL4,True,False,4.5,4638
8,"Amazon Basics 100W USB-C to USB-C 3.1 Gen 1 Cable with Power Delivery - 6-Foot, White",B08L84QSX5,True,False,4.2,229
9,"Amazon Basics USB-C to Micro USB 3.1 Gen 2 Fast Charging Cable, 10Gbps High-Speed, 3 Foot, Black",B01GGKYIHS,True,False,4.7,12463
10,"Amazon Basics 30W USB Car Charger, 1 USB-C (18W) Cable with Power Delivery and USB-A (12W) Port - Black",B07G2VWR56,True,False,4.6,5494
11,"Amazon Basics USB-C to USB-A 3.1 Gen 2 Adapter Fast Charger Cable, 10Gbps High-Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 3 Foot, White",B01GGKYS6E,True,False,4.6,16496
12,"Amazon Basics 68W Two-Port GaN USB-C Charger (50W + 18W) for Laptops, Tablets and Phones with Power Delivery and 10ft USB-C Charging Cable - Black (May Ship Separately)",B09329KBKV,True,False,4.3,17
13,Amazon Basics 100W Four-Port GaN Charger with 2 USB-C Ports (65W + 18W) and 2 USB-A Ports (17W) and 10ft USB-C Charging Cable - Black (May Ship Separately),B0932JJPXT,True,False,5.0,2
14,"Amazon Basics 65W GaN USB-C Charger for Laptops, Tablets and Phones with Power Delivery and 10ft USB-C Charging Cable - Black (May Ship Separately)",B09323VSL3,True,False,5.0,2
15,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, Nylon Braided Cord, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, Dark Gray",B07CWNJLQ8,True,False,4.6,48309
