rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Vacuum Seal System, Black",B07VHTR45X,True,False,4.2,2752.0
1,"Amazon Basics 6-Gallon 3.5 HP Stainless Steel Wet/Dry Vacuum, Ss, Grey, Black",B09T3XGCCF,True,False,4.4,116.0
2,"Amazon Basics 12-Gallon 5 HP Wet/Dry Vacuum, Grey & 2-1/2 Inch Gutter Cleaning Kit, Black",B0BP7K9836,True,False,4.6,3.0
3,"Amazon Basics 2.5-Gallon 2 HP Wet/Dry Vacuum, Grey, Black",B09T3XWVTJ,True,False,4.3,120.0
4,Amazon Basics 6-Gallon 3.5 HP Stainless Steel Wet/Dry Vacuum & Foam Wet Filter 3-Pack,B0BP7CB8J7,True,False,4.6,3.0
5,Amazon Basics 6-Gallon 3.5 HP Stainless Steel Wet/Dry Vacuum & Fine Dust Cartridge Filter & Retainer,B0BJ87K6XX,True,False,,
6,"Amazon Basics 12-Gallon 5 HP Wet/Dry Vacuum, Grey & Foam Wet Filter 3-Pack",B0BP7NWN8Y,True,False,,
7,"Amazon Basics Upright Bagless Lightweight Vacuum Cleaner, White",B0BN5F6MJY,True,False,4.4,243.0
8,"Amazon Basics Vacuum Compression Storage Bags With Hand Pump, 15-Pack, Multiple, White",B07RP7TJVT,True,False,4.4,73196.0
9,"Amazon Basics 5 to 16 Gallon Foam Wet Filter 3-Pack, Black",B09HXPD5RT,True,False,4.1,153.0
10,"Amazon Basics 2-1/2 Inch Gutter Cleaning Kit, Black",B09HXMTV77,True,False,4.3,97.0
11,"Amazon Basics Vacuum Compression Storage Bags with Hand Pump - 15-Pack (2 X-Jumbo, 5 Jumbo, 4 Large, 4 Medium) & Vacuum Compression Storage Bags with Hand Pump - Jumbo, 6-Pack",B08FTYKQ95,True,False,4.3,51.0
12,"Amazon Basics 12-Gallon 5 HP Wet/Dry Vaccum, Grey, Black",B09T3XCTRW,True,False,4.4,53.0
13,"Vacmaster 9 Inch Crevice Tool Wet/Dry Vac Accessory, 2 1/2"" Diameter, V2CT , Black",B002MUAG78,True,False,4.3,37.0
14,"Amazon Brand - Vacmaster Hepa Material Fine Dust Cartridge Filter & Retainer, VCFH",B002MUAGEQ,True,False,4.6,4164.0
15,Amazon Basics G51 Vacuum Dust Bags with Odour control Pack of 4,B073HJM3KR,False,False,4.6,796.0
