rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Whole Foods Market, Organic Fair Trade Vanilla Bean, 1 ct",B074V3VTSX,True,False,4.5,387.0
1,"365 by Whole Foods Market, Ice Cream Vanilla Bean Organic, 16 Ounce",B07FW7WJ3H,True,False,4.5,6250.0
2,"365 by Whole Foods Market, Ice Cream Non Dairy Vanilla Bean, 1 Pint",B07DFXZ8VH,True,False,4.3,3061.0
3,"AmazonFresh Just Bright Whole Bean Coffee, Light Roast, 12 Ounce",B072MQ5BT8,True,False,4.3,30348.0
4,"Amazon Brand - Happy Belly Powdered Non-dairy French Vanilla Coffee Creamer (Sugar-Free), 10.2 Ounce",B08B4CT82D,True,False,4.2,2721.0
5,"AmazonFresh French Vanilla Flavored Coffee, Ground, Medium Roast, 12 Ounce (Pack of 3)",B072KGXXKH,True,False,4.3,39526.0
6,"Amazon Brand - Happy Belly Vanilla Bean Ice Cream, 48 Fl Oz (Frozen)",B08JNJX4N1,True,False,,
7,"365 by Whole Foods Market, Yogurt Almond Milk Vanilla Bean, 5.3 Ounce",B07RCN9M14,True,False,4.2,879.0
8,"Whole Foods Market, Vanilla Bean Cheesecake 2 Inch, 2 Ounce",B07D6TZY4R,True,False,4.3,315.0
9,"Amazon Brand - Happy Belly Hazelnut Flavored Ground Coffee, Medium Roast, 12 Ounce",B087GGC7Z5,True,False,4.3,15167.0
10,"365 by Whole Foods Market, Ice Cream Vanilla, 1.5 Quart",B07FW2P8DG,True,False,4.5,4635.0
11,"Amazon Brand - Happy Belly Decaf Breakfast Blend Ground Coffee, Light Roast, 32 Ounce",B087GFJCRB,True,False,4.3,3660.0
12,"365 by Whole Foods Market, Yogurt Vanilla Organic, 32 Ounce",B07DWFVNZB,True,False,4.7,3072.0
13,"365 by Whole Foods Market, Ice Cream Butter Pecan, 1.5 Quart",B07FWN7W4K,True,False,4.6,2079.0
14,"Amazon Brand - Solimo Variety Pack Light Roast Coffee Pods, Hazelnut and French Vanilla Flavored, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07NYTKF6B,True,False,4.4,140287.0
15,"365 by Whole Foods Market, Vanilla Sandwich Creme Cookies, 20 Ounce",B074H6M3ZJ,True,False,4.4,13272.0
16,"Allegro Coffee Organic Breakfast Blend Ground Coffee, 12 oz",B00IIWPLW4,True,False,4.5,3197.0
17,"365 by Whole Foods Market, Large Marshmallows, 10 Ounce",B07D6SXGY4,True,False,4.7,3460.0
18,"365 by Whole Foods Market, Baking Soda, 16 Ounce",B074J7X1DN,True,False,4.8,9299.0
19,"365 by Whole Foods Market, Coffee Breakfast Blend City Roast Pods Organic 12 Count, 4.6 Ounce",B074H6KV1R,True,False,4.3,793.0
20,"365 by Whole Foods Market, Organic Decaf Buzz Free Full City Roast Ground Coffee, 10 Ounce",B074HBYN3Y,True,False,4.5,1886.0
21,"365 by Whole Foods Market, Vanilla Grass Fed Whey Protein, 18 Ounce",B08CBYRMR4,True,False,4.5,178.0
22,"365 by Whole Foods Market, Lentils Black Organic, 16 Ounce",B084NHD2R9,False,False,4.8,1439.0
23,"365 by Whole Foods Market, Protein Chewy Bites Coconut Macadamia, 1.58 Ounce",B086HNVLPL,False,False,3.7,203.0
24,"365 by Whole Foods Market, Vanilla Frosting Mix, 8.2 Ounce",B07NRQSJ4K,True,False,4.3,764.0
25,"Amazon Brand - Happy Belly Clear Vanilla Flavor Extract, 2 fl oz",B08CYBP25X,True,False,4.6,905.0
26,"365 by Whole Foods Market, Coffee Dark Java French Roast Pods 12 Count, 4.6 Ounce",B074H73HY9,True,False,4.3,1343.0
27,"365 by Whole Foods Market, Organic Chocolate Chip Cookies, 12 Ounce",B074H54M9Z,True,False,4.3,6588.0
28,"Amazon Brand - 100 Ct. Solimo Light Roast Coffee Pods, French Vanilla Flavored & 100 Ct. Solimo Decaf Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers",B08FRRS4TD,True,False,5.0,2.0
29,Whole Foods Market Brown butter Chocolate Chunk Cookie Dough 4 Count,B086H5NJZ9,True,False,4.5,237.0
30,"365 by Whole Foods Market, Organic Vanilla ExtraCount, 2 Fl Oz",B074VBL8R9,True,False,4.7,3030.0
31,"Amazon Brand - Happy Belly Chocolate Chip Cookie Dough Ice Cream, 48 Fl Oz (Frozen)",B08JNYQ78J,True,False,,
32,"365 by Whole Foods Market, Organic Vanilla ExtraCount, 4 Fl Oz",B074VBLL9L,True,False,4.8,1913.0
33,"365 by Whole Foods Market, Coffee Hometown Blend Whole Bean, 24 Ounce",B074H6ZXPS,True,False,4.4,1477.0
34,"365 by Whole Foods Market, Mini Marshmallows, 10 Ounce",B07D6T11PG,True,False,4.7,3394.0
35,"365 by Whole Foods Market, Chocolate Frosting Mix, 8.2 Ounce",B07NRG9VNT,True,False,4.5,772.0
36,"365 by Whole Foods Market, Organic Buttermilk Pancake & Waffle Mix, 32 Ounce",B074H6R5CH,True,False,4.4,1818.0
37,"365 by Whole Foods Market, Gluten Free Yellow Cake Mix, 16 Ounce",B07NRLSW1S,True,False,4.4,591.0
38,"365 by Whole Foods Market, Organic Granola Fruit And Nut, 17 Ounce",B074H6QSKR,True,False,4.7,6550.0
39,"365 by Whole Foods Market, Organic Grade A Amber Maple Syrup, 12 Fl Oz",B074H5LYTN,True,False,4.7,2417.0
40,"Amazon Brand - 100 Ct. Solimo Light Roast Coffee Pods, Breakfast Blend, Compatible & 100 Ct. Solimo Light Roast Coffee Pods, French Vanilla Flavored, Compatible with Keurig 2.0 K-Cup Brewers",B08FRSNWTF,True,False,4.7,5.0
41,"365 by Whole Foods Market, Ice Cream Sandwiches Organic 6 Count, 21.9 Fl Oz",B074H61R9C,True,False,4.6,18094.0
