rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Vaseline Intensive Care Cocoa Radiant For Glowing Skin 3 Count Body Gel Oil Body Oil Made with 100% Pure Cocoa Butter + Replenishing Oils 6.8oz,B09F5L7756,False,True,4.7,2187
1,Vaseline Hypoallergenic Petroleum Jelly Original 1.75 oz (Pack of 4),B01IA9CFBE,False,False,4.7,1363
2,"Vaseline Petroleum Original Healing Jelly Skin Protectant, 3.75 Oz (2 Pack)",B01IA95JHQ,False,False,4.7,4004
3,"Vaseline Blue Seal Series (Variety 4 Pack)Cocoa Butter, Vitamin E, Aloe fresh, Original",B07BB6N44G,False,False,4.6,7934
4,Vaseline Petroleum Jelly Original 3 Count Provides Dry Skin Relief And Protects Minor Cuts Dermatologist Recommended And Locks In Moisture 13oz,B001ECQ4L2,False,False,4.8,12643
5,"Vaseline Unscented Petroleum Jelly Balm 50ml - Pack of 2, Hypoallergenic, for All Skin Types",B01M1V84CY,False,False,4.6,3323
6,Vaseline Cleansing 1 Blueseal Pure Petroleum Jelly Original 100ml,B019MXNCFU,False,False,4.7,9620
7,Vaseline Petroleum Jelly Blue Seal With Cocoa Butter (100ml),B0756HP1D6,False,False,4.7,11377
8,vaseline Aloe Fresh(100 ml),8750255401,False,False,4.6,884
9,"Vaseline Pure Petroleum Jelly, Original 16.23 Oz - 480 ml",B07MD6HJT4,False,False,4.7,3529
10,"Vaseline Pure Ultra White Petroleum Jelly, Kendall, 3-Pack, 3.25 oz. Each",B074JGJDMY,False,False,4.8,2895
11,"5 Pack Medical Grade Vaseline Pure Ultra White Petroleum Jelly, 3.25 oz (97.5 mL) Tubes ONLY by Kendall/Covidien",B017FC0ZNM,False,False,4.8,3612
12,Vaseline Gentle Petroleum Jelly Blue Seal Baby (100ml),B074XCTKKR,False,False,4.6,1831
13,"Vaseline Pure Ultra White Petroleum Jelly Ointment, Kendall, 2-pack, 3.25 oz. each",B00BM1137A,False,False,4.7,1943
14,Vaseline Petroleum Jelly Baby Skincare Protective & Pure 4 Count Treats Dry Skin And Prevents Chaffed Skin From Diaper Rash Hypoallergenic And Gentle On Skin 13oz,B00J4EBNSG,False,False,4.8,5766
15,Vaseline BlueSeal Nourishing Skin Jelly 1.7oz (50ml) Jar with Vitamin E (Pack of 6),B008MZJEPW,False,False,4.7,188
16,Vaseline Intensive Care Body Lotion Advanced Repair Unscented 4 ct for Dry Skin with Ultra-Hydrating Lipids and Vaseline Jelly 20.3 oz,B0BXZ49V8S,False,True,4.7,2572
17,"Vaseline Intensive Care Body Lotion Nourishing Moisture 4 Count for Dry Skin, with Ultra-Hydrating Lipids + Pure Oat Extract 20.3 oz",B0BXYZRLS9,False,True,4.8,4494
18,Vaseline Intensive Care Calm Healing Body Lotion 4 ct for Dry Skin with Ultra-Hydrating Lipids and Lavender Extract to Heal and Restore 20.3 oz,B0BXZ49J99,False,True,4.8,354
19,Vaseline Intensive Care Body Lotion Aloe Soothing Hydration 4 Ct for Dry Skin with Ultra-Hydrating Lipids + 1% Aloe Vera Extract 20.3 oz,B0BXYTWW8W,False,True,4.7,3563
20,"Vaseline Lip Therapy 0.25 Oz / 7g 3 Pack Bundle - Original, Rosy Lips &amp; Cocoa Butter",B07K7VKBX5,False,False,4.7,6915
21,Vaseline BlueSeal Pure Petroleum Jelly 1.7oz (50ml) Jar (Pack of 6),B008BOPS6S,False,False,4.8,459
22,"Lip Therapy Rosy Lips 0.25 oz, Pack of 1",B01IAELKZ6,False,False,4.7,10660
23,Vaseline Intensive Care Cocoa Radiant For Glowing Skin 3 Count Body Gel Oil Body Oil Made with 100% Pure Cocoa Butter + Replenishing Oils 6.8oz,B09F5L7756,False,False,4.7,2187
24,Vaseline Intensive Care Body Lotion Sensitive Skin Relief 4 Ct For Dry Skin With Colloidal Oatmeal and Ultra-Hydrating Lipids 20.3 oz,B0BXZCH9S2,False,True,4.7,57
25,Vaseline Petroleum Jelly Baby Skincare Protective & Pure 4 Count Treats Dry Skin And Prevents Chaffed Skin From Diaper Rash Hypoallergenic And Gentle On Skin 13oz,B00J4EBNSG,False,True,4.8,5766
26,"Vaseline Intensive Care Body Lotion for Dry Skin Cocoa Radiant Lotion Made with Ultra-Hydrating Lipids and Pure Cocoa Butter for a Long-Lasting, Radiant Glow 20.3 oz, Pack of 3",B01HTJTV4U,False,True,4.8,10102
27,"Vaseline Lotion for Dry Skin - Men Extra Strength Lotion, Fast-Absorbing Body Lotion Jelly and Ultra-Hydrating Lipids, 3-in-1 Body, Face, & Hands, 10 Oz Ea (Pack of 2)",B0C4Q8DZNW,False,True,4.6,23
28,"Vaseline Petroleum Jelly, Cocoa Butter, 7.5 Ounce [With Bonus 1.7 Ounce] (Pack of 2)",B016YPFW16,False,False,4.8,1768
29,"Vaseline Radiant X Deep Nourishment Body Cream 100% Pure Shea Butter, Coconut Oil, Vitamin C, & Peptides, 10 OZ",B0CFC4ZTQJ,False,False,4.4,20
30,Vaseline hand and body lotion Intensive Care Moisturizer for Dry Skin Essential Healing Clinically Proven to Moisturize Deeply With One Application 20.3 oz 3 count,B01HTJTS52,False,False,4.8,4494
31,Vaseline Petroleum Jelly Travel Size Pure BlueSeal Original 1.7oz (50ml) (3 Pack),B0090W5GLM,False,False,4.7,1192
32,Vaseline Intensive Care Spray Moisturizer For Dry Skin Cocoa Radiant Made With 100% Pure Cocoa Butter 6.5oz (Pack of 6),B00EZWS3HG,False,True,4.8,3020
33,"Cetaphil Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy",B099N1LC4R,False,True,4.8,10649
34,"Vaseline Intensive Care Body Lotion for Dry Skin Advanced Repair Unscented Lotion Made with Ultra-Hydrating Lipids and Vaseline Jelly That Repairs Extremely Dry Skin 20.3 oz, Pack of 3",B01HTJTV40,False,True,4.7,4242
35,"Vaseline 100% Pure Petroleum Jelly, 3.75 Ounce (Pack of 3)",B00IO135FY,False,False,4.6,238
36,Vaseline Body Balm Stick Anti-Friction For Dry Skin Unscented Targeted Healing for Hard-to-Reach Spots 1.4 oz 3 Count,B084PJZ1TM,False,False,4.7,2492
37,"Vaseline Lip Therapy, Advance Formula",B00J7G1OBW,False,False,4.7,281
38,"Vaseline Rich Moisturizing Cocoa Butter Healing Jelly, Dermatologist Tested, Nourishing Cocoa Butter, Moisturizes and Relieves Dull, Dry Skin, Soothing & Gentle, 13 oz and 7.5 oz, Pack of 2",B09KNTB9DN,False,False,4.8,421
39,"Vaseline Lip Therapy Stick, Rosy Lips and Cocoa Butter Variety Pack | Petroleum Jelly Vaseline Lip Balm | 4.8g each (4 Pack)",B09G998GMR,False,False,4.5,831
40,"Vaseline Intensive Care Body Lotion for Dry Skin Soothing Hydration Lotion Made with Ultra-Hydrating Lipids + 1% Aloe Vera Extract to Refresh Dehydrated Skin 20.3 oz, Pack of 3",B01HTJTV0E,False,False,4.7,3563
41,"Vaseline Petroleum Jelly, Cocoa Butter, 7.5 Ounce (Pack of 2)",B00E8YLZXK,False,False,4.8,1006
42,"Amazon Basics Petroleum Jelly White Petrolatum Skin Protectant, Unscented, 3.75 Ounce, 1-Pack (Previously Solimo)",B09HHBYQXY,True,False,4.6,4249
43,"MED PRIDE Pure White Petroleum Jelly Tub 8 OZ - Effective Skin Protectant For Dry Skin, Rashes, Minor Burns & Wounds- Powerful Moisturizer For Chapped Lips, Dry Hands, Chaffed Skin & Diaper Rash",B0B46X5D9J,False,False,4.7,1305
44,"Vaseline Lip Therapy Care Original, Fast-Acting Nourishment, Ideal for Chapped, Dry, Cracked, or Damaged Lips, Lip Balm, 4-Pack, 0.16 Oz Each",B0C1TFHMCT,False,False,4.8,72
45,Vaseline Blueseal Gentle Protective Jelly 250ml - Baby,B00P021K2K,False,False,4.6,1267
46,"Set of Six Vaseline Baby Gentle Protective Petroleum Jelly- Travel Size, 1.7 Oz, 6 Count (Pack of 1)",B00HEZI5RY,False,False,4.7,1478
47,Vaseline Intensive Care Cocoa Radiant Smoothing Body Butter with Pure Cocoa Butter NET WT. 8 OZ/227g,B07D3L12WR,False,False,4.6,103
48,"Vaseline Petroleum Jelly, Dermatologist Recommended, Original, 100% White Petrolatum, Deep Moisturizer, Relieves Dull, Dry Skin, Soothing & Gentle, 13 oz and 7.5 oz, Pack of 2",B09KNRGPJB,False,False,4.7,4755
49,"Vaseline Men's Fresh Blue Seal Petroleum Jelly, 250ml - Paraben-Free Dry Skin Whole Body Moisturizer",B07ZS114JS,False,False,4.5,171
50,"VASELINE Lip Therapy Advanced Healing Formula, 0.35 Oz (6 Pack)",B01LZYUD7J,False,False,4.7,2254
51,"Vaseline Lip Therapy Advanced Petroleum Jelly, Skin Protectant, Travel Size .35 Oz, Pack of 12",B00WSV348E,False,False,4.7,768
52,"Kendall Vaseline Covidien 8884430300 Pure Ultra White Petroleum Jelly Kendall oz 3pack, 3.25 Ounce",B0090BCWQU,False,False,4.7,1339
53,Vaseline Intensive Care Body Cream Deep Moisture 4 pk with Healing Petroleum Jelly & Vitamin E Rich & Smooth for Dry Skin 9 oz,B0BYP7G3CP,False,False,4.7,49
54,"Vaseline Eczema Calming Hand & Body Cream Lotion for Dry Skin - Unscented Clinical Care Cream Body Lotion with Colloidal Oatmeal Skin Protectant, Pro-Lipids Jelly, 6.8 Oz Ea (Pack of 2)",B0C4QBBH97,False,False,4.8,30
55,"Vaseline Intensive Care Body Lotion Cocoa Radiant 4 ct for Dry Skin with Ultra-Hydrating Lipids and Pure Cocoa Butter for a Long-Lasting, Radiant Glow 20.3 oz",B0BYFR5TWV,False,False,4.8,50
56,Vaseline Lip Therapy Advanced Formula 0.35 oz (Pack of 12),B0087W3S4S,False,False,4.7,46
57,Vaseline Petroleum Jelly Original 1.75 oz (Pack of 6),B008C8XL5I,False,False,4.7,1726
58,Vaseline Gold dust Lip Tin,B081J12LBL,False,False,4.3,195
59,"Aquaphor Healing Ointment, Advanced Therapy Skin Protectant, Dry Skin Body Moisturizer, Multi-Purpose Healing Ointment, For Dry, Cracked Skin & Minor Cuts & Burns, 14 Oz Jar",B006IB5T4W,False,False,4.8,102994
