rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Vegetable Chopper,Senbowe Multifunctional 13-in-1 Food Choppers Onion Chopper Vegetable Slicer Cutter Dicer Veggie chopper with 8 Blades,Colander Basket,Container for Salad Potato Carrot Garlic",B08YRM8CPM,False,True,4.4,8723
1,"Vegetable Chopper with Container, Cheese Grater Dicer Mandoline Slicer Cabbage Shredder French Fry Cutter Stainless Steel for Veggie Onion Potato Fruit Food, Manual Hand Cooking Gadget for Kitchen",B0BQCSGC64,False,True,4.5,222
2,"Fullstar All-in-1 Vegetable Chopper, Mandoline Slicer & Cheese Grater | Multi Blade French Fry Cutter & Veggie Dicer | Includes Bonus Handheld Spiralizer & Kitchen Gadgets (5 in 1, Black/White)",B07VG4S38C,False,True,4.6,22497
3,"Vegetable Chopper, Onion Chopper, Mandolin Slicer,Pro 10 in 1professional food Choppermultifunctional Vegetable Chopper and Slicer, Dicing Machine, AdjustableVegetable Cutter With Container(grey)",B08Y8DYT6P,False,True,4.3,9900
4,"Vegetable Chopper, Pro Onion Chopper, Multifunctional 13 in 1 Food Chopper, Kitchen Vegetable Slicer Dicer Cutter,Veggie Chopper With 8 Blades,Carrot and Garlic Chopper With Container",B09YH5CPQP,False,False,4.3,13164
5,"Fullstar Vegetable Chopper - Spiralizer Vegetable Slicer - Onion Chopper with Container - Pro Food Chopper - Slicer Dicer Cutter - (4 in 1, White)",B0764HS4SL,False,False,4.6,91141
6,"Bartnelli Vegetable Chopper Food Slicer Pro | 15 Pc MultiFuctional Kitchen Gadgets for Onion, Veggie, Cheese Grater, Vegetables Cutter With Large Container, Easy to Clean, With Bonus Brush and Fork",B0BF3MF7QG,False,False,4.4,718
7,"Mueller Pro-Series 10-in-1, 8 Blade Vegetable Chopper, Onion Mincer, Cutter, Dicer, Egg Slicer with Container",B08N9Q24M9,False,False,4.5,31801
8,"Vegetable Chopper, Veggie Chopper - Chopper Vegetable Cutter, Food Chopper & Onion Chopper - Veggie Chopper With Container, Vegetable Chopper With Container, Onion Chopper Dicers, Choppers",B0BNJ7FCJM,False,False,4.5,1037
9,"Vegetable Chopper,Food Chopper,Pro 12 in1 Multifunctional Onion Chopper,Veggie Chopper,Vegetable Chopper With Container,Vegetable Slicer Dicer Cutter,Mandoline Slicer,Salad,Garlic Chopper (12 in1)",B0CB7QR48D,False,False,4.4,968
10,"Vegetable Chopper,Senbowe Multifunctional 13-in-1 Food Choppers Onion Chopper Vegetable Slicer Cutter Dicer Veggie chopper with 8 Blades,Colander Basket,Container for Salad Potato Carrot Garlic",B08YRM8CPM,False,False,4.4,8723
11,"PrepNaturals 9-in-1 Vegetable Chopper & Mandoline Slicer for Kitchen - Stainless Steel Veggie Chopper, Food Chopper, Onion Chopper Dicer With Container - Black",B0BLGVCZCH,False,False,4.5,1008
12,"Vegetable Chopper, Pro Onion Chopper, 14 in 1Multifunctional Food Chopper, Kitchen Vegetable Slicer Dicer Cutter,Veggie Chopper With 8 Blades,Carrot Chopper With Container (Grey)",B0B41NL1JC,False,False,4.3,4640
13,"Fullstar All-in-1 Vegetable Chopper, Mandoline Slicer & Cheese Grater | Multi Blade French Fry Cutter & Veggie Dicer | Includes Bonus Handheld Spiralizer & Kitchen Gadgets (5 in 1, Black/White)",B07VG4S38C,False,False,4.6,22497
14,"Vegetable Chopper, Onion Chopper, Mandolin Slicer,Pro 10 in 1professional food Choppermultifunctional Vegetable Chopper and Slicer, Dicing Machine, AdjustableVegetable Cutter With Container(grey)",B08Y8DYT6P,False,False,4.3,9900
15,"Professional All-in-1 Vegetable Chopper, Veggie Chopper, Mandoline Food Slicer, Veggie Chopper With Container, Food Chopper, Onion Chopper, Vegetable Slicer, Egg slicer, Kitchen Chopper Dicer Cutter",B0CDP6V224,False,False,4.8,23
