rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 by Whole Foods Market, Vitamin B12 500MCG, 100 Lozanges",B074KKMWQN,True,False,4.7,290
1,"Amazon Basics Vitamin B12 3000 mcg Gummies, Normal Energy Production and Metabolism, Immune System Support, Raspberry, 100 Count (2 per serving) (Previously Solimo)",B07BBFK9QZ,True,False,4.6,13054
2,"Amazon Elements Vitamin B12 Methylcobalamin 5000 mcg - Normal Energy Production and Metabolism, Immune System Support - 2 Month Supply, Berry Flavored Lozenges, 65 Count",B075DC51YC,True,False,4.6,7997
3,"Amazon Basics Vitamin B12 500 mcg Gummies - Normal Energy Production and Metabolism, Immune System Support, Raspberry, 100 Count (2 per Serving) (Previously Solimo)",B07GP23RBC,True,False,4.6,4596
4,"365 Everyday Value, Vitamin B12 500mcg Lozenges, Cherry Flavor, 50 ct",B074MHHQHH,True,False,4.7,87
5,"365 by Whole Foods Market, Vitamin B12 500MCG, 50 Lozanges",B074J9RKY1,True,False,4.5,709
6,"Whole Foods Market, Methyl B-12 Lozenges 5000mcg, Cherry Flavor, 60 ct",B074H6R3TW,True,False,4.6,49
7,"Whole Foods Market, Methyl B-12 Lozenges 1000mcg, Cherry Flavor, 60 ct",B074H7L7C3,True,False,4.6,44
8,"365 Everyday Value, Vitamin B12 500mcg Lozenges, 100 ct",B077PBM4R3,True,False,4.4,77
9,"Amazon Elements Vitamin B12 Methylcobalamin 5000mcg, 65 Berry Flavored Lozenges, 2 Month Supply & Biotin 5000 mcg, Vegan, 130 Capsules (4 Month Supply)",B083VB2NB7,True,False,4.7,178
10,"Amazon Brand - Solimo Vitamin B12 3000 mcg, 100 Gummies (2 Gummies per Serving) & Vitamin D3 2000 IU, 160 Gummies (2 Gummies per Serving)",B07Z6NZB91,True,False,4.4,101
11,"Amazon Elements Vitamin B12 Methylcobalamin 5000mcg, 65 Berry Flavored Lozenges, 2 Month Supply & Iron 18mg, Vegan, 195 Capsules, 6 Month Supply",B083VBFQN4,True,False,4.5,65
12,"Amazon Elements Vitamin B12 Methylcobalamin 5000mcg, 65 Berry Flavored Lozenges, 2 Month Supply & Vitamin D3, 5000 IU, 180 Softgels, 6 Month Supply",B083VB167Y,True,False,4.6,191
13,"Amazon Brand - Solimo Vitamin B12 3000 mcg, 100 Gummies, 2 Gummies per Serving (Pack of 2) & Solimo Adult Multivitamin, 300 Gummies, 75-Day Supply (Pack of 2)",B083V9R1GF,True,False,3.9,9
14,"Amazon Brand - Solimo Vitamin B12 3000 mcg, 100 Gummies & Solimo Vitamin C 250mg, 200 Count (Pack of 2)",B083VBFLC5,True,False,4.5,42
15,"Amazon Brand - Solimo Vitamin B12 3000 mcg, 100 Gummies, 2 Gummies per Serving (Pack of 2) & Solimo Vitamin D3 2000 IU, 160 Gummies (2 Gummies per Serving)",B083V9HTFJ,True,False,4.6,28
