rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Elements Vitamin C 1000mg, Supports Healthy Immune System, Vegan, 300 Tablets, 10 month supply",B07122C9VC,True,False,4.7,20964
1,"365 by Whole Foods Market, Vitamin C 1000Mg, 250 Tablets",B074H64BNB,True,False,4.7,2592
2,"Amazon Elements Glutathione, 500mg, 60 Capsules, 2 Month Supply & Vitamin C 1000mg, Vegan, 300 Tablets, 10 Month Supply",B083VB2NSM,True,False,4.6,66
3,"365 by Whole Foods Market, Vitamin C Chewable 500Mg, 100 Tablets",B074H5ZKCV,True,False,4.5,1345
4,"Amazon Basics Vitamin C 250 mg Gummies, Orange, 300 Count (2 Packs of 150), 2 per Serving (Previously Solimo)",B07BZL9748,True,False,4.7,19124
5,"365 by Whole Foods Market, Vitamin C High Potency with Rosehips, 100 Tablets",B074H5BVF7,True,False,4.7,687
6,"365 by Whole Foods Market, Vitamin C High Potency Powder, 8 Ounce",B074H6R63W,True,False,4.6,739
7,"365 by Whole Foods Market, Vitamin C Complex High Potency, 50 Tablets",B074H6R6DQ,True,False,4.6,745
8,"365 by Whole Foods Market, Vitamin C Complex Buffered, 60 Veg Capsules",B074H64BVT,True,False,4.6,354
9,"Amazon Basic Care Vitamin C Supplement Drops, Lemon, Orange & Grapefruit, 140 Count (Previously SoundHealth)",B09KC7GWCD,True,False,4.7,2188
10,"365 by Whole Foods Market, Vitamin C Complex Buffered, 180 Veg Capsules",B074KHWVG9,True,False,4.6,196
11,"365 by Whole Foods Market, Vitamin C 500Mg, 250 Tablets",B074H6X6PJ,True,False,4.7,310
12,"Amazon Elements Lysine Complex with Vitamin C (1500 mg L-Lysine with 100 mg Vitamin C per Serving - 3 Tablets), Supports Immune Health, Vegetarian, 195 Count (Packaging may vary)",B075DKYD8R,True,False,4.6,3819
13,"Amazon Brand - Mama Bear Vegan Kids Vitamin C, Orange, 60 Count, Immune Health, 125 mg per Gummy",B07C2CWV4T,True,False,4.7,3664
14,"365 by Whole Foods Market, Vitamin C High Potency with Rosehips, 250 Tablets",B074KLCGCF,True,False,4.8,168
15,"Amazon Basics Kids' Vitamin C 125mg Gummies, Orange, 60 Count, Immune Health, 2 Month Supply (Previously Solimo)",B07GPFB6F5,True,False,4.7,4642
16,"365 by Whole Foods Market, Vitamin C Plus Acerola C 500Mg, 90 Tablets",B074H6R3P8,True,False,4.4,501
17,"Amazon Elements Whole Food Vitamin C, 60 capsules",B08TNQ2DPC,True,False,4.2,72
18,"365 Everyday Value, High Potency Vitamin C Powder, 8 oz",B074MHLXPP,True,False,4.2,28
19,"365 by Whole Foods Market, Citrus Vitamin C Gummies, 150 Count",B074H6KVMN,True,False,4.7,1048
20,"365 Everyday Value, Buffered Vitamin C Complex, 180 ct",B07845PB5V,True,False,5.0,2
21,"365 by Whole Foods Market, Vitamin C Effervescent Drink Mix Orange, 0.31 Ounce, 30 Pack",B00H37G2A0,True,False,4.6,512
22,"Amazon Elements Lysine Complex with Vitamin C, 1500 mg L-Lysine with 100 mg Vitamin C per Serving (3 Tablets), Vegetarian, 195 Tablets & Biotin 5000 mcg, Vegan, 130 Capsules (4 Month Supply)",B083VB3RB1,True,False,4.3,49
