rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Vibriance Super C Serum for Mature Skin Made in the USA, All-In-One Formula Hydrates, Firms, Lifts, Targets Age Spots, Wrinkles, & Smooths Skin, The Original Super C Serum - 1 fl oz (30 ml), Pack of 1",B08L8B5JR2,False,True,4.3,6516.0
1,"Medik8 C-Tetra - Brightening, Balancing, Plumping Daily Vitamin C Serum - Firming Treatment for Radiance and Smooth Skin Texture - Fine Line and Wrinkle Reducing Formula with Squalane - 1.0 oz",B002KKZQ84,False,True,4.6,217.0
2,"COSRX Pure Vitamin C 23% Serum with Vitamin E & Hyaluronic Acid, Brightening & Hydrating Facial Serum for Dark Spots, Fine Lines, Uneven Skin Tone, 0.67fl.oz/20ml, Animal Testing-Free, Korean Skincare",B09ZY8T55Y,False,True,4.3,1632.0
3,"Versed Sunday Morning Antioxidant Oil Face Serum - Nourishing Facial Oil with Camellia Oil, Sea Buckthorn Extract and Vitamin E to Help Hydrate and & Strengthen Skin Barrier - Vegan (1 fl oz)",B09NMMXQDF,False,True,4.4,223.0
4,CeraVe Vitamin C Serum with Hyaluronic Acid | Skin Brightening Serum for Face with 10% Pure Vitamin C | Fragrance Free | 1 Fl. Oz,B07PNCCLD2,False,False,4.5,36801.0
5,"Vitamin C Face Serum - Hyaluronic Acid, Ferulic Acid, & Vit E - Anti Aging Facial Brightening Serum for Skin Care - Timeless Pure Vitamin C Serum for Face, Vit C Serum Oil",B07P5TMHD9,False,False,4.3,23205.0
6,"Naturium Vitamin C Complex Face Serum, Brightening & Anti-Aging Facial Treatment with Hyaluronic Acid & Vitamin E, 1 oz",B07Y469VXX,False,False,4.6,5338.0
7,"Eva Naturals Vitamin C Serum for Face Plus Hyaluronic Acid, Retinol, Niacinamide & Salicylic Acid, Anti Aging Serum, Reduce Fine Lines, Wrinkles & Dark Spots, Brightening Skin Serum for Glowing Skin (1 oz)",B01BT02Q88,False,False,4.3,54574.0
8,"TruSkin Vitamin C Serum for Face – Anti Aging Face Serum with Vitamin C, Hyaluronic Acid, Vitamin E – Brightening Serum for Dark Spots, Even Skin Tone, Eye Area, Fine Lines & Wrinkles, 2 Fl Oz",B01EKUBU5Y,False,False,4.3,138711.0
9,"Vitamin C Face Serum - CE Ferulic Facial Serum with 15% Pure L-Ascorbic Acid, Ferulic Acid, Vitamin E, & Hyaluronic Acid - Anti Aging, Anti Wrinkle Skin Brightening Serum, Dark Spot Corrector, 30ml/1oz.",B0BVRP97DV,False,False,4.8,447.0
