rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Mama Bear Organic Kids Vitamin D3 25 mcg (1000 IU) Gummies per serving, Bone and Immune Health, Strawberry, 80 Count",B07NW4X9PV,True,False,4.7,4882
1,"365 by Whole Foods Market, Organic Vitamin D3 Gummy, 160 Count",B08QR663F4,True,False,4.7,52
2,"Amazon Elements Vitamin D2 2000 IU, Vegan, 65 Capsules, Supports Strong Bones and Immune Health, 2 month supply (Packaging may vary)",B01L081FN6,True,False,4.6,3103
3,"Amazon Elements Organic Whole Food Vitamin D3, 60 tablets",B08TNSC7KS,True,False,4.6,122
4,"365 Everyday Value, Vitamin D3 1000 IU, Capsule, 250 ct",B078465XC2,True,False,4.5,91
5,"365 by Whole Foods Market, Vitamin A & D 400 IU, 100 Count",B074H6X782,True,False,4.7,93
6,"Amazon Brand - Mama Bear Kids Vitamin D3, 25 mcg (1000 IU) per Serving, 80 Gummies & Vitamin C, 125 mg Vitamin C per Serving, 60 Gummies (Shipped Separately)",B0BCF6TYKF,True,False,4.2,5
7,"365 Everyday Value, Vitamin A with D3, 100 ct",B074MH3FD9,True,False,4.0,36
8,"Amazon Elements Vitamin D3, 5000 IU, 180 Softgels, 6 month supply (Packaging may vary), Supports Strong Bones and Immune Health",B07BFRVP95,True,False,4.8,17355
9,"Amazon Basics Vitamin D3 2000 IU Gummies, Orange, Lemon & Strawberry, 160 Count (2 per Serving) (Previously Solimo)",B07BBNNHRX,True,False,4.7,16781
10,"365 by Whole Foods Market, Vitamin D3 2000 IU, 250 Softgels",B074KL48W6,True,False,4.7,929
11,"365 by Whole Foods Market, Vitamin D3 5000 IU, 120 Softgels, Package May Vary",B074H73GP4,True,False,4.7,5998
12,"Amazon Elements Vitamin D3, 2000 IU, 180 Softgels, 6 month supply (Packaging may vary), Supports Strong Bones and Immune Health",B07BFRQDXF,True,False,4.7,2382
13,"365 by Whole Foods Market, Vitamin D3 2000 IU, 100 Softgels",B074H51HTN,True,False,4.3,7566
14,"365 Everyday Value, Vitamin D3 5000 IU, 120 ct",B074MFRM33,True,False,4.7,622
15,"Amazon Elements Vitamin K2 100 mcg, Vegan, 65 Capsules, 2 Month Supply & Vitamin D3, 5000 IU, 180 Softgels, 6 Month Supply",B083V9X9WZ,True,False,4.8,13
16,"Amazon Brand - Solimo Vitamin C 250mg, 150 Gummies, 2 Gummies per Serving (Pack of 2) & Solimo Vitamin D3 2000 IU, 160 Gummies (2 Gummies per Serving)",B083VB8M44,True,False,4.5,52
