rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 by Whole Foods Market, Water Spring Sport Cap, 25.3 Fl Oz, 24 Pack",B07JM2NK69,False,False,4.6,164.0
1,"365 by Whole Foods Market, Spring Water Multi Pack 24 Pack, 16.9 Fl Oz",B074XVZLN8,True,False,4.6,15921.0
2,"365 by Whole Foods Market, Gallon Spring Water, 128 Fl Oz",B074H5HM8L,True,False,4.7,19333.0
3,"365 by Whole Foods Market, Alkaline & Electrolyte Water, 6 Pack",B09C1HXJ6P,True,False,4.8,847.0
4,"365 by Whole Foods Market, Water Spring, 9.46 Liter",B074H5CMYZ,True,False,4.6,4568.0
5,"365 by Whole Foods Market, Water Distilled, 128 Fl Oz",B074J5L82H,True,False,4.8,8713.0
6,"Whole Foods Market, Italian Sparkling Mineral Water 6 Pack, 33.8 Fl Oz",B074H7VQX6,True,False,4.8,7066.0
7,"Amazon Brand - Happy Belly Tonic Water, 33.8 Fl Oz",B07W5X9WS5,True,False,4.4,1670.0
8,"Amazon Fresh - Seltzer Water, 67.6 oz",B09RQVS7LS,True,False,4.6,265.0
9,"Amazon Brand - Happy Belly Coconut Water, 11.2 Fl oz (Pack of 24)",B07WYXPPC2,True,False,4.3,2712.0
10,"Whole Foods Market, WFM Water Sparkling Mineral Italian, 33.8 Fl Oz (Pack of 12)",B07NQK4G3J,True,False,4.6,177.0
11,"365 by Whole Foods Market, Spring Water Sport Cap, 25.3 Fl Oz",B074H4SK12,True,False,4.7,664.0
12,"365 by Whole Foods Market, Black Cherry Sparkling Water 12pk, 12 Fl Oz",B07FW2P2G3,True,False,4.6,13487.0
13,"365 by Whole Foods Market, Coconut Water, 17.6 Fl Oz, 12 Pack",B074H6R3BS,True,False,4.6,60.0
14,"365 by Whole Foods Market, Organic Coconut Water, 33.8 Fl Oz",B073Q94MGL,True,False,4.7,18224.0
15,"365 by Whole Foods Market, Coconut Water, 33.8 Fl Oz",B074H7VQQ6,True,False,4.7,26322.0
16,"365 by Whole Foods Market, Plain Sparkling Water, 12 Fl Oz",B074Y6TRTV,True,False,4.8,3003.0
17,"365 by Whole Foods Market, Mineral Spring Water, 16 Fl Oz",B09C1HTSCH,True,False,4.6,89.0
18,"365 by Whole Foods Market, Coconut Water, 17.6 Fl Oz",B074H4SHH4,True,False,4.5,988.0
19,"Whole Foods Market, Organic Strawberry Sparkling Water, 33.8 Fl Oz",B074H77YBF,True,False,4.7,2037.0
20,"Whole Foods Market, Organic Citrus Sparkling Water, 33.8 Fl Oz",B074H65ZHY,True,False,4.7,4655.0
21,"Amazon Fresh - Diet Tonic Water, 33.8 oz",B09RQWGD5X,True,False,4.5,125.0
22,"365 by Whole Foods Market, Coconut Water Organic, 32 Fl Oz",B08CW7VCGR,False,False,4.8,506.0
23,"Whole Foods Market, Nutrient Enhanced Water Beverage, Pink Lemonade + B Vitamins, 20 fl oz",B074H6KVCR,True,False,4.3,938.0
24,"Whole Foods Market, Nutrient Enhanced Water Beverage, Zero Calorie Fruit Punch + Potassium, 20 fl oz",B074H6ZY4W,True,False,4.1,1184.0
25,"Whole Foods Market, Italian Still Mineral Water, 33.8 Fl Oz",B074H4SHWN,True,False,4.6,1043.0
26,"Whole Foods Market, Nutrient Enhanced Water Beverage, Zero Calorie Lemonade + Vitamin C, 20 fl oz",B074H7LFZD,True,False,4.1,960.0
27,"Amazon Brand - Happy Belly Seltzer Sparkling Water, 33.8 Fl Oz (1L)",B07W95HYLH,True,False,4.6,2080.0
28,"Amazon Brand - Happy Belly Drink Mix Singles, Pink Lemonade, 6 Count(Pack of 1) (Previously Solimo)",B07WPVBZFW,True,False,4.5,2326.0
29,"Amazon Brand - Happy Belly Unfiltered Apple Cider from Concentrate, 64 Ounce",B07WQVJ9BJ,True,False,4.4,2339.0
30,"Whole Foods Market, Nutrient Enhanced Water Beverage, Cranberry + Antioxidants, 20 fl oz",B074H6NP8F,True,False,4.4,894.0
31,"Amazon Brand - Happy Belly Juice Cocktail, Cranberry, 64 Fl Oz Bottle",B07WKLBFH9,True,False,4.7,24085.0
32,"365 by Whole Foods Market, Tonic, 12 Fl Oz",B07NR9STPH,True,False,4.4,1541.0
33,"Whole Foods Market, Organic Orange Hibiscus Italian Soda, 25.4 Fl Oz",B0973TVL9J,True,False,4.6,9882.0
34,"Whole Foods Market 4 Pack Organic Italian Soda, Blood Orange, 11.2 Fluid Ounce (Pack of 4)",B07FWN12RQ,True,False,4.7,2424.0
35,"365 by Whole Foods Market, Sports Drink, Orange, 20 Fl Oz",B07XVYWSV4,True,False,4.3,1084.0
36,"365 by Whole Foods Market, Club Soda, 12 Fl Oz",B07NR8NDDW,True,False,4.6,1223.0
37,"365 by WFM, Coconut Water Case Organic, 33.8 Fl Oz, 12 Pack",B074H81M8K,True,False,4.6,51.0
38,"365 by Whole Foods Market, Sports Drink, Berry, 20 Fl Oz",B07XVZ85CP,True,False,4.4,1042.0
39,"Whole Foods Market, Italian Sparkling Mineral Water, 1 LITER",B074J82Q15,True,False,,
40,"365 by Whole Foods Market, Organic Lime Juice, 10 Fl Oz",B074H8KLVL,True,False,4.6,6540.0
41,"365 by Whole Foods Market, Organic Whole Leaf Aloe Vera Juice, 128 Fl Oz",B074H5LWG2,True,False,4.7,8244.0
42,"Amazon Brand - Happy Belly Cherry Mixed Fruit In Juice, 4 Oz, 4 Count",B07WPSFJKX,True,False,4.5,2666.0
43,"Whole Foods Market, Organic Berry Blend Italian Soda, 25.4 Fl Oz",B0973VQGKH,True,False,3.9,271.0
