rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"TUREWELL Water Flossing Oral Irrigator, 600ML Dental Cleaner 10 Adjustable Pressure, Electric Oral Flosser for Teeth/Braces, 8 Water Jet Tips for Family (White)",B07RRXWRKL,False,True,4.3,15673
1,"Cordless Water Dental Flosser Teeth Cleaner, INSMART Professional 300ML Tank DIY Mode USB Rechargeable Dental Oral Irrigator for Home and Travel, IPX7 Waterproof 4 Modes Irrigate for Oral Care Black",B0862BTDLK,False,True,4.3,14160
2,Cordless Water Dental Flosser for Teeth - 350ML Portable and Rechargeable Oral Irrigator with 5 Modes 6 Replaceable Tips - IPX7 Waterproof Powerful Battery Life Water Dental Picks for Travel Home Use,B09XJSMBCV,False,True,4.5,3481
3,"Nicwell Water Dental Flosser Teeth Pick - 4 Modes Dental Oral Irrigator, Portable & Rechargeable IPX7 Waterproof Personal Orthodontic Supplie Water Teeth Cleaner Picks for Home Travel",B08SM447BQ,False,True,4.4,36077
4,"Waterpik Cordless Water Flosser, Battery Operated & Portable for Travel & Home, ADA Accepted Cordless Express, White WF-02",B07DQSC9B5,False,False,4.3,42703
5,"Waterpik Aquarius Water Flosser Professional For Teeth, Gums, Braces, Dental Care, Electric Power With 10 Settings, 7 Tips For Multiple Users And Needs, ADA Accepted, Blue WP-663",B072JFVXSY,False,False,4.6,127022
6,"Waterpik Cordless Advanced Water Flosser For Teeth, Gums, Braces, Dental Care With Travel Bag and 4 Tips, ADA Accepted, Rechargeable, Portable, and Waterproof, White WP-580",B01GNVF8S8,False,False,4.4,53819
7,"Waterpik Cordless Pearl Rechargeable Portable Water Flosser for Teeth, Gums, Braces Care and Travel with 4 Flossing Tips, ADA Accepted, Charger May Vary, WF-13 White",B09C2QZQFQ,False,False,4.4,11422
8,"Water Dental Flosser Cordless for Teeth - KOOVON Portable Oral Irrigator Rechargeable Water Picks for Teeth Cleaning with Travel Case, 4 Modes & 5 Jet Tips Water Pik IPX7 Waterproof for Home Travel",B07FS7WF3K,False,False,4.3,2402
9,"Waterpik Water Flosser For Teeth, Portable Electric Compact For Travel and Home - Nano Plus, WP-320, White - 1 Count(Pack of 1)",B0831HZCTK,False,False,4.4,5904
10,Water-Flosser-Cordless-Teeth-Cleaner MAKJUNS Water Dental Flosser with 3 Modes 4 Jets Rechargeable IPX7 Waterproof Dental Oral Irrigator for Travel Home Braces(Luxury White),B0C77T9CHL,False,True,4.2,3634
11,AquaSonic Home Dental Center PRO – Brushing & Flossing Made Easy – Brush & Floss – Power Toothbrush & Water Flosser – Whiter Teeth & Healthier Gums – Black Series Pro+Oral Irrigator – ADA Approved,B09N52421L,False,True,4.2,2126
