rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"NexiGo N60 1080P Webcam with Microphone, Adjustable FOV, Zoom, Software Control & Privacy Cover, USB HD Computer Web Camera, Plug and Play, for Zoom/Skype/Teams, Conferencing and Video Calling",B088TSR6YJ,False,True,4.4,35376.0
1,"1080P Webcam with Microphone, eMeet C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",B07M6Y7355,False,True,4.3,19779.0
2,"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black",B085TFF7M1,False,False,4.6,17339.0
3,"Logitech C270 HD Webcam, 720p, Widescreen HD Video Calling,Light Correction, Noise-Reducing Mic, For Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/Macbook/Tablet - Black",B004FHO5Y6,False,False,4.4,18892.0
4,"NexiGo N60 1080P Webcam with Microphone, Adjustable FOV, Zoom, Software Control & Privacy Cover, USB HD Computer Web Camera, Plug and Play, for Zoom/Skype/Teams, Conferencing and Video Calling",B088TSR6YJ,False,False,4.4,35376.0
5,"1080P Webcam - eMeet 2022 Model C950 Webcam with Microphone, Innovative Electronic Webcam Mode, Ultra Compact Web Cam with 70°Wide Angle for Meeting/Online Classes/Gaming, Zoom/Teams/YouTube",B09KCJ36FS,False,False,4.3,3997.0
6,"Anker PowerConf C200 2K Webcam for PC, Webcam for Laptop, Computer Camera, with AI-Noise Canceling Microphones, Stereo Mics, Adjustable Field of View, Low-Light Correction, Built-in Privacy Cover",B09MFMTMPD,False,True,4.5,3192.0
7,"Hemisol 4K Webcam, Web Camera with Microphone and Fill Light, HD Autofocus Computer Camera with Privacy Cover and Tripod Stand Streaming Webcam,Plug&Play USB Wbcam for Pc Laptop Desktop Video Calling",B0CGL3YDPH,False,False,4.7,173.0
8,"Logitech C920e HD 1080p Mic-Enabled Webcam, certified for Zoom, Microsoft Teams compatible, TAA Compliant + Litra Glow Premium LED Streaming Light with TrueSoft, adjustable monitor mount",B09DVGV7BH,False,False,4.6,2495.0
9,"1080P Web Camera, 60FPS Webcam with Microphone, Qtniue USB Webcam Desktop or Laptop, Streaming Webcam for Computer Widescreen Video Calling, Conferencing or Recording, USB Computer Camera Built-in Mic",B08835382C,False,False,4.0,5599.0
10,"Full HD Webcam with Built-in Microphone and Rotatable Tripod, 1080P Video and Wide Angle Camera, Privacy Cover, for Desktop PC or Laptop Computer, Great for Calls, Video Conferencing, Live Streaming",B08VJ25PL1,False,False,4.5,1486.0
11,"Cnkaite 4K Webcam, HD Autofocus Webcam with Microphone, Adjustable Light Computer Camera with Privacy Cover and Tripod Stand, Plug and Play USB Webcam for Laptop Desktop Video Calling",B0C6K6ZVQK,False,True,4.3,242.0
12,"1080P Webcam with Microphone, eMeet C960 Web Camera, 2 Mics Streaming Webcam with Privacy Cover, 90°View Computer Camera, Plug&Play USB Webcam for Calls/Conference, Zoom/Skype/YouTube, Laptop/Desktop",B07M6Y7355,False,False,4.3,19779.0
13,Razer Kiyo Streaming Webcam: Full HD 1080p 30 FPS / 720p 60 FPS - Ring Light w/Adjustable Brightness - Built-in Microphone - Autofocus - Works with Zoom/Teams/Skype for Conferencing and Video Calling,B075N1BYWB,False,False,4.4,6552.0
14,"Webcam with Microphone, No Distortion Privacy Cover 1080P USB Camera Plug Play Mic Full Ultra HD Web Camera Video Cam Calling Conferencing Streaming for PC/Desktop/Computer/Mac/Laptop/MacBook",B0C48YPP3R,False,False,4.6,285.0
15,"Anker PowerConf C200 2K Webcam for PC, Webcam for Laptop, Computer Camera, with AI-Noise Canceling Microphones, Stereo Mics, Adjustable Field of View, Low-Light Correction, Built-in Privacy Cover",B09MFMTMPD,False,False,4.5,3192.0
16,"GUSGU G940 [Sony Sensor Inside] FHD 1080p Webcam with Microphone and Privacy Protection, USB Plug&Play Computer Camera, Web Camera for Desktop/PC/Laptop/Mac, Streaming Camera for Video Conferencing",B0BC8NWXPP,False,True,4.5,897.0
17,"Logitech Brio 101 Full HD Webcam Made for Meetings and Works for Streaming — Auto-Light Balance, Built-in Mic, Privacy Shutter, USB-A, for Microsoft Teams, Google Meet, Zoom, and More - Black",B0BXGFFSL1,False,False,4.0,1.0
18,"Hually Webcam with Microphone, Full HD 720p/15fps Video Calling, USB Plug and Play, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/MacBook/Tablet - Black",B0C9MQP3J9,False,False,,
19,"Webcam with Microphone for Desktop, 1080P HD USB Computer Cameras with Privacy Cover&Webcam Tripod, Streaming Webcam with Flexible Rotatable Wide Angle Webcam for PC Zoom Video/Gaming/Laptop/Skype",B09B9RWZMN,False,False,4.4,2328.0
20,"Logitech Brio 4K Webcam, Ultra 4K HD Video Calling, Noise-Canceling mic, HD Auto Light Correction, Wide Field of View, Works with Microsoft Teams, Zoom, Google Voice, PC/Mac/Laptop/Macbook/Tablet",B01N5UOYC4,False,False,4.6,16414.0
21,"CZUR Halo X Pro Dual Webcam for PC, 1080P Web Camera with Microphone, USB Camera for Computer, 90° View, Plug & Play, Compatible with Windows, for Skype/TikTok/YouTube/Yahoo Messenger",B0CDPJT4JG,False,True,4.2,18.0
