rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Adesso CyberTrack H3 Webcam 1.2 Megapixel 30 fps USB 2.0 1280x720 Video CMOS Sensor Manual-Focus Microphone for PC & Laptop, Black",B089NZ2613,False,False,4.2,101.0
1,"Adesso CyberTrack H4 Webcam 1080P HD USB Webcam with Built-in Microphone, Black",B089QRXGKH,False,False,4.2,176.0
2,"Adesso CyberTrack M1 1080P HD H.264 Fixed Focus USB Webcam with 305° Motion Tracking, Built-in Microphone, and Tripod Mount",B09R8X7ZQR,False,False,5.0,2.0
3,Adesso CyberTrack H4 Webcam - 2.1 Megapixel - 30 fps - USB 2.0-1920 x 1080 Video - CMOS Sensor - Manual Focus - Microphone - Computer (Renewed),B08FSXBCYM,False,False,4.2,9.0
4,"Adesso Cybertrack H5 1080p Hd USB Autofocus Webcam with Microphone, 1920 Pixels X 1080 Pixels, 2.1 Mpixels, Black",B08HR8S3D1,False,False,4.1,91.0
5,"Adesso Cybertrack H6 4K Ultra HD USB Webcam with Built-in Dual Microphone & Privacy Shutter Cover, Black",B08D3SVYR8,False,False,3.1,10.0
6,"Adesso CyberTrack H5-TAA 1080P HD Auto Focus Webcam with Built-in Dual Microphone, Tripod Mount and Privacy Shutter Cover TAA Compliant",B093T4LV3J,False,False,3.7,3.0
7,"Adesso Cybertrack Hd 1280X720 Webcam, 1.3 Megapixels, Black/Red (Cybertrackh3-Taa)",B094JQ5KYM,False,False,5.0,2.0
8,Adesso CyberTrack 6S 4K Ultra HD USB Webcam with Manual Focus and Built-in Stereo Microphone,B097B16Y7Q,False,False,2.0,1.0
9,Adesso CyberTrack H2 Webcam 3 Megapixel 30 fps USB 2.0 640x480 Video CMOS Sensor Fixed-Focus Built-in Microphone for PC & Laptop,B088X54T2Q,False,False,4.1,45.0
10,"Adesso CyberTrack K1 1080P Full HD Fixed Focus USB Webcam with Adjustable View Angle Built-in Dual Microphones, Privacy Shutter, Audio/Video Mode Privacy ON/Off Switch & Tripod Mount",B09R9FRDTK,False,False,,
11,"Adesso CyberTrack K4 4K Ultra HD Fixed Focus USB Webcam with Adjustable Field of View Angle, Built-in Dual Microphones, Privacy Audio/Video Switch & Tripod Mount",B09R94D3ZK,False,False,3.0,2.0
12,Adesso CyberTrack H4-TAA 1080P HD USB Webcam with Built-in Microphone TAA Compliant,B0918FHJV4,False,False,3.3,3.0
13,"Adesso CyberTrack H4 Webcam 1080P HD USB Webcam with Built-in Microphone, Black (Renewed)",B08KSLW32P,False,False,2.5,2.0
14,Adesso CyberTrack CyberTrack H7 Webcam - 4 Megapixel - 30 fps - USB 2.0 - TAA Compliant,B08D3TXMXZ,False,False,2.3,4.0
