rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Rmyozgu,B0CHMDRMXV,False,True,,
1,PRETTYGARDEN,B0BPL29T69,False,False,4.0,1408.0
2,ANRABESS,B0BVVLFDQZ,False,False,4.2,704.0
3,BTFBM,B0BRP4TMK6,False,False,4.2,630.0
4,ANRABESS,B09XD3FLRM,False,False,3.9,2774.0
5,BTFBM,B0BQ3HLM6N,False,False,3.9,272.0
6,PRETTYGARDEN,B0BN52L1TZ,False,False,4.3,1139.0
7,PRETTYGARDEN,B0BYHKWBDJ,False,False,4.3,308.0
8,PRETTYGARDEN,B0BM4CY9B3,False,False,4.0,452.0
9,PRETTYGARDEN,B0BRR9526V,False,False,4.1,553.0
10,WEACZZY,B08DTKXVPC,False,True,4.4,3551.0
11,GRACE KARIN,B0BX48TK8B,False,True,4.3,82.0
12,WOOSEA,B0C52TCNH1,False,True,3.4,18.0
13,WOOSEA,B0C4Y857KJ,False,True,4.1,19.0
14,MEROKEETY,B0BVYDS9J8,False,False,4.3,215.0
15,GRACE KARIN,B0CB1DTGG2,False,False,4.4,48.0
16,Caracilia,B0BZ8GZCZB,False,False,3.8,178.0
17,BerryGo,B0B5XPRXFD,False,False,4.1,9020.0
18,WOOSEA,B07VWH7P89,False,True,4.2,12168.0
19,BBX Lephsnt,B09MW846Z6,False,True,3.8,2816.0
20,WOOSEA,B08CHKQDF2,False,True,4.3,8599.0
21,TANPAUL,B0BQDWC731,False,True,,
22,ANRABESS,B0BPRWX5R3,False,False,4.0,408.0
23,UTNISAN,B09VNW3JLV,False,False,4.2,343.0
24,Floerns,B0B8745VPC,False,False,4.1,3354.0
25,MIRGLER,B0BW9D4T6J,False,False,4.1,123.0
26,KIRUNDO,B09MJ6PJHS,False,True,3.6,1474.0
27,ZESICA,B0BTYMY2B3,False,True,4.2,212.0
28,Chang Yun,B09NRL688Z,False,True,4.1,2783.0
29,LYANER,B0C133V6X7,False,False,3.4,224.0
30,ANRABESS,B0BW3JR1V1,False,False,4.2,191.0
31,PRETTYGARDEN,B0BN531M5R,False,False,3.5,616.0
32,Dokotoo,B0BBCLJHZM,False,False,3.8,653.0
33,PRETTYGARDEN,B0BHYVLSJZ,False,False,3.8,630.0
34,ZESICA,B0BS3HNVDT,False,False,4.3,466.0
35,LYANER,B09XM15GMK,False,False,3.8,3313.0
36,BTFBM,B0BPH2YQP1,False,False,3.9,398.0
37,Chloefairy,B0BZHVHJPV,False,False,4.1,138.0
38,Tsher,B09HJXPB8J,False,False,3.9,2320.0
39,PRETTYGARDEN,B0B14QHS8Y,False,False,3.8,1686.0
40,Newshows,B0BPHM4XWC,False,False,3.6,166.0
41,LYANER,B09LQHDQ24,False,False,3.8,4387.0
42,PRETTYGARDEN,B0BR328HFM,False,False,3.5,790.0
43,Floerns,B0BLMM4CPX,False,False,4.0,493.0
44,HUHOT,B09B97R58P,False,False,4.3,4070.0
45,Simplee Apparel,B0C7Q3XDM7,False,False,4.2,1581.0
46,BTFBM,B0BKRFXJ7V,False,False,4.3,1064.0
47,miduo,B09T6T2MJJ,False,False,3.9,1701.0
48,Zalalus,B09W2Z5G1X,False,False,4.2,3504.0
49,BTFBM,B0BQLJ361Q,False,False,4.3,535.0
50,ANRABESS,B0BPS7GSM7,False,False,4.3,768.0
51,MEROKEETY,B0BL6WSCZC,False,False,4.3,676.0
52,BTFBM,B0BLVL361K,False,False,4.1,526.0
53,BerryGo,B09G2Z3BG1,False,False,4.2,8098.0
54,BTFBM,B0BNSQZ2KL,False,False,4.1,119.0
55,PRETTYGARDEN,B0BMFBD5BD,False,False,4.2,849.0
56,PRETTYGARDEN,B09NSMKD8J,False,False,4.1,4663.0
57,PRETTYGARDEN,B0BM357BCG,False,False,4.1,445.0
58,GRACE KARIN,B0B3DVNTD1,False,False,4.0,790.0
59,PRETTYGARDEN,B0BM35B2BD,False,False,3.8,558.0
