rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",B09B8V1LZ3,False,False,4.7,63096.0
1,"Certified Refurbished Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",B09RX3BZ8V,False,False,4.6,683.0
2,Introducing Echo Pop | Full sound compact smart speaker with Alexa | Glacier White,B09ZXLRRHY,False,False,4.7,13578.0
3,"Introducing Amazon eero Max 7 tri-band mesh wifi router | Up to 9.4 Gbps | Connect 200+ devices | Coverage up to 2,500 sq. ft. | 2023 release",B09HJJN7MS,False,False,,
4,"Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",B09B8W5FW7,False,False,4.7,50140.0
5,"Amazon Basics Rectangle Smart Plug Power Strip, Surge Protector with 3 Individually Controlled Outlets and 2 USB Ports, 2.4 GHz Wi-Fi, Works with Alexa, White, 11.02 x 2.56 x 1.38 in",B095XBHVF2,True,False,4.6,2811.0
6,"Amazon Basics Smart In-Wall Outlet with 2 Individually Controlled Outlets, Tamper Resistant, 2.4 GHz Wi-Fi, Works with Alexa Only, 4.57 x 2.80 x 1.85 inches, White",B094YN5VZH,True,False,4.5,836.0
7,"Amazon Basics RJ45 Cat-6 Ethernet Patch Cable, 1Gpbs Transfer Speed, Gold-Plated Connectors, 25 Foot (7.6 Meters), Black",B00N2VIWPY,True,False,4.7,124386.0
8,"Certified Refurbished Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",B09RX36H6Z,False,False,4.6,520.0
9,"Echo Dot (5th Gen, 2022 release) Kids | Designed for kids, with parental controls | Dragon",B09B96PMLY,False,False,4.7,8478.0
10,Echo Dot (5th Gen) Glacier White with eero Mesh Wifi Router,B0BF2DBXXB,False,False,4.4,16.0
11,"Amazon Basics Outdoor Smart Plug with 2 Individually Controlled Outlets, 2.4 GHz Wi-Fi, Works with Alexa Only, Black, 3.72 x 1.81 x 4.94 inches",B094YHJJVG,True,False,4.6,1544.0
12,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",B07XKF5RM3,False,False,4.7,141367.0
13,"Amazon Basics Extension Cord, 13 Amps, 125V, 10 Foot, Black",B075BMVZ2N,True,False,4.8,46265.0
14,"Amazon Basics RJ45 Cat 7 Ethernet Patch Cable, Flat, 600MHz, Snagless, Includes 25 Nails For Printer, 100 Foot, White",B089MF1LZN,True,False,4.7,3475.0
15,"Amazon Basics USB-A to USB-B 2.0 Cable for Printer or External Hard Drive, Gold-Plated Connectors, 6 Foot, Black",B00NH11KIK,True,False,4.7,118768.0
