rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"WaterWipes Plastic-Free Original Baby Wipes, 99.9% Water Based Wipes, Unscented & Hypoallergenic for Sensitive Skin, 60 Count (Pack of 12), Packaging May Vary",B008KJEYLO,False,True,4.7,67141
1,"McKesson StayDry Disposable Wipes or Washcloths for Adults with Aloe, Incontinence, Alcohol-Free, Not-Flushable, Pleasantly Fragranced Aloe and Vitamin E Formula",B00QS6XFZC,False,True,4.7,10494
2,"Pampers Aqua Pure Sensitive Baby Wipes , 672 count",B0BJ13XWDD,False,True,4.9,1143
3,"DUDE Wipes - Flushable Wipes - 6 Pack, 288 Wipes - Shea BUTTer Smooth Extra-Large Adult Wet Wipes - Vitamin-E & Aloe - Septic and Sewer Safe + 3 On-The-Go Wipes",B0C22SZQ3Y,False,True,4.7,176889
4,"Amazon Elements Baby Wipes, Fragrance Free, White, 810 Count (9 Packs of 90) (Previously 720 Count)",B07H53W5WP,True,False,4.7,40953
5,"Huggies Natural Care Sensitive Baby Wipes, Unscented, Hypoallergenic, 99% Purified Water, 8 Flip-Top Packs (448 Wipes Total)",B007C8NJCE,False,False,4.8,14723
6,"Cottonelle Freshfeel Flushable Wet Wipes, Adult Wet Wipes, 8 Flip-Top Packs, 42 Wipes per Pack (8 Packs of 42) (336 Total Flushable Wipes), Packaging May Vary",B07ND3WR64,False,False,4.7,120263
7,Nice 'N Clean Adult Flushable Wipes (8 x 42 Count) | Personal Cleansing Wipes Made from Plant-Based Fibers | Infused with Aloe & Vitamin E,B096W5BMMV,False,False,4.6,22250
8,"Pampers Sensitive Water Based Hypoallergenic and Unscented Baby Wipes, 336 count (Packaging May Vary)",B079V67BFW,False,False,4.8,56308
9,"Amazon Brand - Mama Bear 99% Water Baby Wipes, Hypoallergenic, Fragrance Free, 432 Count (6 Packs of 72)",B07H1NLW4K,True,False,4.7,17808
10,"The Honest Company Clean Conscious Wipes | 99% Water, Compostable, Plant-Based, Baby Wipes | Hypoallergenic, EWG Verified | Geo Mood, 60 Count",B0BWGZH14G,False,True,4.7,438
11,"Goodwipes Flushable Butt Wipes Made w/ Soothing Botanicals & Aloe – Soft & Gentle Wet Wipe Dispenser for Home Use, Septic & Sewer Safe – Largest Adult Toilet Wipes – Lavender, 180 count (3 packs)",B07MKVS51X,False,True,4.7,5147
12,"Rael Feminine Wipes, Flushable Wipes pH Balanced - Travel Size, All Skin Types, Paraben Free, Daily Use (10 Count, Pack of 3)",B078RYNNPS,False,True,4.5,3611
13,FitRight Personal Cleansing Wipes with Aloe (8x10 inch) | 600 Pieces Moisturizing Body Wipes for Adults Bathing and Incontinence Cleaning | Unscented Cloth Adult Wipes for Elderly Care,B00Q3Z79G4,False,True,4.7,8892
14,"Pampers Sensitive Water Based Hypoallergenic and Unscented Baby Wipes, 504 count (Packaging May Vary)",B01C3H4ZTY,False,False,4.8,20368
15,"Cottonelle GentlePlus Flushable Wet Wipes with Aloe & Vitamin E, Adult Wet Wipes, 6 Flip-Top Packs, 42 Wipes per Pack (6 Packs of 42) (252 Total Flushable Wipes), Packaging May Vary",B07B3Y9FY6,False,False,4.6,20251
16,"Charmin Flushable Wipes, 4 packs, 40 Wipes Per Pack, 160 Total Wipes",B07DVY2PDZ,False,False,4.5,17571
17,"DUDE Wipes - Flushable Wipes - 6 Pack, 288 Wipes - Unscented Extra-Large Adult Wet Wipes - Vitamin-E & Aloe for at-Home Use - Septic and Sewer Safe",B010NE2XPC,False,False,4.7,176889
18,"DUDE Wipes - Flushable Wipes (3 Pack, 144 Wipes), Unscented Extra-Large Adult Wet Wipes & DUDE Bombs Toilet Spray, 2.5 oz, Forest Fresh Stank Eliminator (1 Spray Bottle)",B09YCBXNNY,False,True,4.4,924
19,"WaterWipes Plastic-Free Textured Clean, Toddler & Baby Wipes, 99.9% Water Based Wipes, Unscented & Hypoallergenic for Sensitive Skin, 540 Count (9 packs), Packaging May Vary",B07LB7FC2Z,False,True,4.7,4915
20,"Adult Wet Wipes/Wash Cloths for Incontinence & Cleansing for Elderly, 8""x12"" (200 count)",B08627YFGH,False,True,4.4,7259
21,"WaterWipes Plastic-Free Original Baby Wipes, 99.9% Water Based Wipes, Unscented & Hypoallergenic for Sensitive Skin, 300 Count (5 packs), Packaging May Vary",B0B69RVHCJ,False,True,4.7,877
22,"Pampers Baby Fresh Scented Baby Wipes, 72 Count",B07KGL6L56,False,False,4.7,20051
23,"Huggies Natural Care Refreshing Baby Wipes, Hypoallergenic, Scented, 10 Flip-Top Packs (560 Wipes Total)",B07MDRNL78,False,False,4.8,25485
