rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Bluetooth Headphones Over Ear,BERIBES 65H Playtime and 6 EQ Music Modes with Microphone,HiFi Stereo Foldable Lightweight Wireless Headset,Deep Bass for Home Office Cellphone PC Etc.(White)",B0B8YNRS6D,False,True,4.5,14610
1,"1MORE SonoFlow SE Active Noise Cancelling Wireless Headphones, Over Ear Bluetooth Headphones with DLC Dynamic Driver, 70H Playtime, Clear Calls, Custom EQ via app",B0CDB3YZZM,False,True,4.7,25
2,"Psier Wireless Earbuds Sports Wireless Headphones 4 Mic Clear Calls 60H Playtime Ear buds Supports Wireless Charging Dual LED Power Display Flexible Earhooks IPX7 Waterproof Earphones for Running, Gym",B0CG1JMN6V,False,False,4.8,31
3,"kurdene Bluetooth 5.3 Wireless Earbuds, S8 Deep Bass Hi-Fi Stereo Headset with Microphone in-Ear Call Nosie Cancelling Bluetooth Headphones, Immersive Premium Sound Ear Buds for iPhone, Android",B0CCY5PMWS,False,False,4.4,4461
4,Glynzak Wireless Bluetooth Headphones Over Ear 65H Playtime HiFi Stereo Headset with Microphone and 6EQ Modes Foldable Bluetooth V5.3 Headphones for Travel Smartphone Computer Laptop Rose Gold WH207A,B0BMLXSNG8,False,False,4.6,2327
5,"Wireless Earbuds, Bluetooth Headphones V5.3 Wireless Earphones, 48H Playtime LED Power Display & Wireless Charging Case, HiFi Stereo Bass IPX7 Waterproof Ear Buds Built-in Mic for Workout Office Black",B0CCV66PRY,False,False,4.6,3249
6,"Wireless Earbuds, HiFi Stereo Sport Bluetooth 5.3 Headphones with Earhooks, 48H Deep Bass in-Ear Headphones with LED Display, Noise Cancelling, IP7 Waterproof Earphones Built-in Mic for Running (Rose)",B0BQMCNKJF,False,True,4.3,2298
7,Bluetooth Headphones Wireless Earbuds 80hrs Playback IPX7 Waterproof Ear Buds Over-Ear Stereo Bass Earphones with Earhooks Microphone LED Battery Display for Sports/Workout/Gym/Running Black,B0CHRQY561,False,False,5.0,454
8,"[Updated] Bluetooth Headphones Over Ear, 65 Hours Playtime Wireless Headphones with Microphone,Foldable Lightweight Headset with Deep Bass,HiFi Stereo Sound for Travel Work Cellphone",B09BF64J55,False,False,4.5,11497
9,"JLab Go Air Pop True Wireless Bluetooth Earbuds + Charging Case, Lilac, Dual Connect, IPX4 Sweat Resistance, Bluetooth 5.1 Connection, 3 EQ Sound Settings Signature, Balanced, Bass Boost",B09HLG4T1Z,False,False,4.4,32369
10,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone, Blue New",B0BS1RT9S2,False,False,4.5,4276
11,"Wireless Bluetooth Earbud Sport, Bluetooth 5.3 Headphones with Noise Cancelling Mic, 90H HiFi Stereo Over Ear Earbud with LED Display and USB-C, IP7 Waterproof Earphones, Button Control, Rose Gold",B0C3H1Z6HS,False,True,4.6,5776
12,"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headset, Deep Bass for Home Office Cellphone PC Ect.",B09LYF2ST7,False,False,4.5,14610
13,"Wireless Earbuds, Bluetooth 5.3 Headphones Ear buds with 50Hrs Battery Life Deep Bass Earphones with Wireless Charging Case & LED Power Display Waterproof Microphone Headset for TV Tablet Phone CAP0X0",B0CF9SB4GK,False,False,5.0,397
14,"Soundcore Anker Life P2 Mini True Wireless Bluetooth 5.2 Earbuds Headphones, Black",B099DP3617,False,False,4.4,36829
15,"Uliptz Wireless Bluetooth Headphones, 65H Playtime, 6 EQ Sound Modes, HiFi Stereo Over Ear Headphones with Microphone, Foldable Lightweight Bluetooth 5.3 Headphones for Travel/Office/Cellphone/PC",B09NNBBY8F,False,False,4.5,4032
16,occiam Wireless Earbuds Bluetooth 5.3 Headphones 96Hrs Playback Sports Ear Buds with Microphone Earhook Waterproof in Ear Earphones LED Power Display Headset for Workout Running Black,B0CBRC5FK7,False,True,4.9,678
17,"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing (Black/Blue)",B07QGVMCJG,False,False,4.4,73848
18,"JLab Go Air True Wireless Bluetooth Earbuds + Charging Case, Dual Connect, IP44 Sweat Resistance, Bluetooth 5.0 Connection, 3 EQ Sound Settings Signature, Balanced, Bass Boost (Blue)",B086P9HYCS,False,False,4.2,34540
19,"Skullcandy Riff 2 On-Ear Wireless Headphones, 34 Hr Battery, Microphone, Works with iPhone Android and Bluetooth Devices - Black",B0B75MQJQR,False,False,4.4,7104
20,Wireless Earbuds Bluetooth V5.3 Headphones 50H Playback Deep Bass Stereo Ear Buds with LED Power Display Charging Case IPX7 Waterproof Earphones with Mic Headset for Laptop Pad Android/iOS Phones,B0CFX3X5KD,False,False,4.8,498
21,"Bluetooth Headphones, 5.3 Wireless Sports Earbuds IPX7 Waterproof with Mic, Stereo Sweatproof in-Ear Earphones, Noise Cancelling Headsets for Gym Running Workout, 16 Hours Playtime - GreenBlack",B09M7XGSNN,False,True,4.3,4225
