rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"MOFII Wireless Keyboard and Mouse Combo, Blue Retro Keyboard with Round Keycaps, 2.4GHz Dropout-Free Connection, Cute Wireless Mouse for PC/Laptop/Mac/Windows XP/7/8/10 (Blue-Colorful)",B08N4B8Z1J,False,True,4.4,4251
1,"RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, Mechanical Feel Anti-ghosting Keyboard + 7D 3200DPI Mice for PC Gamer (White-Gray)",B09Z6B55XB,False,True,4.0,3292
2,"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",B079JLY5M5,False,False,4.5,87262
3,"Wireless Keyboard and Mouse Ultra Slim Combo, TopMate 2.4G Silent Compact USB Mouse and Scissor Switch Keyboard Set with Cover, 2 AA and 2 AAA Batteries, for PC/Laptop/Windows/Mac - White",B06XHY8J7M,False,False,4.3,3824
4,"Wireless Keyboard and Mouse Combo, Lovaky 2.4G Full-Sized Ergonomic Keyboard Mouse, 3 DPI Adjustable Cordless USB Keyboard and Mouse, Quiet Click for Computer/Laptop/Windows/Mac (1 Pack, Black)",B09KC6PSR9,False,False,4.3,3953
5,"Logitech MK345 Wireless Combo Full-Sized Keyboard with Palm Rest and Comfortable Right-Handed Mouse, 2.4 GHz Wireless USB Receiver, Compatible with PC, Laptop,Black",B00QXT5T3U,False,False,4.5,36713
6,"Keyboard and Mouse Wireless Combo with 7 Changeable Backlits Color, Wrist Rest, Jiggler Mouse, Phone Holder, Ergonomic Quiet Rechargeable Cordless Mouse Keyboard Set for Windows, PC, Laptop by Choiana",B0BR7NG5H5,False,True,4.2,183
7,"Wireless Keyboard and Mouse Combo, MARVO 2.4G Ergonomic Wireless Computer Keyboard with Phone Tablet Holder, Silent Mouse with 6 Button, Compatible with MacBook, Windows (Black)",B09P33RWFJ,False,False,4.3,3493
8,"Wireless Keyboard Mouse Combo, Energy Saving Silent Ultra - Thin Full Sized Wireless Keyboard Mouse 3 Level DPI Adjustable Mouse for Computer, Laptop and Desktop",B09839CRBX,False,False,4.3,696
9,"Wireless Keyboard and Mouse, Trueque Silent 2.4GHz Cordless Full Size USB Mouse Combo, Long Battery Life, Lag-Free for Computer, Laptop, PC, Windows, Mac, Chrome OS (Black)",B09J4RQFK7,False,False,4.3,2150
10,Logitech MK545 Advanced Wireless Keyboard and Mouse Combo,B079HR85C3,False,False,4.5,10108
11,"Snpurdiri 60% Wireless Gaming Keyboard and Mouse Combo,LED Backlit Rechargeable 2000mAh Battery,Small Membrane But Mechanical Keyboard + 6D 3200DPI Mice for Gaming,Business Office",B0B7QQ4ZXC,False,True,4.1,658
12,"LexonElec Wireless RGB Backlit Gaming Keyboard Mouse Combo,Rechargeable 3800mAh Battery, 87-Key Mechanical Feel Keyboard, Quiet Mouse and Mouse Pad for Gamers and Office Typists(White)",B092TRW8FP,False,False,4.1,416
13,"Logitech MK570 Wireless Wave Keyboard and Mouse Combo, Black",B0725X7NSJ,False,False,4.6,9136
14,"Logitech MK295 Wireless Mouse & Keyboard Combo with SilentTouch Technology, Full Numpad, Advanced Optical Tracking, Lag-Free Wireless, 90% Less Noise - Graphite",B089KV4YYX,False,False,4.5,10047
15,Logitech MK335 Wireless Keyboard and Mouse Combo - Black/Silver,B072JX77X6,False,False,4.5,7641
16,"GK98 Wireless Gaming Keyboard,2.4G Rechargeable RGB White Backlit Ergonomic 98 keys Mechanical Feeling Dual Color Keyboard for Office Windows Mac PC Xbox PS4 Gamer(WhitePink)",B09XHBLLLQ,False,True,4.1,1080
17,"Wireless Keyboard and Mouse Combo, 2.4GHz Lag-Free Ergonomic Keyboard Full-Size with Phone Holder & 10 Independent Shortcuts, Silent Mouse with 4 DPI for Computer, Desktop, Laptop",B09VB1349R,False,False,4.3,1232
18,"NPET S21 Wireless Gaming Keyboard and Mouse Combo, RGB Backlit Quiet Ergonomic Mechanical Feeling Keyboard, Gaming Mouse 3200DPI, for Desktop",B0BHNSZHZM,False,False,4.3,151
19,Logitech MK735 Performance Wireless Keyboard & Mouse Combo,B0843MSWR3,False,False,4.6,3392
20,"Wireless Mouse and Keyboard, Choiana 2.4G Quiet Cordless Ergonomic Keyboard Mouse Combo Wireless USB Set Full Size with Number Pad, for Windows Mac Chrome Computer Laptop Desktop, Green",B0BVBKDYGS,False,False,4.3,144
21,"Snpurdiri 2.4G Wireless Gaming Keyboard and Mouse Combo, Include Mini 60% Merchanical Feel RGB Backlit Keyboard, Ergonomic Vertical Feel Small Wireless Mouse(White and Black)",B0BYN9WYP2,False,True,4.0,953
