rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Motion Tracking for Baby & Pet, Color Night Vision, 2-Way Audio, Works with Alexa & Google Assistant",B0B9TWY11Q,False,True,4.3,5260
1,"Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Security Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT, 2-Pack",B0919CNXP2,False,True,4.5,8357
2,"WYZE Cam OG 1080p HD Wi-Fi Security Camera - Indoor/Outdoor, Color Night Vision, Spotlight, 2-Way Audio, Cloud & Local storage- Ideal for Home Security, Baby, Pet Monitoring - Alexa & Google Assistant",B0B75T6CTH,False,False,4.4,3785
3,"WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Motion Tracking for Baby & Pet, Color Night Vision, 2-Way Audio, Works with Alexa & Google Assistant",B0B9TWY11Q,False,False,4.3,5260
4,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT",B08R59YH7W,False,False,4.5,72976
5,"Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Security Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT, 2-Pack",B0919CNXP2,False,False,4.5,8357
6,"WYZE Cam v3 Indoor Outdoor Smart Security Camera Plug-in, 1080p Color Night Vision, Two-Way Audio, Motion Detection for Baby Pet Home Monitor, Works with Alexa",B09J8KCY51,False,False,4.5,2965
7,"Wyze Cam v2 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Color Night Vision, 2-Way Audio, Compatible with Alexa & The Google Assistant, White",B09DRCFF81,False,False,4.4,8953
8,"WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Color Night Vision, 2-Way Audio, Compatible with Alexa & Google Assistant, Includes 3 Mo of Cam Plus",B0BX7FM4D9,False,False,4.5,419
9,"Wyze Wireless Video Doorbell Pro (Chime Included), 1440 HD Video, 1:1 Aspect Ratio: 1:1 Head-to-Toe View, 2-Way Audio, Night Vision",B09JF9RJG3,False,False,4.5,2137
10,"WYZE Battery Cam Pro, Wireless, No Hub, 2K HDR IP65 Outdoor/Indoor Smart Security Camera, Color Night Vision, Integrated Spotlight & Siren, Removable & Rechargeable Battery, 2-Way Audio, White, 1-Pack",B0B9ZTZRBX,False,False,3.9,2498
11,"WYZE Cam OG 1080p HD Wi-Fi Security Camera - Indoor/Outdoor, Color Night Vision, Spotlight, 2-Way Audio, Cloud & Local storage- Ideal for Home Security, Baby, Pet Monitoring - Alexa & Google Assistant",B0B75T6CTH,False,True,4.4,3785
12,"WYZE Cam Floodlight Pro with 3000 Lumen LEDs, Wired 2K HD IP65 Outdoor Smart Security Camera, Color Night Vision, 180 Degree Customizable Motion Detection, 105dB Siren, and Two-Way Audio, White",B0B9TTCVS8,False,False,4.2,172
13,"Wyze Cam Floodlight with 2600 Lumen LEDs, Wired 1080p HD IP65 Outdoor Smart Security Camera, Color Night Vision, 270-Degree Customizable Motion Detection, 105dB Siren, and Two-Way Audio",B09NMYD8K7,False,False,4.3,2134
14,"WYZE Cam Pan v2 Pet Camera with Phone App 360° PTZ Indoor Home Security Camera for Dogs Cats Elderly Monitoring, Works with Alexa",B09JSWYD4G,False,False,4.4,800
15,"Wyze Cam v3 1080p HD Indoor/Outdoor Security Camera with Color Night Vision, 2-Way Audio, Compatible with Alexa & The Google Assistant and IFTTT with Wyze Cam Plus A.I. 3 Month Detection Service",B09Q4T8Y76,False,False,4.5,3948
16,"WESECUU Indoor Camera, 360° Pet Camera Dog Camera with Phone App, 2.4G WiFi Smart Video Baby Monitor Cameras for Home Security Indoor Motion Tracking Siren 24/7 Night Vision 2 Way Audio Cloud/SD",B0CHNS3ZH2,False,True,4.8,73
17,"WYZE Video Doorbell with Chime (Horizontal Wedge Included), 1080p HD Video, 3:4 Aspect Ratio: 3:4 Head-to-Toe View, 2-Way Audio, Night Vision, Hardwired, Works with Alexa & Google Assistant",B08WQ15B37,False,False,4.2,7104
18,Wyze Cam Outdoor v2 Wyze Cam Outdoor v2 Add-On Camera,B09PWKKWZX,False,False,4.0,931
19,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Security Camera, 2-Way Audio Lamp Socket Power Adapter Cam v3",B0BFCV67BL,False,False,4.6,105
20,"winees 2K Indoor Security Camera, QHD WiFi Camera with 2-Way Audio, 4MP Pet Camera with Phone APP, 2.4GHz, Clear IR Night Vision, Human and Motion Detection for Baby/Mom, Alexa Compatible M2",B09NXPWMFB,False,True,4.2,3762
21,"Wyze Cam v3 1080p HD Indoor/Outdoor Video Camera for Security, Pets, Baby Monitor, w/Color Night Vision, 2-Way Audio, Compatible with Alexa & Google (Renewed)",B095NW5QZV,False,True,3.5,23
