rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"FASIGO Xbox Controller with 1400 mAh Battery Compatible With Xbox One,Xbox Series X|S,Xbox One X|S,PC with Wireless Adapter",B0CFTN6BMP,False,True,3.8,26
1,"Dinosoo Wireless Controller for Xbox Series X/S/Xbox One/Xbox One S/One X, Compatible with Android/PC Windows 10/11, Built-in Dual Vibration TURBO Function 3.5mm Headphone Jack Macro Function White",B0CF1CJ823,False,True,4.0,261
2,"Xbox Core Wireless Controller – Shock Blue – Xbox Series X|S, Xbox One, and Windows Devices",B09BY1FTF7,False,False,4.7,71536
3,"Xbox Core Wireless Controller – Robot White – Xbox Series X|S, Xbox One, and Windows Devices",B08DF26MXW,False,False,4.7,71536
4,"Xbox Core Wireless Controller – Pulse Red – Xbox Series X|S, Xbox One, and Windows Devices",B0859XT328,False,False,4.7,71536
5,"PPKKAI Controller with Wireless Adapter for Xbox One, Xbox Series X/S, Xbox One X/S, PC, 2.4GHZ Controller with 3.5mm Headphone Jack",B0BWDPMF5Z,False,False,4.1,309
6,"LENISUOLE Wireless Controller for Xbox One,Compatible with Xbox One/S/X,Series X/S,Android/IOS and Windows PC10/11,Built-in Dual Vibration and 3.5mm Audio Jack with Turbo and Programming Key-Blue",B0C3VJNHCV,False,True,4.2,23
7,"Xbox Core Wireless Controller – Electric Volt – Xbox Series X|S, Xbox One, and Windows Devices",B08ZNQN1FP,False,False,4.7,71536
8,"Xbox Elite Series 2 Core Wireless Controller – White – Xbox Series X|S, Xbox One, and Windows Devices",B0B789CGGQ,False,False,4.5,5182
9,"VidPPluing Xbox Wireless Controller for Xbox One, Xbox Series X/S, Xbox One X/S, Windows PC, 2.4GHZ Wireless Adapter Controller with 3.5mm Headphone Jack - White",B0BWR19X4C,False,False,3.9,128
10,"Xbox Controller with 1400mAh Lithium Battery, Xbox One Controller with 2.4GHz Wireless Adapter, Wireless Xbox Controller Compatible with Xbox One, Xbox Series X/S, Xbox One X/S Consoles and PC",B0CCDDWZC8,False,False,4.2,53
11,"Rechargeable Battery Pack for Xbox Controller,4x2600mAh Batteries with Charger,Rechargeable Batteries Charger Station Compatible with Xbox Series X|S/Xbox One/Xbox One S/X/Elite Controller",B0B2QRHQZF,False,True,4.5,234
12,"Gina Joyfurno Wireless Controller Compatible with Xbox One, Xbox Series S/X/360/PC/PS3/Windows 7/8/10/11, Built-in Dual Vibration with 2.4GHz Connection, USB Charging, LED Backlight (Black-Dark Blue)",B0BWY3RZTK,False,False,3.8,664
13,"JORREP Xbox Controller Wireless for Xbox One, Xbox One S/X, Xbox Series X/S Consoles, PC Windows, 2.4GHz Adapter Wireless Gamepad with 3.5mm Headphone and Share Button",B0BZCLJD8F,False,False,3.9,183
14,"Gina Joyfurno Game Controller, Wireless Controller Compatible with Xbox One/One X/One S, Xbox Series X/S, PC, Gamepad with 6 Light Colors Unique Crack Skin/Dual Vibration/2.4GHz Connection (white)",B0C65HWLDJ,False,False,3.6,41
15,"W&O Wireless Controller Compatible with Xbox 360 2.4GHZ Gamepad Joystick Wireless Controller Compatible with Xbox 360 and PC Windows 7,8,10,11 with Receiver (Black)",B09WQGQ6D2,False,False,4.2,3231
16,"MODDEDZONE Skulls White Original Custom UN-Modded Wireless Gaming Controller compatible with Xbox One S/X, PC | Personalize Your Gaming Experience and Exceptional Performance | Customized in the USA|",B07612JC8T,False,True,4.3,630
17,"VidPPluing Xbox Controller Compatible with Xbox One, Xbox Series X/S, Xbox One X/S and PC, 2.4GHZ Wireless Controller with 3.5mm Headphone Jack",B0BZV37JJS,False,False,3.9,72
18,"usergaing Xbox Wireless Controller Replacement for Xbox One, Xbox Series X&S,Xbox One X&S,Window PC 10 with 3.5mm Headphone Jack-Red Camo",B0BNKP6QYM,False,False,3.4,77
19,"ADHJIE Xbox One Controller, Compatible with Xbox One Wireless Controller, Xbox One Controller Wireless with 3.5mm Audio Headphone Jack for Xbox one Series X/S Xbox One X/S(Camo Blue)",B0BZH6QSQL,False,False,4.0,58
20,"PowerA Wired Controller For Xbox Series X|S - Black, Gamepad, Video Game Controller Works with Xbox One",B08F4444HM,False,False,4.2,11643
21,DreamController Original X-box Wireless Controller Special Edition Customized Compatible with X-box One S/X-box Series X/S & Windows 10 Made with Advanced HydroDip Print Technology(Not Just a Skin),B08WCT4FV1,False,True,4.5,662
