rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"GameSir G7 SE Wired Controller for Xbox Series X|S, Xbox One & Windows 10/11, Plug and Play Gaming Gamepad with Hall Effect Joysticks/Hall Trigger, 3.5mm Audio Jack",B0C7GW9F88,False,True,4.3,750
1,"2 Pack Wired Controller Replacement for Xbox Controller, Compatible with Xbox One, Xbox Series X/S, Xbox One X/S PC Windows with Headphone Jack/Turbo/Macro Function, 10ft Long (Black+Red)",B0CCP6DS9H,False,True,3.9,24
2,"Xbox Core Wireless Controller – Velocity Green – Xbox Series X|S, Xbox One, and Windows Devices",B0BY3LT3Z9,False,False,4.7,71536
3,"Xbox Elite Series 2 Core Wireless Controller – White – Xbox Series X|S, Xbox One, and Windows Devices",B0B789CGGQ,False,False,4.5,5182
4,"PowerA Wired Controller For Xbox Series X|S - Black, Gamepad, Video Game Controller Works with Xbox One",B08F4444HM,False,False,4.2,11643
5,"Xbox Core Wireless Controller – Robot White – Xbox Series X|S, Xbox One, and Windows Devices",B08DF26MXW,False,False,4.7,71536
6,"Xbox Core Wireless Controller – Electric Volt – Xbox Series X|S, Xbox One, and Windows Devices",B08ZNQN1FP,False,False,4.7,71536
7,"PowerA Enhanced Wired Controller for Xbox Series X|S - Purple Magma, gamepad, video game / gaming controller",B0B98TXTGY,False,False,4.2,57619
8,"VidPPluing Xbox Wireless Controller for Xbox One, Xbox Series X/S, Xbox One X/S, Windows PC, 2.4GHZ Wireless Adapter Controller with 3.5mm Headphone Jack - White",B0BWR19X4C,False,False,3.9,128
9,"Xbox Controller with 1400mAh Lithium Battery, Xbox One Controller with 2.4GHz Wireless Adapter, Wireless Xbox Controller Compatible with Xbox One, Xbox Series X/S, Xbox One X/S Consoles and PC",B0CCDDWZC8,False,False,4.2,53
10,"JORREP Xbox Controller Wireless for Xbox One, Xbox One S/X, Xbox Series X/S Consoles, PC Windows, 2.4GHz Adapter Wireless Gamepad with 3.5mm Headphone and Share Button",B0BZCLJD8F,False,False,3.9,183
11,"OIVO XSX Controller Charger Station with 2 Packs 3360mWh Rechargeable Battery for Xbox Series X/S/One/Elite/Core Controller, Charging Dock with 4 Packs Covers",B08LBK5J49,False,True,4.6,14542
12,"Xbox Core Wireless Controller – Pulse Red – Xbox Series X|S, Xbox One, and Windows Devices",B0859XT328,False,False,4.7,71536
13,Xbox Wireless Controller – White,B01GW3H3U8,False,False,4.5,30038
14,"PPKKAI Controller with Wireless Adapter for Xbox One, Xbox Series X/S, Xbox One X/S, PC, 2.4GHZ Controller with 3.5mm Headphone Jack",B0BWDPMF5Z,False,False,4.1,309
15,PowerA Spectra Infinity Enhanced Wired Controller for Xbox Series X|S- Black,B095JNZGC4,False,False,4.3,19409
16,DreamController Original X-box Wireless Controller Special Edition Customized Compatible with X-box One S/X-box Series X/S & Windows 10 Made with Advanced HydroDip Print Technology(Not Just a Skin),B08WCT4FV1,False,True,4.5,662
17,Xbox Core Wireless Controller + USB-C Cable – Carbon Black,B08K2Y2KQN,False,False,4.6,6259
18,"VidPPluing Xbox Controller Compatible with Xbox One, Xbox Series X/S, Xbox One X/S and PC, 2.4GHZ Wireless Controller with 3.5mm Headphone Jack",B0BZV37JJS,False,False,3.9,72
19,PowerA Wired Controller for Xbox Series X|S - Red,B08F43M1F4,False,False,4.2,11643
20,"YUYIU 【Upgraded】Wired Controller for Xbox Series X|S, Xbox One, Windows 10 and above, PC Controller with 3.5 mm Audio Jack",B0C53DYDLX,False,True,4.1,320
21,"SCUF Instinct Pro Performance Series Wireless Xbox Controller - Remappable Back Paddles - Instant Triggers - Xbox Series X|S, Xbox One, PC and Mobile - Steel Gray",B06VTRJGCP,False,True,4.1,1722
