rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Basics Controller Battery Pack Charger For Xbox One S Console - Black (Not compatible with Xbox One S All-Digital Edition Console),B071PB1G8T,True,False,4.6,1469
1,"Amazon Basics Xbox One Wired Controller - 9.8 Foot USB Cable, White, Version 2",B07D12RPHX,True,False,4.2,5077
2,"Amazon Basics Xbox One Wired Controller - 9.8 Foot USB Cable, Black, Version 2",B07CZTVHY8,True,False,4.0,2083
3,"Amazon Basics Xbox One Wired Controller - 9.8 Foot Cable, Black, Version 1",B01M4NISMM,True,False,4.0,1215
4,"Amazon Basics Xbox One Wired Controller - 9.8 Foot USB Cable, White, Version 1",B01M31KSR2,True,False,4.1,781
5,Official Luna Wireless Controller,B07P989QTJ,False,False,4.2,10451
6,"Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, 2GB RAM, and Luna Controller, (2022 release), Black",B0B9987F2G,False,False,4.5,9571
7,Fire TV Gaming Bundle including Fire TV Stick and Luna Controller,B0BFCMY86L,False,False,4.7,418013
8,"Adesso Xtream G2 - Gaming Headphones with Noise Cancelling Microphone and LED Lighting for PC, PS4, Xbox, Nintendo Switch, and Laptops, Blue, 9.00in. x 4.00in. x 9.00in.",B07J3T7H54,False,False,4.3,22
9,"Adesso Xtream G3-7.1 Surround-Sound Gaming Headset with Noise Cancelling Microphone and LED Lighting for PC, PS4, Xbox, Nintendo Switch, and Laptops",B07J3VMNZV,False,False,2.7,2
10,"Amazon Basics Dual Charging Station for Xbox One, Xbox One Standard, And Xbox One Elite Controllers - Black",B01N1P0KFI,True,False,4.5,7239
11,Fire TV Gaming Bundle with Fire TV Stick 4K Max and Luna Controller,B09BPDBQBV,False,False,4.7,155065
12,Amazon Basics Controller Battery Pack Charger For Xbox One - Black,B071LQD2XD,True,False,4.6,2605
13,"Amazon Basics Xbox One Controller Thumb Grips - Pack of 2, Black",B07CWDT5N3,True,False,4.2,4116
14,"Amazon Basics Replacement Power Cable for PS4 Slim and Xbox One S / X - 6 Foot Cord, Black",B078N74NXD,True,False,4.8,8716
15,Amazon Basics Controller Battery Pack Charger For Xbox One S Console - White (Not compatible with Xbox One S All-Digital Edition Console),B072FRJWQH,True,False,4.6,2818
