rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Roblox Digital Gift Code for 2,200 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B07RX6FBFR,False,True,4.6,147339
1,Starfield Standard Edition - Xbox Series X & Windows 10 [Digital Code],B0CB9HP756,False,True,3.4,63
2,$70 Xbox Gift Card [Digital Code],B00F4CFCXO,False,False,4.6,176097
3,$100 Xbox Gift Card [Digital Code],B00F4CFHFC,False,False,4.6,176097
4,Xbox Live £15 Gift Card [Xbox Live Online Code],B0186JIR9C,False,False,4.7,5338
5,Xbox Live £20 Gift Card [Xbox Live Online Code],B0186L7EYO,False,False,4.6,8957
6,Xbox Live - 10 GBP Gift Card [Xbox Live Online Code],B018FBCUZI,False,False,4.6,12447
7,Xbox Live £50 Gift Card [Xbox Live Online Code],B0186MHJB6,False,False,4.7,2313
8,Xbox Live £40 Gift Card [Online Game Card] [Xbox Live Online Code],B0186M0A4E,False,False,4.7,1130
9,Xbox Series X & $100 Gift Card [Digital Code],B0C5PPPN89,False,False,5.0,2
10,"Xbox Game Pass Ultimate – 3 Month Membership – Xbox Series X|S, Xbox One, Windows [Digital Code]",B07TGNFVWV,False,False,4.7,33978
11,"Xbox Game Pass Ultimate – 3 Month Membership – Xbox Series X|S, Xbox One, Windows [Digital Code]",B07TGNFVWV,False,True,4.7,33978
12,Xbox Live Gold: 3 Month Membership [Digital Code],B004VSTQ2A,False,False,4.7,92674
13,Xbox Live Gold: 1 Month Membership [Digital Code],B08WNJF95Y,False,False,4.7,92674
14,"NBA 2K24: 200,000 VC - Xbox [Digital Code]",B0CGM97ZZ4,False,False,3.3,9
15,Xbox Live Gold: 6 Month Membership [Digital Code],B01KGFR3OO,False,False,4.7,92674
16,"Lyft eGift Card — rideshare, bikes, scooters, shared rides, Lyft XL, Lyft Lux, Lux Black, Lux Black XL.",B09QGYJTVQ,False,True,4.5,4511
17,Xbox $25 Gift Card,B00EDU8HY4,False,False,4.6,858
18,"Roblox Digital Gift Code for 4,500 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B07RZ75JW3,False,False,4.6,147339
19,MADDEN NFL 24: 2800 MADDEN POINTS - Xbox [Digital Code],B0CCPFDHZ5,False,False,2.4,4
