rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Roblox Digital Gift Code for 1,200 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCCXZDT5,False,True,4.6,147339
1,"Xbox Game Pass Ultimate – 3 Month Membership – Xbox Series X|S, Xbox One, Windows [Digital Code]",B07TGNFVWV,False,True,4.7,33978
2,$20 Xbox Gift Card [Digital Code],B00F4CEWOY,False,False,4.6,176097
3,$100 Xbox Gift Card [Digital Code],B00F4CFHFC,False,False,4.6,176097
4,Xbox $50 Gift Card,B00EDU8H9E,False,False,4.6,762
5,Xbox Live - 10 GBP Gift Card [Xbox Live Online Code],B018FBCUZI,False,False,4.6,12447
6,Xbox Live £50 Gift Card [Xbox Live Online Code],B0186MHJB6,False,False,4.7,2313
7,Xbox Live £40 Gift Card [Online Game Card] [Xbox Live Online Code],B0186M0A4E,False,False,4.7,1130
8,Xbox Live £15 Gift Card [Xbox Live Online Code],B0186JIR9C,False,False,4.7,5338
9,Xbox Live £20 Gift Card [Xbox Live Online Code],B0186L7EYO,False,False,4.6,8957
10,Xbox Series X & $100 Gift Card [Digital Code],B0C5PPPN89,False,False,5.0,2
11,"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (eGift)",B08F3C99KN,False,True,4.7,59188
12,"Xbox Game Pass Ultimate – 3 Month Membership – Xbox Series X|S, Xbox One, Windows [Digital Code]",B07TGNFVWV,False,False,4.7,33978
13,Xbox Live Gold: 1 Month Membership [Digital Code],B08WNJF95Y,False,False,4.7,92674
14,Xbox $25 Gift Card,B00EDU8HY4,False,False,4.6,858
15,NBA 2K24 - Xbox Series X|S [Digital Code],B0CFZX18S9,False,False,4.3,20
16,Mcbazel Gam3Gear Replacement Internal Cooling Fan for Xbox ONE (NOT Xbox One Elite Xbox One S Xbox One X),B01ARKWV5E,False,True,4.3,320
17,Xbox Live Gold: 6 Month Membership [Digital Code],B01KGFR3OO,False,False,4.7,92674
18,"Roblox Digital Gift Code for 4,500 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B07RZ75JW3,False,False,4.6,147339
19,"Roblox Digital Gift Code for 1,700 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B0BCCYLB13,False,False,4.6,147339
