rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Xbox One 500GB Console (Renewed),B00U1WN17G,False,False,4.1,1041
1,Microsoft Xbox One Special Edition inMatte Blackin 500GB (video game)(Renewed),B01MF7056U,False,False,4.3,489
2,"Microsoft Xbox One X 1TB Console with Wireless Controller: Enhanced, HDR, Native 4K, Ultra HD (2017 Model) (Renewed)",B07WDGB9P5,False,False,4.2,4394
3,Xbox One 500 GB Console - Black [Discontinued],B00KAI3KW2,False,False,4.1,2569
4,Xbox Series X,B08H75RTZ8,False,False,4.8,24150
5,Microsoft - Xbox One S 500GB Console - White - ZQ9-00028 (Renewed),B08FNP52TR,False,False,4.1,488
6,Xbox One S (Renewed),B08NCJP9GC,False,False,4.1,84
7,Xbox Series S – 1TB SSD All-Digital Gaming Console – 1440p Gaming – 4K Streaming – Carbon Black,B0C7HKS2RF,False,False,4.6,60
8,"Microsoft Xbox Series S 512GB Game All-Digital Console + 1 Xbox Wireless1 Controller, White - 1440p Gaming Resolution, 4K Streaming Media Playback, WiFi (Renewed)",B09CKFYKWB,False,False,4.5,549
9,Xbox One S 1TB Console [Previous Generation],B089M5L82M,False,False,4.5,2237
10,Xbox One S 500GB Console (Renewed),B07BHR83RX,False,False,4.6,172
11,"Gaming Headset with Microphone, Gaming Headphones for PS4 PS5 Xbox One PC with RGB Lights, Playstation Headset with Noise Reduction 7.1 Surround Sound Over-Ear and Wired 3.5mm Jack (Black)",B09PBXMKPR,False,True,4.4,745
12,Xbox One S 500GB Console (Renewed) [video game],B06WGVD4RN,False,False,4.5,670
13,Xbox One X 1tb Robot White Special Edition FMP-00096 (Renewed),B07T597N7L,False,False,4.2,155
14,Xbox One S 1TB All-Digital Console with Xbox One Wireless Controller (Renewed),B084ZTL8GP,False,False,4.3,309
15,Microsoft Xbox One 500GB Console System With Kinect (Renewed),B00P2XYRDQ,False,False,4.2,440
16,"targeal Gaming Headset with Microphone for PC, PS4, PS5, Switch, Xbox One, Xbox Series X|S - 3.5mm Jack Gamer Headphone with Noise Canceling Mic-908 Black",B0BZZ9HJBW,False,True,4.3,27
17,Microsoft - Xbox One S 1TB All-Digital Edition Console with Xbox One Wireless Controller (Renewed),B07VXKQ8W6,False,False,4.5,224
18,"HyperX Cloud II - Gaming Headset, 7.1 Surround Sound, Memory Foam Ear Pads, Durable Aluminum Frame, Detachable Microphone, Works with PC, PS5, PS4, Xbox Series X|S, Xbox One – Red",B00SAYCXWG,False,True,4.5,33470
19,"Turtle Beach Stealth Pro Multiplatform Wireless Noise-Cancelling Gaming Headset for Xbox Series X|S, Xbox One, PS5, PS4, PC, Mac, Switch, & Mobile – 50mm Speakers, Bluetooth, Dual Batteries – Black",B0BX77C1LD,False,True,4.0,220
20,C2 Gripz Controller Grips Compatible with Xbox One | Compatible with Xbox Series X/S Controller | Ergonomically Engineered for Performance and Comfort | Non-Slip | Extra Large,B09XQ2S9FL,False,True,4.6,57
