rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Seagate Storage Expansion Card 2TB Solid State Drive - NVMe SSD for Xbox Series X|S (STJR2000400),B09BJYXMDW,False,True,4.7,68395.0
1,$60 Xbox Gift Card [Digital Code],B00F4CFBUS,False,False,4.6,176097.0
2,Xbox Series S – 1TB SSD All-Digital Gaming Console – 1440p Gaming – 4K Streaming – Carbon Black,B0C7HKS2RF,False,False,4.6,60.0
3,Xbox Series X & Starfield [Digital Code],B0CCVW58MN,False,False,4.8,24150.0
4,Xbox Series X,B08H75RTZ8,False,False,4.8,24150.0
5,Xbox Series S & Starfield Standard Edition - Xbox & Windows 10 [Digital Code],B0CCVSQR7K,False,False,5.0,1.0
6,"Microsoft Xbox Series S 512GB Game All-Digital Console + 1 Xbox Wireless1 Controller, White - 1440p Gaming Resolution, 4K Streaming Media Playback, WiFi (Renewed)",B09CKFYKWB,False,False,4.5,549.0
7,Xbox Series X Console Refurbished,B0CJ3XWXP8,False,False,,
8,Xbox One S (Renewed),B08NCJP9GC,False,False,4.1,84.0
9,Microsoft Xbox One Special Edition inMatte Blackin 500GB (video game)(Renewed),B01MF7056U,False,False,4.3,489.0
10,Microsoft - Xbox One S 500GB Console - White - ZQ9-00028 (Renewed),B08FNP52TR,False,False,4.1,488.0
11,Starfield Standard Edition - Xbox Series X & Windows 10 [Digital Code],B0CB9HP756,False,True,3.4,63.0
12,"Microsoft Xbox One X 1TB Console with Wireless Controller: Enhanced, HDR, Native 4K, Ultra HD (2017 Model) (Renewed)",B07WDGB9P5,False,False,4.2,4394.0
13,Xbox Series S - Fortnite & Rocket League Bundle (Xbox One),B09LVSHS5M,False,False,4.6,1893.0
14,Xbox One 500GB Console (Renewed),B00U1WN17G,False,False,4.1,1041.0
15,Xbox 360 4GB Slim Console - (Renewed),B00KRT2QCY,False,False,4.1,765.0
16,"Gaming Headset with Microphone for PC, PS4, PS5, Switch, Xbox One, Xbox Series X|S - 3.5mm Jack Gamer Headphone with Noise Canceling Mic-908 Black",B0BZZ9HJBW,False,True,4.3,27.0
17,Xbox One 500 GB Console - Black [Discontinued],B00KAI3KW2,False,False,4.1,2569.0
18,Xbox Live Gold: 3 Month Membership [Digital Code],B004VSTQ2A,False,False,4.7,92674.0
19,Lies of P - Xbox Series X,B0BXB841V3,False,True,5.0,2.0
20,"Cooling Stand for Xbox Series S with Charging Station & RGB Light, MENEEA Low Noise Fan for Console & Fast Charger of Controller, Accessories with 2 * 1400mAh Rechargeable Batteries, Headphone Hook",B0CBV3CSCB,False,True,4.4,100.0
21,DreamController Original X-box Wireless Controller Special Edition Customized Compatible with X-box One S/X-box Series X/S & Windows 10 Made with Advanced HydroDip Print Technology(Not Just a Skin),B08TTZWYNH,False,True,4.5,662.0
