rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Basics Controller Battery Pack Charger For Xbox One - Black,B071LQD2XD,True,False,4.6,2605
1,Luna Controller + FREE 1-month Luna+ (new subscriber offer),B0B2BZWGRK,False,False,4.2,10451
2,"Adesso Xtream G2 - Gaming Headphones with Noise Cancelling Microphone and LED Lighting for PC, PS4, Xbox, Nintendo Switch, and Laptops, Blue, 9.00in. x 4.00in. x 9.00in.",B07J3T7H54,False,False,4.3,22
3,"Adesso Xtream G3-7.1 Surround-Sound Gaming Headset with Noise Cancelling Microphone and LED Lighting for PC, PS4, Xbox, Nintendo Switch, and Laptops",B07J3VMNZV,False,False,2.7,2
4,"Amazon Basics Replacement Power Cable for PS4 Slim and Xbox One S / X - 6 Foot Cord, Black",B078N74NXD,True,False,4.8,8716
5,Amazon Basics Controller Battery Pack Charger For Xbox One S Console - Black (Not compatible with Xbox One S All-Digital Edition Console),B071PB1G8T,True,False,4.6,1469
6,"Amazon Basics Dual Charging Station for Xbox One, Xbox One Standard, And Xbox One Elite Controllers - Black",B01N1P0KFI,True,False,4.5,7239
7,AmazonBasics High-Speed HDMI Cable with Ethernet - Braided 6.5 feet/2.0 meters (Discontinued by Manufacturer),B003ES5ZUU,True,False,3.7,189
8,Amazon Basics Gaming Headset - Black,B078N66Y2M,True,False,4.1,2253
9,Amazon Basics Controller Battery Pack Charger For Xbox One S Console - White (Not compatible with Xbox One S All-Digital Edition Console),B072FRJWQH,True,False,4.6,2818
10,"Amazon Basics Xbox One Wired Controller - 9.8 Foot USB Cable, White, Version 2",B07D12RPHX,True,False,4.2,5077
11,"Amazon Basics Xbox One Wired Controller - 9.8 Foot USB Cable, Black, Version 2",B07CZTVHY8,True,False,4.0,2083
12,Amazon Basics Xbox One Controller Thumb Grips And Trigger Extender Precision Pack - Black,B07CWJC79T,True,False,4.2,4116
13,"Amazon Basics Xbox One Wired Controller - 9.8 Foot Cable, Black, Version 1",B01M4NISMM,True,False,4.0,1215
14,"Amazon Basics Gaming Headset for PC and Consoles (Xbox, PS4) with Desktop Mixer – Red",B07L8VNJ91,True,False,4.2,493
15,"Amazon Basics Xbox One Wired Controller - 9.8 Foot USB Cable, White, Version 1",B01M31KSR2,True,False,4.1,781
