rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basic Care Premium Saline Nasal Moisturizing Spray, Instantly Soothing Nasal Mist Nose Spray, Non-Medicated Relief, 3 Fluid Ounces, Pack of 2",B074F2GP3K,True,False,4.6,17124.0
1,"Xlear Nasal Spray, Natural Saline Nasal Spray with Xylitol, Nose Moisturizer for Kids and Adults, 1.5 fl oz (Pack of 3)",B00IPKC622,False,False,4.6,30759.0
2,"Xlear Nasal Spray, Natural Saline Nasal Spray with Xylitol, Nose Moisturizer for Kids and Adults, 1.5 fl oz (Pack of 1)",B07QMZPCZB,False,False,4.6,1053.0
3,"XLEAR Nasal Spray (Pack of 2) with Xylitol, Saline, Purified Water and Grapefruit Seed Extract, for Optimal Health to Cleanse Sinuses and Nasal Passages, Use as Often as Needed, 1.5 fl. oz.",B07B5WMSV6,False,False,4.7,2736.0
4,"Xlear Nasal Spray, Natural Saline Nasal Spray with Xylitol, Nose Moisturizer for Kids and Adults, 1.5 fl oz (Pack of 4)",B01IAIP5IA,False,False,4.8,1085.0
5,"Xlear 12-Hour Nasal Decongestant Spray, Natural Saline Nasal Spray with Xylitol and Oxymetazoline, Instant Sinus Pressure and Congestion Relief for Kids and Adults 0.5 fl oz (Pack of 4)",B07HRZ4N8J,False,False,4.6,673.0
6,"Xlear Nasal Spray, Natural Saline Nasal Spray with Xylitol, Nose Moisturizer for Kids and Adults, 1.5 fl oz (Pack of 3)",B01AVKCU6A,False,False,4.7,697.0
7,"Xlear Kids' Nasal Spray, Natural Saline Nasal Spray for Kids with Xylitol, Daily Nasal Decongestant, Nose Moisturizer, 0.75 fl oz (Pack of 2)",B012TSBBI0,False,False,4.6,891.0
8,"Xlear Nasal Spray, Natural Saline Nasal Spray with Xylitol, Nose Moisturizer for Kids and Adults, 0.75 fl oz (Pack of 3)",B000YVHV66,False,False,4.5,2388.0
9,"Xlear Nasal Spray, Natural Saline Nasal Spray with Xylitol, Nose Moisturizer for Kids and Adults, 0.75 fl oz (Pack of 1)",B009I07CP4,False,False,4.5,1465.0
10,"Xlear Rescue Nasal Spray, Natural Saline Nasal Spray with Xylitol, Oregano, Tea Tree, Fast Sinus Pressure and Congestion Relief, Nose Moisturizer, 1.5 fl oz (Pack of 3)",B07P94XXVZ,False,False,4.6,2170.0
11,"Xlear Nasal Spray, Natural Saline Nasal Spray with Xylitol, Nose Moisturizer for Kids and Adults, 1.5 fl oz (Pack of 8)",B01IAIPEUY,False,False,4.6,44.0
12,"Xlear Kids' Nasal Spray, Natural Saline Nasal Spray for Kids with Xylitol, Daily Nasal Decongestant, Nose Moisturizer 0.75 fl oz (Pack of 2)",B07B5W7PZ3,False,False,4.6,153.0
13,"Xlear Nasal Spray and Kid’s Nasal Spray Bundle with Xylitol, Saline, Purified Water and Grapefruit Seed Extract, for Optimal Health to Cleanse Sinuses and Nasal Passages, 1.5 and .75 fl. oz.",B07B5W7KH1,False,False,4.6,77.0
14,"Xlear Nasal Spray, Natural Saline Nasal Spray with Xylitol, Nose Moisturizer for Kids and Adults, 1.5 fl oz (Pack of 12)",B0106K2Y1Q,False,False,4.7,18.0
15,Xlear Nasal Spray for Sinus Relief 1.5 fl oz (6 Pack),B01IAIP9TA,False,False,4.8,15.0
16,Xlear - Kids Saline Nasal Spray with Xylitol (Pack of 2)2,B086Z7MD1Y,False,False,4.2,24.0
17,"Xlear MAX Saline Nasal Spray, Natural Formula with Xylitol, Capsicum and Aloe, Nasal Decongestant for Sinus Pressure, Headache, Dry Nose for Kids and Adults, 1.5 fl oz (Pack of 1)",B00GJEXD0U,False,False,4.4,192.0
