rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Xyzal Allergy Pills, 24-Hour Allergy Relief, 80-Count, Original Prescription Strength",B01LQBIWQ0,False,True,4.8,16984.0
1,"WELMATE | Allergy | Generic Xyzal Levocetirizine Dihydrochloride 5mg | Non Drowsy | Fast Acting | 24hr Support | Runny Nose, Watery Eyes, Sneezing | Antihistamine | Allergy Medication | 180 ct",B094BNKLKM,False,True,4.7,1935.0
2,"Levocetirizine Dihydrochloride Tablets USP 5mg Antihistamine, 24 Hour Allergy Relief Non-Drowsy, 240 Count",B09RCGXMCQ,False,True,4.7,6673.0
3,"Xyzal Children's Oral Solution, 5 fl. oz., 24-Hour Allergy Relief for Kids, Tutti Frutti Flavor",B01LQBIWKG,False,True,4.8,4277.0
4,"Xyzal Allergy Pills, 24-Hour Allergy Relief, 80-Count, Original Prescription Strength",B01LQBIWQ0,False,False,4.8,16984.0
5,"Xyzal Allergy Pills, 24-Hour Allergy Relief, 55-Count, Original Prescription Strength",B01LQBIWT2,False,False,4.7,7027.0
6,"Xyzal Allergy Pills, 24-Hour Allergy Relief, 35-Count, Original Prescription Strength",B01LQBIVZM,False,False,4.5,6639.0
7,"WELMATE | Allergy | Generic Xyzal Levocetirizine Dihydrochloride 5mg | Non Drowsy | Fast Acting | 24hr Support | Runny Nose, Watery Eyes, Sneezing | Antihistamine | Allergy Medication | 180 ct",B094BNKLKM,False,False,4.7,1935.0
8,"Xyzal Children's Oral Solution, 5 fl. oz., 24-Hour Allergy Relief for Kids, Tutti Frutti Flavor",B01LQBIWKG,False,False,4.8,4277.0
9,"Xyzal Allergy Tablet, 80 Count, 2 Pack",B06XX1C5M8,False,False,4.9,1246.0
10,"XYZAL Allergy 24 Hour, 55 Count (Pack of 2)",B06Y1T9KMW,False,False,4.7,667.0
11,"Xyzal Allergy 24 Hour - 35 Tablets, Pack of 2",B06Y1TYJNF,False,False,4.9,90.0
12,"Xyzal Children's Oral Solution 24-Hour Allergy Relief for Kids, Grape, 10 Fl. oz. (Alcohol-Free, Sugar-Free & Dye-Free)",B0C4CT6TXT,False,False,4.6,7.0
13,"Curist - Generic Xyzal Levocetirizine 5 mg - (90 Tablets) - Allergy Pills, 24 Hour Allergy Relief - Allergy Medicine",B07YN4KNKL,False,False,4.7,3298.0
14,Xyzal Allergy 24 Hour 110 ct. (Pack of 3) A1,B07F33KSFG,False,False,,
15,"Children's Xyzal Allergy 24 Hour, Tutti Frutti Flavor, 5 Ounce (Pack of 2)",B06XX1QH5S,False,False,4.8,86.0
16,"Safrel Allergy Relief Medication Levocetirizine Dihydrochloride 5mg (180 Count), 24hr Fast Acting Non Drowsy, Antihistamine Relieves Runny Nose, Watery Eyes, Sneezing",B0BSTY4PSV,False,True,4.7,145.0
17,"Nasacort 24HR Allergy Nasal Spray for Adults, Non-drowsy & Alcohol Free, 240 Sprays, 0.57 fl.oz. 2Ct",B00M1QM8EM,False,True,4.7,9085.0
18,"Xyzal Allergy Pills, 24-Hour Allergy Relief, 55-Count, Original Prescription Strength",B01LQBIWT2,False,True,4.7,7027.0
19,"Nighttime Sleep Aid Diphenhydramine 50 mg Softgels Maximum Strength Made in USA, 160 Count",B093ML2TLT,False,True,4.5,1748.0
20,Xyzal Allergy 24 Hour (110 Count),B07GV6XDG9,False,False,4.9,576.0
21,"Xyzal Allergy Pills, 24-Hour Allergy Relief, Original Prescription Strength,55 Count (Pack of 2)",B07C5WHH7L,False,False,4.8,3246.0
22,Xyzal Allergy 24 Hour (110 ct.),B07DLCVQYH,False,False,5.0,6.0
23,"Amazon Basic Care 24 Hour Allergy Relief, Levocetirizine Dihydrochloride Tablets, 5 mg, Antihistamine, Relieves Sneezing, Runny Nose, Itchy Nose or Throat and Itchy, Watery Eyes, 80 Count",B083VVT61S,True,False,4.7,5595.0
24,"Akk Day Allergy Relief Cetirizine Hydrochloride, 10 mg Tablets, Antihistamine, 100 Count",B08LPVS4CB,False,True,4.7,102.0
25,ValuMeds Nasal Decongestant PE (225 Tablets) Non-Drowsy | Phenylephrine HCl 10mg to Relieve Sinus Pressure | Comparable to Sudafed PE Congestion,B07RY3Z9BT,False,True,4.7,3115.0
26,"HealthA2Z Fexofenadine Hydrochloride 180mg, Antihistamine for Allergy Relief, Non-Drowsy, 24-Hour Antihistamine for Allergy Relief (120 Count (Pack of 1))",B087CBHR9W,False,True,4.7,8095.0
27,LUMIFY Redness Reliever Eye Drops 0.25 Ounce (7.5mL),B07BVYZL88,False,True,4.7,55451.0
28,"HealthCareAisle Allergy Relief - Levocetirizine Dihydrochloride Tablets USP, 5 mg – 80 Tablets – Original Prescription Strength Allergy Medication, 24-Hour Allergy Relief, 80 Count (Pack of 1)",B07HD646P7,False,False,4.7,2367.0
29,"Levocetirizine Dihydrochloride Tablets USP 5mg Antihistamine, 24 Hour Allergy Relief Non-Drowsy, 240 Count",B09RCGXMCQ,False,False,4.7,6673.0
30,"GoodSense Levocetirizine Dihydrochloride Tablets, 5 mg, Antihistamine, All Day Allergy Relief, 35 Count",B0869BJPXR,False,False,4.7,1864.0
31,"Safrel Allergy Relief Medication Levocetirizine Dihydrochloride 5mg (180 Count), 24hr Fast Acting Non Drowsy, Antihistamine Relieves Runny Nose, Watery Eyes, Sneezing",B0BSTY4PSV,False,False,4.7,145.0
32,"ValuMeds 24-Hour Allergy Medicine (300-Count) Antihistamine for Pollen, Hay Fever, Dry, Itchy Eyes, Allergies | Cetirizine HCl 10mg Caplets, Compare to Zyrtec",B07KFPLDGB,False,False,4.7,26287.0
33,"Camber Consumer Care Levocetirizine Dihydrochloride 5mg Antihistamine Tablets, Compare to Xyzal Active Ingredient, 24 Hour Allergy Relief Medicine (1000 Count)",B08P9WDKHN,False,False,4.6,275.0
34,"Camber Consumer Care Levocetirizine Dihydrochloride 5mg Antihistamine Tablets, Compare to Xyzal Active Ingredient, Allergy Relief Medicine (180 Count)",B0BK9WZQWC,False,False,4.7,75.0
35,"Amazon Basic Care 24 Hour Allergy Relief, Cetirizine Hydrochloride Tablets, 10 mg, 300 Count",B074F145Y1,True,False,4.8,54608.0
36,"Ohm 24-Hour Allergy Medicine (300-Count) Antihistamine for Pollen, Hay Fever, Dry, Itchy Eyes, Allergies | Cetirizine HCl 10mg Tablets",B0B4F5DZB8,False,False,4.6,317.0
37,"Life Sciences: Levocetirizine Dihydrochloride 200 Tablets, 5 mg | 24 Hour Allergy Relief | Antihistamine Medicine | Effective, Long Lasting Formula & Easy to Swallow (Pack of 1)",B0BYKQGVMK,False,False,4.3,22.0
38,"Amazon Basic Care Loratadine Tablets 10 mg, Antihistamine, Medicine for 24 Hour Allergy Relief, 300 Count",B074F18H5N,True,False,4.7,19468.0
39,"Cetirizine HCL 10mg 365 Tablets - Antihistamine - for Indoor & Outdoor Allergies - Runny Nose, Itchy & Watery Eyes Relief",B0C829FBBS,False,False,4.6,19.0
40,"Zyrtec 24 Hour Allergy Relief Tablets, Bundle with 1 x 30ct and 3 x 1ct Travel Packs",B08QKRMC7L,False,False,4.8,8005.0
41,"Genexa Allergy Care - 60 Tablets - Multi-Symptom Allergy Remedy - Certified Vegan, Organic, Gluten Free & Non-GMO - Homeopathic Remedies",B01FCG3SHI,False,False,4.3,5277.0
42,"Allergy Relief, Antihistamine, Diphenhydramine HCL 25mg, Generic Benadryl Capsules, Relieves Seasonal Indoor or Outdoor Allergies, Runny Nose, Sneezing Allergy Relief (1000 Capsules)",B09WGRDC2B,False,False,5.0,1.0
43,HealthA2Z Fexofenadine Hydrochloride 60mg | 12-Hour Antihistamine for Allergy Relief | Non-Drowsy (120 Count (Pack of 1)),B0BLW8DJKB,False,False,4.5,423.0
44,"Genexa Allergy-D for Children – 60 Tablets | Certified Organic & Non-GMO, Physician Formulated, Homeopathic | Multi-Symptom Allergy Relief Medicine for Children",B01FCDL7GA,False,False,4.6,1390.0
45,"Berkley & Jense 10mg Cetirizine Hydrochloride Antihistamine Tablets, 365 Count",B002ZX8X2C,False,False,4.8,12248.0
