rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Guayaki Yerba Mate, Clean Energy Drink Alternative, Organic Peach Revival, 15.5oz (Pack of 12), 150mg Caffeine",B0C62QRW3Z,False,True,4.7,5047
1,"ECOTEAS - Unsmoked Yerba Mate Tea Bags - Detox and Hi Caf Tea - Organic - 100 Tea Bags, 8.8 oz",B07Y5KZNVV,False,True,4.6,2009
2,ECOTEAS - Organic Unsmoked Yerba Mate Tea Pure Loose Leaf 1Lb Detox Hi Caf Energy,B06XP7Z7H8,False,True,4.7,1936
3,"ECOTEAS Organic Unsmoked Yerba Mate Tea Bags - 24 Count, 1.7 Oz - Organic Detox Tea - Hi Caf Tea - Clean Yerba Mate Energy Burst - Ecoteas Yerba Mate (2 Pack)",B09ZY1DRH2,False,True,4.5,1132
4,Cruz De Malta 1/2 Kilo Yerba Mate,B001UO90BA,False,False,4.5,6197
5,"Guayaki Yerba Mate, Clean Energy Drink Alternative, Organic Revel Berry, 15.5oz (Pack of 4), 150mg Caffeine",B0B81J6BWQ,False,False,4.7,5047
6,Rosamonte Special Selection Yerba Mate Tea (2.2 lbs/1 kilo),B003IF93TI,False,False,4.6,1375
7,Yerba Mate Playadito 1000g,B006JY59TI,False,False,4.7,1854
8,YERBA MATE CRUZ de MALTA 2.2lb 1 kilo (Pack Of 2),B07CP1QFY9,False,False,4.7,786
9,Canarias Yerba Mate 2.2 lb,B004OUN1PS,False,False,4.5,1693
10,2.2 LB BALIBETOV Organic Yerba Mate Tea - Unsmoked Yerba Mate Pure Loose Leaf Tea - 1 Kg (2.2 LB),B09S4W7F95,False,True,4.4,495
11,"ECOTEAS - Unsmoked Yerba Mate Tea Bags - Detox and Hi Caf Tea - Organic - 100 Tea Bags, 8.8 oz",B07Y5KZNVV,False,False,4.6,2009
12,"Yachak Yerba Mate Drink, Blackberry, 16 Fl Oz Cans, Pack of 12",B098FG3H3B,False,False,4.6,1611
13,ECOTEAS - Organic Unsmoked Yerba Mate Tea Pure Loose Leaf 1Lb Detox Hi Caf Energy,B06XP7Z7H8,False,False,4.7,1936
14,"Guayaki Yerba Mate, Organic Traditional Single Serve, 7.9 Ounces (75 Tea Bags), 40mg Caffeine per Serving, Alternative to Tea, Coffee and Energy Drinks",B0027CNY7U,False,False,4.6,2342
15,"Drink Weird - Weird Yerba, Blue Pom Acai Yerba Mate, Organic and Plant-Based with 150mg of Natural Caffeine, 12 Pack of 16oz Cans",B0BKRFB5LL,False,True,4.0,167
16,"HawaiiPharm Yerba Mate Alcohol-Free Liquid Extract, Organic Yerba Mate (Ilex Paraguariensis) Dried Leaf Glycerite 2 oz",B01BIE9W0K,False,True,4.2,14
17,"FullChea - Yerba Mate Tea Bag, 40 Teabags, 3g/bag - Unsmoked, Cultivated From Argentina - Rich In Antioxidants And Plant Nutrients",B0BPNHL44V,False,True,4.2,140
18,"Guayaki Yerba Mate, Sparkling Clean Energy Drink Alternative, Organic Cranberry Pomegranate, 12oz Cans (Pack of 12), 80mg Caffeine",B008NUR35Y,False,True,4.5,1394
19,Yerba Mate Rosamonte Special Selection 2 Pack (4.4lbs - 2 Kilos),B0189MN0LG,False,False,4.7,1470
20,"Good Molecules Wake Up Eye Gel 0, 50 Oz Formulated With Yerba Mate Extract Revitalize And Energize Eyes With This Soothing Gel Vegan, Fragrance Free Cruelty , 0.5 Fl Oz (Pack of 1)",B091NJQ29P,False,False,4.2,6551
21,"Guayaki Yerba Mate, Sparkling Clean Energy Drink Alternative, Organic Grapefruit Ginger, 12oz Cans (Pack of 12), 45 Calories Per Can, 80mg Caffeine",B008EENWLI,False,False,4.5,1394
22,"Guayaki Yerba Mate, Clean Energy Drink Alternative, Organic Peach Revival, 15.5oz, 150mg Caffeine",B0BMHSL2BC,False,False,4.5,8
